species,taxid,kingdom,genus,assembly_accession
Burkholderia cepacia,292,细菌界,Burkholderia,GCF_001411495.1
Candida albicans,5476,真菌界,Candida,GCF_000182965.3
Candida parapsilosis,5480,真菌界,Candida,GCF_000182765.1
Candida tropicalis,5482,真菌界,Candida,GCF_000006335.3
Cryptococcus neoformans,5207,真菌界,Cryptococcus,GCF_000149245.1
Enterobacter cloacae,550,细菌界,Enterobacter,GCF_905331265.2
Enterococcus faecium,1352,细菌界,Enterococcus,GCF_009734005.1
Escherichia fergusonii,564,细菌界,Escherichia,GCF_000026225.1
Haemophilus influenzae,727,细菌界,Haemophilus,GCF_020736045.1
Klebsiella pneumoniae,573,细菌界,Klebsiella,GCF_000240185.1
Nakaseomyces glabratus,5478,真菌界,Nakaseomyces,GCF_000002545.3
Pseudomonas aeruginosa,287,细菌界,Pseudomonas,GCF_000006765.1
Staphylococcus aureus,1280,细菌界,Staphylococcus,GCF_000013425.1
Streptococcus pneumoniae,1313,细菌界,Streptococcus,GCF_001457635.1
Acinetobacter calcoaceticus,471,细菌界,Acinetobacter,GCF_000368965.1
Acinetobacter nosocomialis,106654,细菌界,Acinetobacter,GCF_041021905.1
Acinetobacter pittii,48296,细菌界,Acinetobacter,GCF_000369045.1
Burkholderia cenocepacia,95486,细菌界,Burkholderia,GCF_000009485.1
Burkholderia multivorans,87883,细菌界,Burkholderia,GCF_000010545.1
Candida dubliniensis,42374,真菌界,Candida,GCF_000026945.1
Cryptococcus gattii,37769,真菌界,Cryptococcus,GCF_000185945.1
Enterobacter asburiae,61645,细菌界,Enterobacter,GCF_900077725.1
Enterobacter bugandensis,881260,细菌界,Enterobacter,GCF_900324475.1
Enterobacter hormaechei,158836,细菌界,Enterobacter,GCF_000213995.1
Enterobacter kobei,208224,细菌界,Enterobacter,GCF_023023125.1
Klebsiella quasipneumoniae,1463165,细菌界,Klebsiella,GCF_003181175.1
Klebsiella variicola,244366,细菌界,Klebsiella,GCF_000025465.1
Mycobacterium abscessus,36809,细菌界,Mycobacterium,GCF_000069185.1
Mycobacterium avium,1764,细菌界,Mycobacterium,GCF_000007865.1
Mycobacterium intracellulare,1767,细菌界,Mycobacterium,GCF_000277125.1
Streptococcus mitis,28037,细菌界,Streptococcus,GCF_000148585.2
Acinetobacter baumannii,470,细菌界,Acinetobacter,GCF_900011295.1
Enterococcus faecalis,1351,细菌界,Enterococcus,GCF_000393015.1
Escherichia coli,562,细菌界,Escherichia,GCF_000005845.2
Staphylococcus epidermidis,1282,细菌界,Staphylococcus,GCF_006094375.1
