genus,species,label,taxid,benchmark_role,dataset_role,assembly_accession,representative_strain,genome_path,genome_status,base_count,notes
Acinetobacter,Acinetobacter calcoaceticus,Acinetobacter_calcoaceticus,471,close_relative_hard_negative,hard_negative_close_relative,GCF_000368965.1,DSM 30006 / CIP 81.8,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Acinetobacter\Acinetobacter_calcoaceticus\GCF_000368965.1_genomic.fna,missing_not_downloaded,,
Acinetobacter,Acinetobacter nosocomialis,Acinetobacter_nosocomialis,106654,close_relative_hard_negative,hard_negative_close_relative,GCF_041021905.1,XH1679（RefSeq可下载替代候选；不等同于原M2）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Acinetobacter\Acinetobacter_nosocomialis\GCF_041021905.1_genomic.fna,missing_not_downloaded,,
Acinetobacter,Acinetobacter pittii,Acinetobacter_pittii,48296,close_relative_hard_negative,hard_negative_close_relative,GCF_000369045.1,ATCC 19004,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Acinetobacter\Acinetobacter_pittii\GCF_000369045.1_genomic.fna,missing_not_downloaded,,
Acinetobacter,Acinetobacter baumannii,Acinetobacter_baumannii,470,colonizer_or_contaminant,colonizer_or_contaminant,GCF_900011295.1,ATCC 19606（type/reference strain；v1.6修正accession）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Acinetobacter\Acinetobacter_baumannii\GCF_900011295.1_genomic.fna,missing_not_downloaded,,
Burkholderia,Burkholderia cenocepacia,Burkholderia_cenocepacia,95486,close_relative_hard_negative,hard_negative_close_relative,GCF_000009485.1,J2315,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Burkholderia\Burkholderia_cenocepacia\GCF_000009485.1_genomic.fna,missing_not_downloaded,,
Burkholderia,Burkholderia multivorans,Burkholderia_multivorans,87883,close_relative_hard_negative,hard_negative_close_relative,GCF_000010545.1,ATCC 17616,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Burkholderia\Burkholderia_multivorans\GCF_000010545.1_genomic.fna,missing_not_downloaded,,
Burkholderia,Burkholderia cepacia,Burkholderia_cepacia,292,target_pathogen_candidate,primary_or_common_pathogen,GCF_001411495.1,ATCC 25416 / UCB 717（固定代表版本）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Burkholderia\Burkholderia_cepacia\GCF_001411495.1_genomic.fna,missing_not_downloaded,,
Candida,Candida dubliniensis,Candida_dubliniensis,42374,close_relative_hard_negative,hard_negative_close_relative,GCF_000026945.1,CD36,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Candida\Candida_dubliniensis\GCF_000026945.1_genomic.fna,missing_not_downloaded,,
Candida,Candida albicans,Candida_albicans,5476,target_pathogen_candidate,primary_or_common_pathogen,GCF_000182965.3,SC5314（参考株）,D:\AI-NGS\code-V3\data\WGS\真菌界\Candida\Candida albicans\GCF_000182965.3_genomic.fna,local_wgs,14280846,
Candida,Candida parapsilosis,Candida_parapsilosis,5480,target_pathogen_candidate,primary_or_common_pathogen,GCF_000182765.1,CDC317（参考株）,D:\AI-NGS\信息学\data\reference_genomes\close_relative\Candida\Candida_parapsilosis\GCF_000182765.1_genomic.fna,missing_not_downloaded,,
