genome_ID	OTU	NCBI_ID	novelty_category
Otu520.0	119044	1608628	known_strain
Otu1947	2	22	new_species
Otu806.0	22	60217	known_strain
Otu634.0	255474	208216	known_strain
Otu483	2	1295392	known_strain
Otu2487	2	40269	new_strain
Otu2446	2	40269	new_strain
Otu987	2	1155739	known_strain
Otu980	2	1408	new_strain
Otu1219	2	62322	new_strain
Otu212.0	31989	89184	known_strain
Otu2389	2	32049	known_strain
Otu820	2	2336	new_strain
Otu2322	2	190893	known_strain
Otu2448	2	84405	known_strain
Otu489.0	49546	411153	known_strain
Otu1593	2	53246	known_strain
Otu1596	2	80852	new_strain
Otu1597	2	46541	known_strain
Otu712	2	120577	known_strain
Otu1791	2	45658	known_strain
Otu713	2157	2280	known_strain
Otu1330	2157	342948	known_strain
Otu1961	2	1038856	known_strain
Otu491.0	49546	237	new_species
Otu2172	2	286	new_species
Otu1893	2	1238	known_strain
Otu1892	2	191493	known_strain
Otu1046	2	1238	known_strain
Otu719.0	188905	290400	known_strain
Otu1896	2	1298608	new_species
Otu523	2	39960	known_strain
Otu522	2	670	known_strain
Otu526	2	32003	known_strain
Otu800.0	135620	188908	known_strain
Otu249.0	200667	1006	known_strain
Otu1283	2	511678	new_species
Otu1322	2	60961	known_strain
Otu1321	2	1579979	known_strain
Otu1326	2	497	known_strain
Otu265.0	31989	215813	known_strain
Otu453	2	1188228	new_strain
Otu88.0	468	1298608	new_species
Otu245.0	49546	1555194	known_strain
Otu2036	2	1348114	known_strain
Otu80.0	135620	119864	known_strain
Otu315.0	213483	959	known_strain
Otu1914.0	72275	2742	known_strain
Otu1769	2	511678	new_species
Otu413	2	2742	known_strain
Otu331.0	72275	1420916	known_strain
Otu796	2	286	new_species
Otu241.0	31989	1217908	known_strain
Otu985.0	188786	187137	known_strain
Otu279	2	859653	known_strain
Otu1710	2157	1301915	known_strain
Otu1032	2	662	known_strain
Otu1031	2	651457	known_strain
Otu1030	2	149715	known_strain
Otu554	2157	2234	known_strain
Otu1132	2	80852	new_strain
Otu1133	2	662	known_strain
Otu1038	2	1868325	known_strain
Otu774	2	364197	known_strain
Otu954	2	387092	known_strain
Otu771	2	1218	known_strain
Otu677	2	999	known_strain
Otu958	2	511678	new_species
Otu810.0	49546	237	new_species
Otu778	2	40269	new_strain
Otu90.0	69657	81032	known_strain
Otu1427	2	261964	known_strain
Otu54	2	55601	new_strain
Otu271	2	351091	known_strain
Otu2019	2	1219	known_strain
Otu2464.0	85025	37332	known_strain
Otu1196	2	511678	new_species
Otu2042	2	1705394	known_strain
Otu1108.1	198251	198252	known_strain
Otu352.1	135620	187493	known_strain
Otu370.0	49546	96345	known_strain
Otu370.1	49546	669041	new_strain
Otu703	2	80852	new_strain
Otu250	2	666	known_strain
Otu252	2	316279	known_strain
Otu592.0	349742	1543721	known_strain
Otu254	2	22	new_species
Otu256	2	100716	known_strain
Otu1487	2	228	new_strain
Otu1860	2	80852	new_strain
Otu1861	2157	38027	known_strain
Otu1862	2	29483	known_strain
Otu104	2	662	known_strain
Otu911.0	49546	96345	known_strain
Otu86.0	187492	187493	known_strain
Otu297.0	41297	205844	known_strain
Otu1251	2	511678	new_species
Otu1676.0	186814	1754	known_strain
Otu1257	2	1720344	known_strain
Otu1255	2	1112209	new_strain
Otu1254	2	271097	known_strain
Otu1391	2	715451	known_strain
Otu302.0	203492	167642	known_strain
Otu1386	2	80854	known_strain
Otu2403	2157	1580092	known_strain
Otu304.0	213121	65555	known_strain
Otu1498	2	212663	new_strain
Otu23	2	190893	known_strain
Otu1553	2	1238	known_strain
Otu174	2	1219	known_strain
Otu1843.0	72275	226	known_strain
Otu1389.0	85025	1833	known_strain
Otu179	2	271098	known_strain
Otu1111	2	662	known_strain
Otu1692	2	55601	new_strain
Otu1697	2	55601	new_strain
Otu1084	2	1363	known_strain
Otu1918	2	1270	new_strain
Otu1919	2	192073	known_strain
Otu1080	2	657445	known_strain
Otu2128	2157	2190	known_strain
Otu1089	2	228	new_strain
Otu2316	2	511678	new_species
Otu293.0	146	154	known_strain
Otu2314	2	158080	known_strain
Otu2313	2	40269	new_strain
Otu870	2	1096	known_strain
Otu1974.0	72275	226	known_strain
Otu1974.1	72275	314275	known_strain
Otu465	2	713887	known_strain
Otu799.0	41297	117207	known_strain
Otu1278.0	49546	104267	new_species
Otu404.0	67572	357794	known_strain
Otu1279	2	106589	new_species
Otu660	2	1219	known_strain
Otu1545	2	1760	new_order
Otu108.0	58050	90736	new_strain
Otu589	2157	1434102	known_strain
Otu60.0	213119	28223	known_strain
Otu1544	2157	1434100	known_strain
Otu2423	2	670	known_strain
Otu581	2	40269	new_strain
Otu1168.0	49546	1453352	known_strain
Otu583	2	1219	known_strain
Otu105.0	49546	328515	known_strain
Otu856.0	31989	1397108	known_strain
Otu2078	2157	39152	known_strain
Otu2170	2	286	new_species
Otu2177	2	645	new_strain
Otu2174	2	1705	known_strain
Otu2073	2157	155863	known_strain
Otu2123	2	80852	new_strain
Otu2386	2	40269	new_strain
Otu459	2	1346	known_strain
Otu511	2	1219	known_strain
Otu2278	2157	2322	known_strain
Otu2279	2	1646	known_strain
Otu3.1	213421	29542	known_strain
Otu3.0	213421	19	known_strain
Otu2276	2	29486	known_strain
Otu1607	2	1699311	new_strain
