length,condition,method,representation,n_pairs,n_features,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1
69,N_3pct,CK4,ckmer4_count_l2,2000,136,0.964250546727161,0.95014918872348,0.2651399957228407,0.3157556303148863,1.0
69,N_3pct,CK4+P,ckmer4_property_l2,2000,147,0.9943532884570075,0.9927850434320956,0.1058929236191681,0.1201245731922647,1.0
69,N_3pct,"CK4P-MSP
(222-dim)",ckmer4_property_multiscale_mean_l2,2000,222,0.9948074396058078,0.9934209189897972,0.1015664373351081,0.1147090294818335,1.0
69,N_3pct,"CK4P-MSP+SD
(297-dim)",ckmer4_property_multiscale_l2,2000,297,0.994342542457442,0.9929489325013084,0.1060734321165432,0.1187524104308779,1.0
69,N_3pct,CK5,ckmer5_count_l2,2000,512,0.9381871555497762,0.9188917168084226,0.3491420982545937,0.4027611778500444,1.0
69,N_3pct,CK5+CK4P-MSP,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.966497297577792,0.9563802207299048,0.2571662508429105,0.2953634345126812,1.0
69,N_3pct,CSP,cspaced_property_l2,2000,147,0.9941177965055988,0.992231931062493,0.1079501507298943,0.1246440444404623,1.0
75,N_3pct,CK4,ckmer4_count_l2,2000,136,0.9682988083350054,0.9555554861683524,0.2496754962094477,0.2981426297316335,1.0
75,N_3pct,CK4+P,ckmer4_property_l2,2000,147,0.9950471170488486,0.9936621666266054,0.0991564886074779,0.1125862630062081,1.0
75,N_3pct,"CK4P-MSP
(222-dim)",ckmer4_property_multiscale_mean_l2,2000,222,0.9954472276213708,0.9942121409257382,0.0950866910057367,0.1075905113052172,1.0
75,N_3pct,"CK4P-MSP+SD
(297-dim)",ckmer4_property_multiscale_l2,2000,297,0.9950313081412638,0.9937953938905392,0.0993925876813205,0.1113966435931946,1.0
75,N_3pct,CK5,ckmer5_count_l2,2000,512,0.9440934421477488,0.9269016367413474,0.3321926506009189,0.3823568018522613,1.0
75,N_3pct,CK5+CK4P-MSP,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.9697703348845598,0.9608303518480872,0.2443718058320908,0.2798915794983206,1.0
75,N_3pct,CSP,cspaced_property_l2,2000,147,0.9948410366431356,0.9932567780142972,0.101112727988489,0.1161311492826032,1.0
100,N_3pct,CK4,ckmer4_count_l2,2000,136,0.968676477344275,0.9552233909376536,0.2483111210723847,0.299254437101096,1.0
100,N_3pct,CK4+P,ckmer4_property_l2,2000,147,0.9948115053683736,0.9933686020013264,0.1015731896515119,0.1151642131450244,1.0
100,N_3pct,"CK4P-MSP
(222-dim)",ckmer4_property_multiscale_mean_l2,2000,222,0.9952397334230614,0.99395474182593,0.0973060073411174,0.1099568828509293,1.0
