length,condition,method,representation,n_pairs,n_features,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1
69,N_3pct,CK4,ck4,4000,136,0.9643064348150464,0.9497005790148416,0.264852987575492,0.3171731719538534,1.0
69,N_3pct,CK4+P,ck4_p,4000,147,0.9811623415277656,0.9738215499839104,0.1926165793492566,0.2288162982204034,1.0
69,N_3pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9871122403894116,0.9822770227396032,0.1594050405045996,0.1882709603672123,1.0
69,N_3pct,CK5,ckmer5_count_l2,4000,512,0.9383489041353622,0.9187795405622856,0.3486868980574528,0.4030395996368461,1.0
75,N_3pct,CK4,ck4,4000,136,0.9682928973631776,0.95558386756491,0.2497088132611694,0.2980474205058331,0.99975
75,N_3pct,CK4+P,ck4_p,4000,147,0.9832921176753256,0.9769846557084308,0.1814484183504755,0.2145476370765786,0.99975
75,N_3pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9885832925912412,0.9843902378374664,0.1500608258566407,0.1766904758210096,1.0
75,N_3pct,CK5,ckmer5_count_l2,4000,512,0.9440381458231412,0.9268167183939952,0.3323654220859962,0.3825788326763636,1.0
100,N_3pct,CK4,ck4,4000,136,0.9686169726579648,0.9555543794969236,0.248551956565052,0.2981463411443287,1.0
100,N_3pct,CK4+P,ck4_p,4000,147,0.9832803117438652,0.9767967461238022,0.1816243921391675,0.2154216972229072,1.0
100,N_3pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9886107375251062,0.9843365263301712,0.1499595740549755,0.1769942005623925,1.0
100,N_3pct,CK5,ckmer5_count_l2,4000,512,0.9406068126091092,0.9222196143846028,0.3428330930643392,0.3944119308930655,1.0
69,substitution_1pct,CK4,ck4,4000,136,0.9761954915607708,0.9189457590847256,0.150352800260798,0.4026269601495203,1.0
69,substitution_1pct,CK4+P,ck4_p,4000,147,0.9880913353362888,0.9594574471250884,0.106358335302914,0.2847544565747758,1.0
69,substitution_1pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9920328480026872,0.9729073628591396,0.0870158235988124,0.2327772896802131,1.0
69,substitution_1pct,CK5,ckmer5_count_l2,4000,512,0.9591081805530786,0.8618595781025761,0.1979069158816184,0.5256242420159564,1.0
75,substitution_1pct,CK4,ck4,4000,136,0.9769951750546172,0.924852448794238,0.1516705956677618,0.3876791166117033,1.0
75,substitution_1pct,CK4+P,ck4_p,4000,147,0.9884917091670916,0.9624257178554716,0.107287928771942,0.2741323785068993,1.0
75,substitution_1pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9923018671309012,0.9748635529645092,0.0877676882007727,0.2242161769566996,1.0
75,substitution_1pct,CK5,ckmer5_count_l2,4000,512,0.9596522184549594,0.8708293286898486,0.2017682794211475,0.5082729017174764,1.0
100,substitution_1pct,CK4,ck4,4000,136,0.9799413699460714,0.9413470046431668,0.1544335577738765,0.34249962147423,1.0
100,substitution_1pct,CK4+P,ck4_p,4000,147,0.989966266445218,0.970669997573952,0.109236014239545,0.2421982753754637,1.0
100,substitution_1pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9932915945383336,0.9803967442402818,0.0893358449162456,0.1980063411849534,1.0
100,substitution_1pct,CK5,ckmer5_count_l2,4000,512,0.961962646613106,0.8917116665502756,0.2136021197840394,0.4653779822976622,1.0
69,substitution_1pct_N_3pct,CK4,ck4,4000,136,0.9406955774325416,0.8779001887709912,0.3330344362864206,0.4941655759932207,1.0
69,substitution_1pct_N_3pct,CK4+P,ck4_p,4000,147,0.9693454976409304,0.9377734055880842,0.2399900760700185,0.352779233640827,1.0
69,substitution_1pct_N_3pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.979208880628294,0.9579242359420308,0.1978405800350637,0.2900888268452637,1.0
69,substitution_1pct_N_3pct,CK5,ckmer5_count_l2,4000,512,0.8986073119001133,0.7962452629227079,0.4368351652014774,0.6383646591245002,1.0
75,substitution_1pct_N_3pct,CK4,ck4,4000,136,0.9453779012718933,0.8850067544418387,0.3191702820700067,0.4795690647378121,1.0
75,substitution_1pct_N_3pct,CK4+P,ck4_p,4000,147,0.9718231135839968,0.9415274782707074,0.2297547175404367,0.3419722846272501,1.0
75,substitution_1pct_N_3pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9809113959615838,0.9607664936044552,0.1892898377419073,0.2801196400940795,1.0
75,substitution_1pct_N_3pct,CK5,ckmer5_count_l2,4000,512,0.9049556455554828,0.8049630870428865,0.4222598516880945,0.624558896416869,1.0
100,substitution_1pct_N_3pct,CK4,ck4,4000,136,0.9482106485151824,0.9009201471064732,0.3137247257508061,0.4451513274093644,1.0
100,substitution_1pct_N_3pct,CK4+P,ck4_p,4000,147,0.9730665553793932,0.949504799230793,0.226714263291048,0.3177898699815883,1.0
100,substitution_1pct_N_3pct,"CK4P-MSP
(222-dim)",ck4p_msp,4000,222,0.9817780470217526,0.9660354900302286,0.1866014034076281,0.2606319564024683,1.0
100,substitution_1pct_N_3pct,CK5,ckmer5_count_l2,4000,512,0.9031213054658292,0.824135663550918,0.4305105243729618,0.5930671728558482,1.0
