table,md_path,status_hint,source_csv,md_rows,source_rows,status,details
stage2_table_hospital_69_75_focus,manuscript\tables\stage2_table_hospital_69_75_focus.md,final,results/stage2/publication_assets/tables/stage2_table_hospital_69_75_focus.csv,40.0,40.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_stability_gain_summary,manuscript\tables\stage2_table_stability_gain_summary.md,final,results/stage2/publication_assets/tables/stage2_table_stability_gain_summary.csv,4.0,4.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_csp_component_singletons,manuscript\tables\stage2_table_csp_component_singletons.md,final,results/stage2/publication_assets/tables/stage2_table_csp_component_singletons.csv,7.0,7.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_csp_full_ablation,manuscript\tables\stage2_table_csp_full_ablation.md,final,results/stage2/publication_assets/tables/stage2_table_csp_full_ablation.csv,24.0,24.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_readout_aggregate,manuscript\tables\stage2_table_readout_aggregate.md,final,results/stage2/publication_assets/tables/stage2_table_readout_aggregate.csv,10.0,10.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_attention_change_points,manuscript\tables\stage2_table_attention_change_points.md,final,results/stage2/publication_assets/tables/stage2_table_attention_change_points.csv,4.0,4.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_arg_snp_best_stability,manuscript\tables\stage2_table_arg_snp_best_stability.md,final,results/stage2/publication_assets/tables/stage2_table_arg_snp_best_stability.csv,50.0,50.0,ok,markdown values match source CSV within displayed precision tolerance
stage2_table_arg_snp_readout_aggregate,manuscript\tables\stage2_table_arg_snp_readout_aggregate.md,final,results/stage2/publication_assets/tables/stage2_table_arg_snp_readout_aggregate.csv,18.0,18.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_compact_bootstrap_ci,manuscript\tables\stage3_table_compact_bootstrap_ci.md,final,results/stage3/bootstrap_ci/stage3_compact_bootstrap_ci.csv,9.0,9.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_art_bootstrap_ci,manuscript\tables\stage3_table_art_bootstrap_ci.md,final,results/stage3/bootstrap_ci/stage3_art_bootstrap_ci.csv,8.0,8.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_art_quality_bootstrap_ci,manuscript\tables\stage3_table_art_quality_bootstrap_ci.md,final,results/stage3/bootstrap_ci/stage3_art_quality_bootstrap_ci.csv,24.0,24.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_cami_macro_f1_bootstrap_ci,manuscript\tables\stage3_table_cami_macro_f1_bootstrap_ci.md,final,results/stage3/bootstrap_ci/stage3_cami_macro_f1_bootstrap_ci.csv,16.0,16.0,ok,markdown values match source CSV within displayed precision tolerance
stage3_table_fullmatrix_property_controlled_ci,manuscript\tables\stage3_table_fullmatrix_property_controlled_ci.md,final,results/stage3/fullmatrix_property_contribution_ci/fullmatrix_property_controlled_ci.csv,16.0,16.0,ok,markdown values match source CSV within displayed precision tolerance
