representation,length,condition,l2_delta_mean,paired_cosine_mean,retrieval_top1,margin_positive_rate,label_retention_ratio,macro_f1,delta_macro_f1
ck4,69,substitution_1pct,0.151760890769684,0.9758913217635922,1.0,1.0,0.9770329562730944,0.8804845418146766,-0.0206974870631382
ck4_p,69,substitution_1pct,0.1073521187082424,0.987939102145946,1.0,1.0,0.9876983227001384,0.8832541792328659,-0.0110008366289142
ck4p_msp,69,substitution_1pct,0.087813254520297,0.9919328715675249,1.0,1.0,0.9885751701267054,0.8824015033696215,-0.0101977951303846
ck4,69,N_3pct,0.2630551263279819,0.9646795909211382,1.0,1.0,0.9783990115800698,0.881715606307776,-0.0194664225700388
ck4_p,69,N_3pct,0.1913738265588322,0.9813544225966884,1.0,1.0,0.9868610348034336,0.8825054303315173,-0.0117495855302628
ck4p_msp,69,N_3pct,0.1583848987309491,0.987245206053897,1.0,1.0,0.9868524768456322,0.8808638285554049,-0.0117354699446012
ck4,75,substitution_1pct,0.148962635200723,0.977311244627706,1.0,1.0,0.9877237338997142,0.8901188784865154,-0.0110631503912994
ck4_p,75,substitution_1pct,0.1053704549378914,0.9886495836293906,1.0,1.0,0.9953368777259411,0.8900849953786263,-0.0041700204831538
ck4p_msp,75,substitution_1pct,0.0862025729689252,0.9924067684707344,1.0,1.0,0.9935048259830114,0.8868017107288066,-0.0057975877711995
ck4,75,N_3pct,0.2440591488127682,0.9696160346107368,1.0,1.0,0.9752283658969434,0.8788582773982034,-0.0223237514796114
ck4_p,75,N_3pct,0.177673909054983,0.9839416598940436,1.0,1.0,0.9850090065754084,0.8808492447990881,-0.013405771062692
ck4p_msp,75,N_3pct,0.1470874437113276,0.9890081996815908,1.0,1.0,0.9876941842246416,0.8816151359714509,-0.0109841625285552
ck4,100,substitution_1pct,0.1528164480185999,0.9808983674163156,1.0,1.0,0.998714628735854,0.9000236753941304,-0.0011583534836844
ck4_p,100,substitution_1pct,0.1080820038680713,0.990444963192848,1.0,1.0,1.00096573048291,0.8951186251900931,0.0008636093283129
ck4p_msp,100,substitution_1pct,0.0883821767329322,0.9936114113756012,1.0,1.0,1.0000684371546211,0.8926603854562123,6.108695620610227e-05
ck4,100,N_3pct,0.244879192112834,0.9694874354331608,0.9975,0.9975,0.99068875629473,0.8927909033841237,-0.0083911254936911
ck4_p,100,N_3pct,0.1791379349712457,0.983711708285517,0.9975,0.9975,0.9952122181073296,0.8899735178894074,-0.0042814979723727
ck4p_msp,100,N_3pct,0.1479058112091566,0.9889037392763664,0.9975,0.9975,0.9970030967098658,0.88992426472556,-0.0026750337744462
