sample_id,length,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,paired_cosine,n_features
Enterobacter_bugandensis_L69_R0035,69,ck4,CK4,dispersed_random,dispersed,random,0.356160635822335,0.9365748007453152,136
Enterobacter_bugandensis_L69_R0035,69,ck4,CK4,dispersed_property,dispersed,property,0.36650833306891567,0.9328358208955224,136
Enterobacter_bugandensis_L69_R0035,69,ck4,CK4,contiguous_random,contiguous,random,0.2639223196894623,0.9651725045848669,136
Enterobacter_bugandensis_L69_R0035,69,ck4,CK4,contiguous_property,contiguous,property,0.2741050174375101,0.9624332197077913,136
Klebsiella_quasipneumoniae_L69_R0071,69,ck4,CK4,dispersed_random,dispersed,random,0.3071475584169756,0.9528301886792453,136
Klebsiella_quasipneumoniae_L69_R0071,69,ck4,CK4,dispersed_property,dispersed,property,0.3071475584169756,0.9528301886792453,136
Klebsiella_quasipneumoniae_L69_R0071,69,ck4,CK4,contiguous_random,contiguous,random,0.27155801387686246,0.9631281225496269,136
Klebsiella_quasipneumoniae_L69_R0071,69,ck4,CK4,contiguous_property,contiguous,property,0.27155801387686246,0.9631281225496269,136
Acinetobacter_pittii_L69_R0041,69,ck4,CK4,dispersed_random,dispersed,random,0.4078630017822476,0.9168238858885873,136
Acinetobacter_pittii_L69_R0041,69,ck4,CK4,dispersed_property,dispersed,property,0.35959538219225495,0.9353455805530031,136
Acinetobacter_pittii_L69_R0041,69,ck4,CK4,contiguous_random,contiguous,random,0.30002096440984755,0.9549937104572926,136
Acinetobacter_pittii_L69_R0041,69,ck4,CK4,contiguous_property,contiguous,property,0.30002096440984755,0.9549937104572925,136
Candida_albicans_L69_R0027,69,ck4,CK4,dispersed_random,dispersed,random,0.2646210503143316,0.9649878498652702,136
Candida_albicans_L69_R0027,69,ck4,CK4,dispersed_property,dispersed,property,0.3393992488696152,0.9424040749333708,136
Candida_albicans_L69_R0027,69,ck4,CK4,contiguous_random,contiguous,random,0.23880469858209807,0.9714861579675569,136
Candida_albicans_L69_R0027,69,ck4,CK4,contiguous_property,contiguous,property,0.23745692644167649,0.9718071040424363,136
Acinetobacter_nosocomialis_L69_R0066,69,ck4,CK4,dispersed_random,dispersed,random,0.3302891295379082,0.9454545454545454,136
Acinetobacter_nosocomialis_L69_R0066,69,ck4,CK4,dispersed_property,dispersed,property,0.3302891295379082,0.9454545454545454,136
Acinetobacter_nosocomialis_L69_R0066,69,ck4,CK4,contiguous_random,contiguous,random,0.33502296205323323,0.9438798074485392,136
Acinetobacter_nosocomialis_L69_R0066,69,ck4,CK4,contiguous_property,contiguous,property,0.33487320049282354,0.9439299697958465,136
Candida_tropicalis_L69_R0037,69,ck4,CK4,dispersed_random,dispersed,random,0.2843447122746639,0.9595740423007194,136
