length,representation,representation_label,target,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,n_templates,n_features,cv_folds
69,ck4,CK4,spatial_pattern,0.501,0.022671568097509285,0.4984701777828654,0.024725905276422048,250,136,5
69,ck4,CK4,chemistry,0.48900000000000005,0.009695359714832668,0.4875858041174642,0.010819643119244502,250,136,5
69,ck4_p,CK4+P,spatial_pattern,0.511,0.012409673645990868,0.5080809239683534,0.012528465759697948,250,147,5
69,ck4_p,CK4+P,chemistry,0.488,0.006782329983125274,0.48731858419139584,0.006739609771570873,250,147,5
69,ck4_msp,CK4+MSP,spatial_pattern,0.516,0.029051678092667926,0.5136505807552183,0.028620471512200197,250,211,5
69,ck4_msp,CK4+MSP,chemistry,0.502,0.006000000000000005,0.5007927277006086,0.005699574769734452,250,211,5
69,ck4p_msp,CK4P-MSP,spatial_pattern,0.5210000000000001,0.0239582971014219,0.5188074002549639,0.02273274027208514,250,222,5
69,ck4p_msp,CK4P-MSP,chemistry,0.49499999999999994,0.008366600265340762,0.49337833379372464,0.010007128469523082,250,222,5
69,pseknc_k3_l3,PseKNC,spatial_pattern,0.5029999999999999,0.012884098726725137,0.500300062240163,0.014211793660356173,250,67,5
69,pseknc_k3_l3,PseKNC,chemistry,0.491,0.011135528725660053,0.489693680366028,0.01098733989857705,250,67,5
69,pseeiip,PseEIIP,spatial_pattern,0.5,0.015811388300841913,0.496656447584639,0.013933047115442795,250,64,5
69,pseeiip,PseEIIP,chemistry,0.499,0.009695359714832668,0.4968236676630641,0.009267366712789982,250,64,5
69,ncp_anf,NCP+ANF,spatial_pattern,0.514,0.006633249580710805,0.5121233192088226,0.007280786178484653,250,276,5
69,ncp_anf,NCP+ANF,chemistry,0.49499999999999994,0.004472135954999583,0.4944346400363878,0.003959993934217453,250,276,5
75,ck4,CK4,spatial_pattern,0.48200000000000004,0.022045407685048604,0.47941358556452246,0.020125515456302263,250,136,5
75,ck4,CK4,chemistry,0.505,0.012649110640673528,0.5012709225545452,0.015619398568611229,250,136,5
75,ck4_p,CK4+P,spatial_pattern,0.483,0.02204540768504861,0.4792969241409043,0.020156552705728557,250,147,5
75,ck4_p,CK4+P,chemistry,0.51,0.010488088481701525,0.5074598532446559,0.0119079625549425,250,147,5
75,ck4_msp,CK4+MSP,spatial_pattern,0.49000000000000005,0.012649110640673528,0.48708698598998507,0.013088702351215658,250,211,5
75,ck4_msp,CK4+MSP,chemistry,0.511,0.008602325267042634,0.5062339394274776,0.01028223988610371,250,211,5
