balanced_accuracy,dimension,macro_f1,macro_recall,n,representation,split
0.3057634378923742,136,0.29797280454960734,0.3057634378923742,1049999,CK4,train
0.29729246426093897,136,0.28918978032461595,0.29729246426093897,225000,CK4,validation
0.29608874170194643,136,0.28851441187951254,0.29608874170194643,225001,CK4,test
0.30453856766654125,147,0.30515141603326823,0.30453856766654125,1049999,CK4_P,train
0.2975065673904254,147,0.2977971041454594,0.2975065673904254,225000,CK4_P,validation
0.297582736688466,147,0.2979448107005744,0.297582736688466,225001,CK4_P,test
0.3006786510343995,211,0.2943700234890198,0.3006786510343995,1049999,CK4_MSP,train
0.29382100793639965,211,0.2871512684554927,0.29382100793639965,225000,CK4_MSP,validation
0.29384475039007635,211,0.28767471539942074,0.29384475039007635,225001,CK4_MSP,test
0.29256142801585455,222,0.28542333766927047,0.29256142801585455,1049999,CK4P-MSP,train
0.2870788694291707,222,0.2796087060549777,0.2870788694291707,225000,CK4P-MSP,validation
0.2862325177768346,222,0.2793035202136336,0.2862325177768346,225001,CK4P-MSP,test
