split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.25,0.250592885375494,512,all_labels,genus,Acinetobacter,label,69,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.2604166666666667,0.2619016530137262,136,all_labels,genus,Acinetobacter,label,69,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.28125,0.2825767875962878,147,all_labels,genus,Acinetobacter,label,69,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.25,0.2459157613874595,1008,all_labels,genus,Acinetobacter,label,69,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.2604166666666667,0.2608594547394826,1104,all_labels,genus,Acinetobacter,label,69,clean,rope_property,320,4
holdout,nearest_centroid,0.3194444444444444,0.3172891798228725,504,all_labels,genus,Burkholderia,label,69,clean,ckmer5_count_l2,240,3
holdout,nearest_centroid,0.3333333333333333,0.330809216774129,136,all_labels,genus,Burkholderia,label,69,clean,cspaced_count_l2,240,3
holdout,nearest_centroid,0.3611111111111111,0.3582246582246582,147,all_labels,genus,Burkholderia,label,69,clean,cspaced_property_l2,240,3
holdout,nearest_centroid,0.2777777777777778,0.2761522802540029,1008,all_labels,genus,Burkholderia,label,69,clean,spaced_kmer_phase,240,3
holdout,nearest_centroid,0.2777777777777778,0.2768794326241134,1104,all_labels,genus,Burkholderia,label,69,clean,rope_property,240,3
holdout,nearest_centroid,0.3229166666666667,0.306348367394879,510,all_labels,genus,Candida,label,69,clean,ckmer5_count_l2,320,4
holdout,nearest_centroid,0.2916666666666667,0.2839422084623323,136,all_labels,genus,Candida,label,69,clean,cspaced_count_l2,320,4
holdout,nearest_centroid,0.2916666666666667,0.2803838412880966,147,all_labels,genus,Candida,label,69,clean,cspaced_property_l2,320,4
holdout,nearest_centroid,0.3125,0.3083333333333333,1008,all_labels,genus,Candida,label,69,clean,spaced_kmer_phase,320,4
holdout,nearest_centroid,0.3229166666666667,0.308425017345624,1104,all_labels,genus,Candida,label,69,clean,rope_property,320,4
holdout,nearest_centroid,0.1916666666666666,0.1962767370685805,510,all_labels,genus,Enterobacter,label,69,clean,ckmer5_count_l2,400,5
holdout,nearest_centroid,0.175,0.1750429070129058,136,all_labels,genus,Enterobacter,label,69,clean,cspaced_count_l2,400,5
holdout,nearest_centroid,0.1833333333333333,0.1805050505050505,147,all_labels,genus,Enterobacter,label,69,clean,cspaced_property_l2,400,5
holdout,nearest_centroid,0.2333333333333333,0.2238232073903085,1008,all_labels,genus,Enterobacter,label,69,clean,spaced_kmer_phase,400,5
holdout,nearest_centroid,0.1916666666666666,0.1843718820861678,1104,all_labels,genus,Enterobacter,label,69,clean,rope_property,400,5
holdout,nearest_centroid,0.4375,0.4352941176470588,510,all_labels,genus,Escherichia,label,69,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.6666666666666666,0.6643356643356644,136,all_labels,genus,Escherichia,label,69,clean,cspaced_count_l2,160,2
