split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.65625,0.5699742093117959,511,all_labels,genus,Candida,target_binary,69,clean,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.5729166666666666,0.4657255327813221,136,all_labels,genus,Candida,target_binary,69,clean,cspaced_count_l2,320,2
holdout,nearest_centroid,0.5416666666666666,0.4197802197802198,147,all_labels,genus,Candida,target_binary,69,clean,cspaced_property_l2,320,2
holdout,nearest_centroid,0.4791666666666667,0.4307400379506642,1008,all_labels,genus,Candida,target_binary,69,clean,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.5625,0.432112676056338,1104,all_labels,genus,Candida,target_binary,69,clean,rope_property,320,2
holdout,nearest_centroid,0.4305555555555556,0.387932821895086,504,all_labels,genus,Burkholderia,target_binary,69,clean,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.4166666666666667,0.3937449879711307,136,all_labels,genus,Burkholderia,target_binary,69,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.4305555555555556,0.4047186932849365,147,all_labels,genus,Burkholderia,target_binary,69,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.4583333333333333,0.4400797607178464,1008,all_labels,genus,Burkholderia,target_binary,69,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.4444444444444444,0.4074074074074074,1104,all_labels,genus,Burkholderia,target_binary,69,clean,rope_property,240,2
holdout,nearest_centroid,0.6666666666666666,0.4791666666666666,510,all_labels,genus,Enterobacter,target_binary,69,clean,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.5833333333333334,0.477533960292581,136,all_labels,genus,Enterobacter,target_binary,69,clean,cspaced_count_l2,400,2
holdout,nearest_centroid,0.5916666666666667,0.483076923076923,147,all_labels,genus,Enterobacter,target_binary,69,clean,cspaced_property_l2,400,2
holdout,nearest_centroid,0.6083333333333333,0.4593039976991659,1008,all_labels,genus,Enterobacter,target_binary,69,clean,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.7,0.4805194805194805,1104,all_labels,genus,Enterobacter,target_binary,69,clean,rope_property,400,2
