probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Acinetobacter,75,clean,k-mer,k=4,4,,False,False,80,4,0.20833333333333334,0.1766968325791855,256,256
within_genus_species,Acinetobacter,75,clean,k-mer,k=5,5,,False,False,80,4,0.20833333333333334,0.20891608391608393,936,936
within_genus_species,Acinetobacter,75,clean,k-mer,k=6,6,,False,False,80,4,0.2916666666666667,0.2762286324786325,2195,2195
within_genus_species,Acinetobacter,75,clean,k-mer,k=7,7,,False,False,80,4,0.16666666666666666,0.11309523809523808,3196,3196
within_genus_species,Acinetobacter,75,clean,canonical k-mer,k=4,4,,True,False,80,4,0.16666666666666666,0.14679487179487177,136,136
within_genus_species,Acinetobacter,75,clean,canonical k-mer,k=5,5,,True,False,80,4,0.2916666666666667,0.2787878787878788,501,501
within_genus_species,Acinetobacter,75,clean,canonical k-mer,k=6,6,,True,False,80,4,0.2916666666666667,0.2968253968253968,1518,1518
within_genus_species,Acinetobacter,75,clean,canonical k-mer,k=7,7,,True,False,80,4,0.2916666666666667,0.27136752136752135,2736,2736
within_genus_species,Acinetobacter,75,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,80,4,0.16666666666666666,0.14679487179487177,136,136
within_genus_species,Acinetobacter,75,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,80,4,0.20833333333333334,0.20613830613830614,147,147
within_genus_species,Acinetobacter,75,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,80,4,0.041666666666666664,0.029411764705882353,136,136
within_genus_species,Acinetobacter,75,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,80,4,0.08333333333333333,0.06696428571428571,147,147
within_genus_species,Acinetobacter,75,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,80,4,0.3333333333333333,0.33712121212121215,136,136
within_genus_species,Acinetobacter,75,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,80,4,0.3333333333333333,0.33861693861693865,147,147
within_genus_species,Burkholderia,75,clean,k-mer,k=4,4,,False,False,80,3,0.25,0.2454248366013072,251,251
within_genus_species,Burkholderia,75,clean,k-mer,k=5,5,,False,False,80,3,0.2916666666666667,0.26535087719298245,788,788
within_genus_species,Burkholderia,75,clean,k-mer,k=6,6,,False,False,80,3,0.3333333333333333,0.2738095238095238,1719,1719
