family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
k-mer,k=4,4,,False,False,69,reverse_complement,120,256,0.29900367869410055,0.10664682539682546,1.1782461692692963,1.3366763803198374
k-mer,k=5,5,,False,False,69,reverse_complement,120,1018,0.10977259893801697,0.0,1.3327096483411744,1.4142135623730945
k-mer,k=6,6,,False,False,69,reverse_complement,120,3223,0.051356957659382245,0.0,1.3767099628256816,1.4142135623730956
k-mer,k=7,7,,False,False,69,reverse_complement,120,5736,0.02181675088824414,0.0,1.39828820430989,1.4142135623730958
canonical k-mer,k=4,4,,True,False,69,reverse_complement,120,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical k-mer,k=5,5,,True,False,69,reverse_complement,120,512,0.9999999999999999,0.9999999999999984,0.0,0.0
canonical k-mer,k=6,6,,True,False,69,reverse_complement,120,1937,1.0000000000000007,1.0,0.0,0.0
canonical k-mer,k=7,7,,True,False,69,reverse_complement,120,4541,1.0000000000000007,0.9999999999999982,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,69,reverse_complement,120,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,69,reverse_complement,120,147,0.9988439471458447,0.9948962806737218,0.03651180580246729,0.10103180273207156
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,69,reverse_complement,120,136,1.0000000000000002,0.9999999999999991,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,69,reverse_complement,120,147,0.9988439471458447,0.9948962806737219,0.036511805802467295,0.10103180273207157
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,69,reverse_complement,120,136,0.4705230966818592,0.3260979880320155,1.0229674501007642,1.1609481868697655
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,69,reverse_complement,120,147,0.9425141240745778,0.9256384765165765,0.33717743644972903,0.38564611568865703
k-mer,k=4,4,,False,False,69,N_3pct,120,256,0.958196554354468,0.9444945174710214,0.2872306477376918,0.33318300152842145
k-mer,k=5,5,,False,False,69,N_3pct,120,1018,0.9347803881891118,0.9176301964163074,0.3591964205265701,0.40588112051154335
k-mer,k=6,6,,False,False,69,N_3pct,120,3223,0.9163990615598541,0.9013878188659972,0.4065962282622825,0.4440994959105508
k-mer,k=7,7,,False,False,69,N_3pct,120,5736,0.9007824072440338,0.8819171036881974,0.44261082987795464,0.48596892145857074
canonical k-mer,k=4,4,,True,False,69,N_3pct,120,136,0.9656017783499136,0.9506715567185966,0.25982866897620505,0.31409671183953447
canonical k-mer,k=5,5,,True,False,69,N_3pct,120,512,0.9395879638280394,0.9176115075073183,0.3449725211708403,0.40592694135401003
canonical k-mer,k=6,6,,True,False,69,N_3pct,120,1937,0.9185340338665663,0.9013878188659972,0.4012250417955124,0.4440994959105508
canonical k-mer,k=7,7,,True,False,69,N_3pct,120,4541,0.9020030066515782,0.8819171036881974,0.4398155361399686,0.48596892145857074
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,69,N_3pct,120,136,0.9656017783499136,0.9506715567185966,0.25982866897620505,0.31409671183953447
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,69,N_3pct,120,147,0.9944898240772903,0.9928251884210553,0.10458632131335989,0.11978989920538632
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,69,N_3pct,120,136,0.9627215839971783,0.9486109855458438,0.2703349688395207,0.3205899596189481
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,69,N_3pct,120,147,0.9941855576232869,0.9925906674053465,0.10737744836786765,0.12173191712172882
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,69,N_3pct,120,136,0.9630894423241154,0.946654924318122,0.2694321101081216,0.3266345838452448
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,69,N_3pct,120,147,0.9942211741913833,0.9923834653625078,0.1071155161711952,0.12342231782489478
k-mer,k=4,4,,False,False,69,substitution_1pct,120,256,0.973464125878673,0.9000654506898551,0.14846491641812648,0.4470646398807465
k-mer,k=5,5,,False,False,69,substitution_1pct,120,1018,0.9589855408175972,0.8528108630654436,0.1848823134010336,0.5425634706391335
k-mer,k=6,6,,False,False,69,substitution_1pct,120,3223,0.9498729138340416,0.8165740502715818,0.2038158726433458,0.6056828613795305
k-mer,k=7,7,,False,False,69,substitution_1pct,120,5736,0.9516621121432637,0.8055137318210626,0.19937623432229834,0.6236733187884456
canonical k-mer,k=4,4,,True,False,69,substitution_1pct,120,136,0.9783755538335512,0.9171868118703059,0.13269664009011986,0.4069715913777575
canonical k-mer,k=5,5,,True,False,69,substitution_1pct,120,512,0.9623469569765375,0.8609414397336074,0.17673605081260732,0.5273675380505399
canonical k-mer,k=6,6,,True,False,69,substitution_1pct,120,1937,0.9489449814043669,0.8175859476233222,0.20606641831931094,0.6040093143702907
canonical k-mer,k=7,7,,True,False,69,substitution_1pct,120,4541,0.9459306260003014,0.7965167537125046,0.2118232088495483,0.6379379434782284
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,69,substitution_1pct,120,136,0.9783755538335512,0.9171868118703059,0.13269664009011986,0.4069715913777575
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,69,substitution_1pct,120,147,0.9977162571331012,0.9917719509617559,0.04318824308709101,0.12827852819600563
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,69,substitution_1pct,120,136,0.9761411415231471,0.9059518662584662,0.13979883707525723,0.43369690066100497
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,69,substitution_1pct,120,147,0.9974758968216534,0.9901591422481287,0.04546052273459248,0.1402889622095048
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,69,substitution_1pct,120,136,0.9760464182200486,0.9083994719270538,0.14046327269217876,0.428015648167431
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,69,substitution_1pct,120,147,0.997469022828366,0.9904222579812191,0.045660014634712594,0.13840225898050962
k-mer,k=4,4,,False,False,75,reverse_complement,120,256,0.3205775605803182,0.1266448370392933,1.1595496236733491,1.3216314904872526
k-mer,k=5,5,,False,False,75,reverse_complement,120,1018,0.12915353870395269,0.01999999999999999,1.317056079862287,1.3999962004952429
k-mer,k=6,6,,False,False,75,reverse_complement,120,3298,0.06656493162332422,0.0,1.3648381556958857,1.4142135623730956
k-mer,k=7,7,,False,False,75,reverse_complement,120,6045,0.040560457611140785,0.0,1.3839703542256627,1.4142135623730958
canonical k-mer,k=4,4,,True,False,75,reverse_complement,120,136,1.0000000000000002,0.9999999999999994,0.0,0.0
canonical k-mer,k=5,5,,True,False,75,reverse_complement,120,511,0.9999999999999999,0.9999999999999979,0.0,0.0
canonical k-mer,k=6,6,,True,False,75,reverse_complement,120,1933,1.0000000000000009,0.9999999999999987,0.0,0.0
