task,representation,length,condition,n,paired_cosine_mean,paired_cosine_median,paired_cosine_p05,l2_delta_mean,l2_delta_p95,group,classifier,n_classes,accuracy,macro_f1,auroc
rc_consistency,kmer5_count_l2,75,reverse_complement,400,0.12274187644373263,0.08149993081499929,0.0,,,,,,,,
perturbation_stability,kmer5_count_l2,75,N_3pct,400,0.9485423368447704,,0.9289853059279986,0.3171181923334296,0.376867865629325,,,,,,
perturbation_stability,kmer5_count_l2,75,substitution_1pct,400,0.962336476527679,,0.8745121037612441,0.19433767525473564,0.5009747857030592,,,,,,
motif_position,kmer5_count_l2,75,clean,240,,,,,,toy_motif,nearest_centroid,3.0,0.3194444444444444,0.3225344107544419,
motif_position,kmer5_count_l2,75,clean,240,,,,,,toy_motif,logistic_regression,3.0,0.3055555555555556,0.3055555555555556,
motif_position,kmer5_count_l2,75,N_3pct,240,,,,,,toy_motif,nearest_centroid,3.0,0.3055555555555556,0.30444444444444446,
motif_position,kmer5_count_l2,75,N_3pct,240,,,,,,toy_motif,logistic_regression,3.0,0.375,0.3743832211917318,
rc_consistency,kmer5_count_l2,75,reverse_complement,1680,0.12512926927481208,0.10412196499153023,0.0,,,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,75,N_3pct,1680,0.9405081956801346,,0.9269061061280506,0.34278667086979137,0.3823451160194138,close_relative_wgs,,,,,
perturbation_stability,kmer5_count_l2,75,substitution_1pct,1680,0.9576110833709509,,0.8649438443513423,0.2074710856876719,0.5197233026306556,close_relative_wgs,,,,,
close_relative_species,kmer5_count_l2,75,clean,120,,,,,,Acinetobacter,nearest_centroid,4.0,0.2222222222222222,0.22638888888888886,
close_relative_species,kmer5_count_l2,75,clean,120,,,,,,Acinetobacter,logistic_regression,4.0,0.08333333333333333,0.08571428571428572,
close_relative_species,kmer5_count_l2,75,clean,90,,,,,,Burkholderia,nearest_centroid,3.0,0.3333333333333333,0.3318426785919046,
close_relative_species,kmer5_count_l2,75,clean,90,,,,,,Burkholderia,logistic_regression,3.0,0.4074074074074074,0.4070175438596491,
close_relative_target_binary,kmer5_count_l2,75,clean,90,,,,,,Burkholderia,nearest_centroid,2.0,0.6296296296296297,0.5833333333333333,0.7407407407407407
