condition,length,n_pairs,delta_cosine_mean,delta_cosine_ci95_low,delta_cosine_ci95_high,l2_improvement_mean,l2_improvement_ci95_low,l2_improvement_ci95_high,n_boot,seed
N_3pct,69,1680,0.03143955307608145,0.030974698630909604,0.0318672142435231,0.1626641404107457,0.1612444555972477,0.16397962211502592,1000,20260620
substitution_1pct,69,1680,0.022467470188415595,0.02115505477952679,0.023839518282271554,0.10380929540654109,0.09860299100663701,0.10886242491395313,1000,20260620
N_3pct,75,1680,0.02785757524472312,0.027464511015303124,0.028245478228584583,0.1535188291314146,0.15217849274165685,0.15481284077491145,1000,20260620
substitution_1pct,75,1680,0.020522941646897712,0.01941706498999471,0.02168243914993533,0.10200810444479648,0.09705881554611319,0.10691386447177749,1000,20260620
N_3pct,100,1680,0.027263987514333288,0.02690697323418816,0.027643817061881334,0.150199023148572,0.14905781793668085,0.1514486976472808,1000,20260620
substitution_1pct,100,1680,0.01917133688965494,0.01821492996522395,0.02007991901494617,0.10772788630981096,0.10308275966528498,0.11202723753513213,1000,20260620
N_3pct,125,1680,0.025831840613964506,0.02548308773889759,0.026205350195717736,0.14449933577680268,0.14332985438000903,0.1457303844984543,1000,20260620
substitution_1pct,125,1680,0.0173435897609635,0.016626065677366842,0.01806417550937968,0.11023531613092949,0.10684089742273467,0.11357360849781385,1000,20260620
N_3pct,150,1680,0.01933863973166885,0.019093299776162267,0.019583573752501193,0.1261617117941002,0.12516783064093256,0.12717127673315146,1000,20260620
substitution_1pct,150,1680,0.015144822491517844,0.014510335120996537,0.01577664097109786,0.10598376832440652,0.10299053880722685,0.10920193410108309,1000,20260620
N_3pct,300,1680,0.01354435309143079,0.013380212159176516,0.013707400216118652,0.10361739453391655,0.10279258848553408,0.10444282655646696,1000,20260620
substitution_1pct,300,1680,0.009254025112368133,0.008995116340467988,0.009533567079578377,0.09361018926102745,0.09199305664002969,0.09532292052962685,1000,20260620
