task,length,condition,representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1
arg_allele,69,clean,ckmer5_count_l2,nearest_centroid,360,3,95,1.0,1.0
arg_allele,69,clean,ckmer5_count_l2,logistic,360,3,95,1.0,1.0
arg_allele,69,clean,ckmer7_count_l2,nearest_centroid,360,3,116,1.0,1.0
arg_allele,69,clean,ckmer7_count_l2,logistic,360,3,116,1.0,1.0
arg_allele,69,clean,cspaced_count_l2,nearest_centroid,360,3,67,1.0,1.0
arg_allele,69,clean,cspaced_count_l2,logistic,360,3,67,1.0,1.0
arg_allele,69,clean,cspaced_property_l2,nearest_centroid,360,3,78,1.0,1.0
arg_allele,69,clean,cspaced_property_l2,logistic,360,3,78,1.0,1.0
arg_allele,69,clean,hybrid_ckmer5_csp,nearest_centroid,360,3,173,1.0,1.0
arg_allele,69,clean,hybrid_ckmer5_csp,logistic,360,3,173,1.0,1.0
arg_allele,69,clean,hybrid_ckmer7_csp,nearest_centroid,360,3,194,1.0,1.0
arg_allele,69,clean,hybrid_ckmer7_csp,logistic,360,3,194,1.0,1.0
arg_allele,69,substitution_1pct,ckmer5_count_l2,nearest_centroid,360,3,404,1.0,1.0
arg_allele,69,substitution_1pct,ckmer5_count_l2,logistic,360,3,404,1.0,1.0
arg_allele,69,substitution_1pct,ckmer7_count_l2,nearest_centroid,360,3,1103,1.0,1.0
arg_allele,69,substitution_1pct,ckmer7_count_l2,logistic,360,3,1103,1.0,1.0
arg_allele,69,substitution_1pct,cspaced_count_l2,nearest_centroid,360,3,131,1.0,1.0
arg_allele,69,substitution_1pct,cspaced_count_l2,logistic,360,3,131,1.0,1.0
arg_allele,69,substitution_1pct,cspaced_property_l2,nearest_centroid,360,3,142,1.0,1.0
arg_allele,69,substitution_1pct,cspaced_property_l2,logistic,360,3,142,1.0,1.0
arg_allele,69,substitution_1pct,hybrid_ckmer5_csp,nearest_centroid,360,3,546,1.0,1.0
arg_allele,69,substitution_1pct,hybrid_ckmer5_csp,logistic,360,3,546,1.0,1.0
arg_allele,69,substitution_1pct,hybrid_ckmer7_csp,nearest_centroid,360,3,1245,1.0,1.0
arg_allele,69,substitution_1pct,hybrid_ckmer7_csp,logistic,360,3,1245,1.0,1.0
arg_allele,69,N_3pct,ckmer5_count_l2,nearest_centroid,360,3,95,1.0,1.0
arg_allele,69,N_3pct,ckmer5_count_l2,logistic,360,3,95,1.0,1.0
arg_allele,69,N_3pct,ckmer7_count_l2,nearest_centroid,360,3,116,1.0,1.0
arg_allele,69,N_3pct,ckmer7_count_l2,logistic,360,3,116,1.0,1.0
arg_allele,69,N_3pct,cspaced_count_l2,nearest_centroid,360,3,67,1.0,1.0
arg_allele,69,N_3pct,cspaced_count_l2,logistic,360,3,67,1.0,1.0
arg_allele,69,N_3pct,cspaced_property_l2,nearest_centroid,360,3,78,1.0,1.0
arg_allele,69,N_3pct,cspaced_property_l2,logistic,360,3,78,1.0,1.0
