motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
120,110,SE110,kmer5_count_l2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.37037037037037035,0.36262099506120365,1024
120,110,SE110,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.32407407407407407,0.3138667066780032,512
120,110,SE110,property_channels,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.3055555555555556,0.3045843045843046,550
120,110,SE110,rope_property,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.35185185185185186,0.35057406361754184,1760
120,110,SE110,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.32407407407407407,0.31863375214923484,1664
120,110,SE110,cspaced_property_l2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.26851851851851855,0.26876816454281244,147
120,110,SE110,oracle_motif_pair,1.0,0.0,0.0,0.0,0.125,0.0,0.0,,110,106,12100,11236,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
120,115,SE115,kmer5_count_l2,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3611111111111111,0.35246485575223646,1024
120,115,SE115,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.28703703703703703,0.2834480834480834,512
120,115,SE115,property_channels,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3333333333333333,0.3277099214599215,575
120,115,SE115,rope_property,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3425925925925926,0.3394825917892382,1840
120,115,SE115,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.2962962962962963,0.2875296746264488,1744
120,115,SE115,cspaced_property_l2,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.25925925925925924,0.2598325880059626,147
120,115,SE115,oracle_motif_pair,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,115,111,13225,12321,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
120,120,SE120,kmer5_count_l2,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.3333333333333333,0.32782957782957783,1024
120,120,SE120,ckmer5_count_l2,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.28703703703703703,0.2815337733059252,512
120,120,SE120,property_channels,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.32407407407407407,0.31853070175438597,600
120,120,SE120,rope_property,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.3333333333333333,0.3333797814793377,1920
120,120,SE120,spaced_kmer_phase,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.28703703703703703,0.2816332461493752,1824
120,120,SE120,cspaced_property_l2,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.2222222222222222,0.22235092235092233,147
120,120,SE120,oracle_motif_pair,1.0,0.0,0.0,0.0,0.12777777777777777,0.0,0.0,,120,116,14400,13456,nearest_linear_probe,0.3333333333333333,0.16666666666666666,11
120,125,SE125,kmer5_count_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.6481481481481481,0.6434572143254618,1024
120,125,SE125,ckmer5_count_l2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,125,121,15625,14641,nearest_linear_probe,0.6481481481481481,0.6469163686554991,512
