retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density
1.0,0.9722623078527706,0.8990321629942791,0.15768241887335582,0.4493720049879764,0.506345764931516,1.0,69,substitution_1pct,spaced_count_l2,"spaced, no RC",600,256,0.20955078125
1.0,0.9768619916625746,0.9137905781837163,0.14368937776841512,0.41523330493036165,0.37097963838018205,1.0,69,substitution_1pct,cspaced_count_l2,canonical spaced,600,136,0.35003063725490197
1.0,0.9969141688099624,0.9885615708154364,0.052430893626827575,0.15125087841263543,0.049551744774687795,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.35945048309178745
1.0,0.9845531226373619,0.9427460284293941,0.11731509052690285,0.3383900093546696,0.2488746671757937,1.0,69,substitution_1pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.35945048309178745
1.0,0.9845346633035978,0.9445648801262759,0.11745286016045758,0.332971824996127,0.2484024641046956,1.0,69,substitution_1pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.35945048309178745
1.0,0.9771924696117109,0.9150067444027241,0.14265987129677055,0.41229400223823737,0.3656890694437679,1.0,69,substitution_1pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.35945048309178745
1.0,0.9768619916625746,0.9137905781837163,0.14368937776841512,0.41523330493036165,0.37097963838018205,1.0,69,substitution_1pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.3474756690997567
1.0,0.9862833456921264,0.9495985218402873,0.11069621367554722,0.3174944221401826,0.22092874885626923,1.0,69,substitution_1pct,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.3547749391727494
1.0,0.9793230639731682,0.9229602360838374,0.13583283640370789,0.3925294858530229,0.33152042034823365,1.0,69,substitution_1pct,cspaced_property_selected:length,canonical spaced + length,600,137,0.3547749391727494
1.0,0.9969141688099624,0.9885615708154364,0.052430893626827575,0.15125087841263543,0.049551744774687795,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.35945048309178745
1.0,0.9971003771551186,0.9891020379062457,0.050818326640962204,0.14763440977807918,0.04673186545698825,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.3686011904761905
1.0,0.9972672295108246,0.989757237624412,0.049351788488974487,0.14312765122016077,0.044371567329993256,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.37749413145539906
1.0,0.9972719202110134,0.9897761515311609,0.04930967281852929,0.14299544338730905,0.044297551287073335,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.3861400462962963
1.0,0.9972719202110134,0.9897761515311609,0.04930967281852929,0.14299544338730905,0.044297551287073335,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.3834770114942529
1.0,0.9974758689828782,0.990602027475533,0.04744305440808629,0.13709830304819567,0.04106576605546247,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.3876997716894977
1.0,0.9975082378268287,0.9907396659209042,0.04713884529203224,0.13609065504840132,0.04054232012220048,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.39186507936507936
1.0,0.9975082378268287,0.990739665920904,0.04713884529203224,0.1360906550484013,0.04054232012220048,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.3945490867579909
1.0,0.9974758689828782,0.990602027475533,0.04744305440808629,0.13709830304819567,0.04106576605546247,1.0,69,substitution_1pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.3876997716894977
1.0,0.9975082378268287,0.990739665920904,0.04713884529203224,0.1360906550484013,0.04054232012220047,1.0,69,substitution_1pct,cspaced_property_l2,full CSP,600,147,0.39186507936507936
1.0,0.9550665913195764,0.9379167154630991,0.2970192175138178,0.3523727700515499,0.4969286393070708,1.0,69,N_3pct,spaced_count_l2,"spaced, no RC",600,256,0.19935546875
1.0,0.962397987383376,0.9447319410624617,0.2710968696180376,0.3324697247496038,0.36520178047504803,1.0,69,N_3pct,cspaced_count_l2,canonical spaced,600,136,0.33481617647058826
1.0,0.9930577136462538,0.9906317806811389,0.11714541313380053,0.13688110802695494,0.049644144005603366,1.0,69,N_3pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.34445652173913044
1.0,0.9746433948141118,0.962228005381103,0.22243376095205866,0.27485266052717094,0.2464512921158354,1.0,69,N_3pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.34445652173913044
1.0,0.974751563990973,0.9625651390646894,0.22213718352585587,0.27362330326980444,0.24582893763811645,1.0,69,N_3pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.34445652173913044
1.0,0.962892619654203,0.9454628976666253,0.2693154770276915,0.33026384064721426,0.3600654121510516,1.0,69,N_3pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.34445652173913044
1.0,0.9619939579837975,0.9443353281394149,0.27262424835392374,0.3336605216701111,0.3650484631800986,1.0,69,N_3pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.33602189781021896
1.0,0.9778066598950429,0.9680970870879999,0.20854867118827294,0.2525981271177504,0.21147221218087736,1.0,69,N_3pct,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.3396715328467153
1.0,0.9663975222925103,0.9506105235025676,0.2562740357866496,0.314291191405142,0.3263571238131839,1.0,69,N_3pct,cspaced_property_selected:length,canonical spaced + length,600,137,0.3396715328467153
1.0,0.9930577136462538,0.9906317806811389,0.11714541313380053,0.13688110802695494,0.049644144005603366,1.0,69,N_3pct,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.34445652173913044
1.0,0.9934716970044379,0.9911619276763565,0.1135902279615775,0.1329516627236286,0.04682688626713152,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.35382142857142856
1.0,0.9938480137058378,0.9917138048423153,0.1102781964499828,0.12873377352348717,0.044450287684344926,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.3629225352112676
1.0,0.9938544916266898,0.9917246681572088,0.11022116876728118,0.12864936079092237,0.04437551358923353,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.37177083333333333
1.0,0.9938040152186598,0.9916661407385169,0.11068302460642467,0.12910350145079874,0.0443732425816336,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.3726551724137931
1.0,0.9940691102684044,0.9921206176390374,0.10835036071298075,0.12553391828226917,0.04087353415434267,1.0,69,N_3pct,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.37695205479452054
