task,model,family,input_name,mean_macro_f1,mean_accuracy,mean_epochs,mean_features,n_runs
global_species,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.11649126961148648,0.1326168929110105,12.083333333333334,512.0,12
global_species,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1151290826836535,0.12921122994652404,10.5,659.0,12
global_species,mlp_csp,tabular_mlp,cspaced_property_l2,0.0988034123131314,0.11675579322638141,20.416666666666668,147.0,12
global_species,cnn_property,cnn1d,property,0.07844503229265727,0.11831208007678591,24.0,492.5,12
global_species,tiny_transformer_onehot,tiny_transformer,onehot,0.07429810993186711,0.12925407925407922,24.0,492.5,12
global_species,tiny_transformer_property,tiny_transformer,property,0.06546981951768129,0.12813142739613323,24.0,492.5,12
global_species,cnn_onehot,cnn1d,onehot,0.06520769718307913,0.10318284656519945,24.0,492.5,12
target_background,cnn_onehot,cnn1d,onehot,0.5692435935975632,0.5833333333333334,20.75,492.5,12
target_background,mlp_csp,tabular_mlp,cspaced_property_l2,0.562542484422042,0.5677083333333334,9.25,147.0,12
target_background,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.5589407905180102,0.5633680555555556,6.5,659.0,12
target_background,tiny_transformer_property,tiny_transformer,property,0.5528666231513861,0.556423611111111,22.916666666666668,492.5,12
target_background,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.5466257641051512,0.5598958333333334,6.25,512.0,12
target_background,tiny_transformer_onehot,tiny_transformer,onehot,0.5347474415248824,0.537326388888889,13.833333333333334,492.5,12
target_background,cnn_property,cnn1d,property,0.5345171909495909,0.5581597222222222,17.666666666666668,492.5,12
within_genus_species:Enterobacter,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.2021280368965849,0.22012578616352196,7.666666666666667,657.0,12
within_genus_species:Enterobacter,mlp_csp,tabular_mlp,cspaced_property_l2,0.1874695199265026,0.22012578616352196,11.333333333333334,147.0,12
within_genus_species:Enterobacter,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.16690853620198784,0.19025157232704396,8.916666666666666,510.0,12
within_genus_species:Enterobacter,cnn_onehot,cnn1d,onehot,0.13270887692600053,0.20911949685534584,15.0,492.5,12
within_genus_species:Enterobacter,tiny_transformer_onehot,tiny_transformer,onehot,0.12333718901531388,0.20597484276729552,12.083333333333334,492.5,12
within_genus_species:Enterobacter,tiny_transformer_property,tiny_transformer,property,0.10545425865663276,0.18710691823899364,14.75,492.5,12
within_genus_species:Enterobacter,cnn_property,cnn1d,property,0.09987934631826968,0.18867924528301883,12.083333333333334,492.5,12
