task,length,condition,model,family,input_name,macro_f1,accuracy,clean_macro_f1,clean_accuracy,macro_f1_drop_vs_clean,accuracy_drop_vs_clean
target_background,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.549689102214465,0.5520833333333334,0.4909862142099682,0.53125,-0.0587028880044968,-0.02083333333333337
target_background,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.5681511470985156,0.5833333333333334,0.5465587044534412,0.5625,-0.021592442645074317,-0.02083333333333337
target_background,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.5649386536973582,0.5729166666666666,0.6034782608695652,0.6041666666666666,0.03853960717220706,0.03125
target_background,69,N_3pct,cnn_onehot,cnn1d,onehot,0.6248371689101173,0.625,0.5901477832512315,0.59375,-0.034689385658885796,-0.03125
target_background,69,N_3pct,cnn_property,cnn1d,property,0.4991304347826087,0.5,0.3823983530622749,0.4791666666666667,-0.11673208172033384,-0.020833333333333315
target_background,69,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.6344249809596345,0.6354166666666666,0.4945151382185169,0.5,-0.13990984274111762,-0.13541666666666663
target_background,69,N_3pct,tiny_transformer_property,tiny_transformer,property,0.6,0.625,0.4991304347826087,0.5,-0.10086956521739127,-0.125
global_species,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1264084426873515,0.15,0.0738958350632697,0.0909090909090909,-0.05251260762408179,-0.0590909090909091
global_species,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.0880436354984795,0.0954545454545454,0.1038201642929135,0.1227272727272727,0.015776528794434003,0.027272727272727296
global_species,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.0906040754337967,0.1,0.1035803926067453,0.1181818181818181,0.012976317172948601,0.01818181818181809
global_species,69,N_3pct,cnn_onehot,cnn1d,onehot,0.077573645906242,0.0909090909090909,0.106030020521182,0.1272727272727272,0.028456374614940008,0.036363636363636306
global_species,69,N_3pct,cnn_property,cnn1d,property,0.094946349973624,0.1363636363636363,0.1220170348246893,0.1409090909090909,0.0270706848510653,0.0045454545454546025
