task,condition,model,family,input_name,mean_macro_f1_drop,mean_accuracy_drop
global_species,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,-0.023330645582154842,-0.018053270259152626
global_species,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,-0.018196070339253932,-0.014726450020567671
global_species,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,-0.010275739412445823,-0.010211846976552873
global_species,N_3pct,cnn_onehot,cnn1d,onehot,0.00019198493752382861,0.009101192924722324
global_species,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.003335374665043297,0.005666392431098278
global_species,N_3pct,tiny_transformer_property,tiny_transformer,property,0.007599779678102577,0.005686960098724807
global_species,N_3pct,cnn_property,cnn1d,property,0.01705698645468377,0.0034502262443438965
global_species,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,-0.01720426378889272,-0.015801110654051827
global_species,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,-0.01322220716055775,-0.01587823940765118
global_species,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.004359115589697225,-3.59934183463452e-05
global_species,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.0064468058469440235,-0.002277869189633897
global_species,substitution_1pct_N_3pct,cnn_property,cnn1d,property,0.007663988746011119,0.005707527766351323
global_species,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.011405917284594077,0.0010849444672974308
global_species,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.019287734561200025,0.024958864664747026
target_background,N_3pct,cnn_onehot,cnn1d,onehot,-0.07807103117777442,-0.041666666666666644
target_background,N_3pct,tiny_transformer_property,tiny_transformer,property,-0.06137509958876916,-0.06770833333333334
target_background,N_3pct,cnn_property,cnn1d,property,-0.048687482278550936,-0.02083333333333333
target_background,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,-0.022856943849953223,-0.010416666666666685
target_background,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,-0.019373242647217556,-0.015624999999999986
target_background,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,-0.011090083234532838,-0.013020833333333315
target_background,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.03480401280991126,0.031249999999999986
target_background,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,-0.05883823396581328,-0.02083333333333333
target_background,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,-0.05329785114431168,-0.05468749999999997
target_background,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,-0.049735493888830334,-0.04947916666666663
target_background,substitution_1pct_N_3pct,cnn_property,cnn1d,property,-0.04317331209271881,-0.02864583333333333
target_background,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,-0.02826286064968031,-0.02604166666666667
target_background,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.00239100342297581,0.005208333333333273
target_background,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.054659717673037886,0.05729166666666667
within_genus_species:Enterobacter,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,-0.03275146603927698,0.004716981132075478
within_genus_species:Enterobacter,N_3pct,cnn_onehot,cnn1d,onehot,-0.0327198595360516,-0.028301886792452796
within_genus_species:Enterobacter,N_3pct,cnn_property,cnn1d,property,-0.01916071655588245,-0.014150943396226384
within_genus_species:Enterobacter,N_3pct,tiny_transformer_property,tiny_transformer,property,0.003997041145353507,0.00471698113207545
within_genus_species:Enterobacter,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.031317678600110345,0.014150943396226426
within_genus_species:Enterobacter,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.04641683520753289,0.056603773584905655
within_genus_species:Enterobacter,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.0674037905980358,0.06603773584905663
within_genus_species:Enterobacter,substitution_1pct_N_3pct,cnn_property,cnn1d,property,-0.005600654626554617,0.01415094339622644
within_genus_species:Enterobacter,substitution_1pct_N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.0042695038879249705,-0.004716981132075478
within_genus_species:Enterobacter,substitution_1pct_N_3pct,tiny_transformer_property,tiny_transformer,property,0.01197597481021398,0.014150943396226405
within_genus_species:Enterobacter,substitution_1pct_N_3pct,cnn_onehot,cnn1d,onehot,0.014168849801603173,0.009433962264150983
within_genus_species:Enterobacter,substitution_1pct_N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.03894791926798595,0.014150943396226419
within_genus_species:Enterobacter,substitution_1pct_N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.06364688207988661,0.03301886792452833
within_genus_species:Enterobacter,substitution_1pct_N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.09456471044067928,0.08018867924528306
