task,label_col,length,condition,model,family,input_name,input_kind,seed,combo_seed,input_shape,n_features,density,n_samples,n_train,n_val,n_test,n_classes,epochs_ran,best_val_loss,final_train_loss,final_val_loss,accuracy,macro_f1
target_background,target_binary,69,clean,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2045,512,512,0.1125,320,168,56,96,2,6,0.7038890719413757,0.1510734769205252,0.8105893731117249,0.53125,0.4909862142099682
target_background,target_binary,69,clean,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2042,147,147,0.3912627551020408,320,168,56,96,2,6,0.7265210151672363,0.4950196842352549,0.7516688108444214,0.5625,0.5465587044534412
target_background,target_binary,69,clean,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2045,659,659,0.1746822837632776,320,168,56,96,2,6,0.6884204149246216,0.0976063509782155,0.8256038427352905,0.6041666666666666,0.6034782608695652
target_background,target_binary,69,clean,cnn_onehot,cnn1d,onehot,channels,606,2045,5x69,345,0.2,320,168,56,96,2,16,0.6941230893135071,0.6310227711995443,0.6957141160964966,0.59375,0.5901477832512315
target_background,target_binary,69,clean,cnn_property,cnn1d,property,channels,606,2047,5x69,345,0.5995018115942029,320,168,56,96,2,8,0.6934546232223511,0.6821132699648539,0.6941123008728027,0.4791666666666667,0.3823983530622749
target_background,target_binary,69,clean,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2058,5x69,345,0.2,320,168,56,96,2,13,0.6847065687179565,0.683756560087204,0.689685046672821,0.5,0.4945151382185169
target_background,target_binary,69,clean,tiny_transformer_property,tiny_transformer,property,channels,606,2060,5x69,345,0.5995018115942029,320,168,56,96,2,24,0.6604893803596497,0.6727870106697083,0.6621917486190796,0.5,0.4991304347826087
global_species,label,69,clean,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2006,512,512,0.1122445707934336,731,383,128,220,21,12,2.5441689491271973,0.174526313940684,2.6432130336761475,0.0909090909090909,0.0738958350632697
global_species,label,69,clean,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2003,147,147,0.3924639623291177,731,383,128,220,21,19,2.6186723709106445,1.4659440020720165,2.65864372253418,0.1227272727272727,0.1038201642929135
global_species,label,69,clean,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2006,659,659,0.1747517795274936,731,383,128,220,21,11,2.522658109664917,0.1462527985374132,2.6945278644561768,0.1181818181818181,0.1035803926067453
global_species,label,69,clean,cnn_onehot,cnn1d,onehot,channels,606,2006,5x69,345,0.2,731,383,128,220,21,24,2.61479926109314,2.48939577738444,2.61479926109314,0.1272727272727272,0.106030020521182
global_species,label,69,clean,cnn_property,cnn1d,property,channels,606,2008,5x69,345,0.6012133468149646,731,383,128,220,21,24,2.585127353668213,2.4082270661989846,2.585127353668213,0.1409090909090909,0.1220170348246893
global_species,label,69,clean,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2019,5x69,345,0.2,731,383,128,220,21,24,2.486889123916626,2.4818384051322937,2.548677921295166,0.109090909090909,0.0591103509366646
global_species,label,69,clean,tiny_transformer_property,tiny_transformer,property,channels,606,2021,5x69,345,0.6012133468149646,731,383,128,220,21,24,2.4905648231506348,2.4719490011533103,2.491931676864624,0.1318181818181818,0.0840829026062508
within_genus_species:Enterobacter,label,69,clean,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2253,508,508,0.1162317210348706,175,91,31,53,5,11,1.6068129539489746,0.2065835247437159,1.6404783725738523,0.1698113207547169,0.1562881562881563
within_genus_species:Enterobacter,label,69,clean,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2250,147,147,0.4043926141885325,175,91,31,53,5,7,1.582289457321167,1.3456885417302449,1.584840178489685,0.1886792452830188,0.1698708827404479
within_genus_species:Enterobacter,label,69,clean,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2253,655,655,0.1809029443838604,175,91,31,53,5,7,1.6095354557037354,0.4434937636057536,1.6508463621139526,0.3584905660377358,0.3144669365721997
within_genus_species:Enterobacter,label,69,clean,cnn_onehot,cnn1d,onehot,channels,606,2253,5x69,345,0.2,175,91,31,53,5,24,1.6160001754760742,1.51125963528951,1.6160001754760742,0.2075471698113207,0.1298474945533769
within_genus_species:Enterobacter,label,69,clean,cnn_property,cnn1d,property,channels,606,2255,5x69,345,0.609407867494824,175,91,31,53,5,15,1.6131281852722168,1.577497482299805,1.6135952472686768,0.2075471698113207,0.1384126984126984
within_genus_species:Enterobacter,label,69,clean,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2266,5x69,345,0.2,175,91,31,53,5,7,1.6132817268371582,1.617039918899536,1.6162095069885254,0.1886792452830188,0.064516129032258
within_genus_species:Enterobacter,label,69,clean,tiny_transformer_property,tiny_transformer,property,channels,606,2268,5x69,345,0.609407867494824,175,91,31,53,5,9,1.613720178604126,1.6074150403340657,1.6184616088867188,0.1886792452830188,0.1081818181818181
target_background,target_binary,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2052,512,512,0.098333740234375,320,168,56,96,2,6,0.6936684846878052,0.1427417248487472,0.8857308030128479,0.5520833333333334,0.549689102214465
target_background,target_binary,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2049,147,147,0.3708545918367347,320,168,56,96,2,6,0.6820946931838989,0.4953118364016215,0.7092851400375366,0.5833333333333334,0.5681511470985156
target_background,target_binary,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2052,659,659,0.1591236722306525,320,168,56,96,2,6,0.7111835479736328,0.0928431625167528,1.0187638998031616,0.5729166666666666,0.5649386536973582
target_background,target_binary,69,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2052,5x69,345,0.2,320,168,56,96,2,22,0.6822654008865356,0.583817332983017,0.6833796501159668,0.625,0.6248371689101173
target_background,target_binary,69,N_3pct,cnn_property,cnn1d,property,channels,606,2054,5x69,345,0.5877989130434783,320,168,56,96,2,24,0.6732019186019897,0.5632392565409342,0.6732019186019897,0.5,0.4991304347826087
target_background,target_binary,69,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2065,5x69,345,0.2,320,168,56,96,2,6,0.6917611956596375,0.679643710454305,0.6968415379524231,0.6354166666666666,0.6344249809596345
target_background,target_binary,69,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2067,5x69,345,0.5877989130434783,320,168,56,96,2,24,0.6855106353759766,0.694307267665863,0.6855106353759766,0.625,0.6
global_species,label,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2013,512,512,0.0977631241450068,731,383,128,220,21,11,2.7058420181274414,0.2311510145664215,2.8217337131500244,0.15,0.1264084426873515
global_species,label,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2010,147,147,0.3713299273197651,731,383,128,220,21,21,2.6142139434814453,1.3894722958405812,2.6473913192749023,0.0954545454545454,0.0880436354984795
global_species,label,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2013,659,659,0.1587863715906661,731,383,128,220,21,11,2.586338758468628,0.1472932671507199,2.719014883041382,0.1,0.0906040754337967
global_species,label,69,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2013,5x69,345,0.2,731,383,128,220,21,24,2.513880729675293,2.265328903992971,2.513880729675293,0.0909090909090909,0.077573645906242
global_species,label,69,N_3pct,cnn_property,cnn1d,property,channels,606,2015,5x69,345,0.5895438053886873,731,383,128,220,21,24,2.702791213989258,2.5731868346532187,2.702791213989258,0.1363636363636363,0.094946349973624
global_species,label,69,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2026,5x69,345,0.2,731,383,128,220,21,24,2.571709156036377,2.4814425905545554,2.593459129333496,0.15,0.096275915941831
global_species,label,69,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2028,5x69,345,0.5895438053886873,731,383,128,220,21,24,2.5632665157318115,2.459719300270081,2.5671348571777344,0.1227272727272727,0.0738150028751532
within_genus_species:Enterobacter,label,69,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,vector,606,2260,508,508,0.1008098987626546,175,91,31,53,5,13,1.5638902187347412,0.1443727314472198,1.5766719579696655,0.1509433962264151,0.1419221129747445
within_genus_species:Enterobacter,label,69,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,vector,606,2257,147,147,0.3801360544217687,175,91,31,53,5,8,1.6472809314727783,1.3302212158838909,1.6510809659957886,0.2264150943396226,0.2222011385199241
within_genus_species:Enterobacter,label,69,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,vector,606,2260,655,655,0.1634983642311886,175,91,31,53,5,12,1.5524414777755735,0.1035912955800692,1.5727018117904663,0.2075471698113207,0.2024913733609386
within_genus_species:Enterobacter,label,69,N_3pct,cnn_onehot,cnn1d,onehot,channels,606,2260,5x69,345,0.2,175,91,31,53,5,24,1.607972502708435,1.5174380938212078,1.608918070793152,0.1886792452830188,0.064516129032258
within_genus_species:Enterobacter,label,69,N_3pct,cnn_property,cnn1d,property,channels,606,2262,5x69,345,0.5975320910973085,175,91,31,53,5,10,1.613208889961243,1.583359162012736,1.6144614219665527,0.1698113207547169,0.06
within_genus_species:Enterobacter,label,69,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,channels,606,2273,5x69,345,0.2,175,91,31,53,5,7,1.6087754964828491,1.6108380158742268,1.6104357242584229,0.1698113207547169,0.0972462627852085
within_genus_species:Enterobacter,label,69,N_3pct,tiny_transformer_property,tiny_transformer,property,channels,606,2275,5x69,345,0.5975320910973085,175,91,31,53,5,6,1.6110053062438965,1.6174747943878174,1.6171919107437134,0.1886792452830188,0.0865071770334928
