probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Acinetobacter,69,clean,k-mer,k=4,4,,False,False,160,4,0.375,0.36207671957671955,256,256
within_genus_species,Acinetobacter,69,clean,k-mer,k=5,5,,False,False,160,4,0.375,0.364021164021164,994,994
within_genus_species,Acinetobacter,69,clean,k-mer,k=6,6,,False,False,160,4,0.25,0.21142857142857144,2959,2959
within_genus_species,Acinetobacter,69,clean,k-mer,k=7,7,,False,False,160,4,0.22916666666666666,0.21943065894678798,5133,5133
within_genus_species,Acinetobacter,69,clean,k-mer,k=8,8,,False,False,160,4,0.2708333333333333,0.27560083594566354,6306,6306
within_genus_species,Acinetobacter,69,clean,k-mer,k=9,9,,False,False,160,4,0.25,0.2547335203366059,6658,6658
within_genus_species,Acinetobacter,69,clean,canonical k-mer,k=4,4,,True,False,160,4,0.3333333333333333,0.3456287705429582,136,136
within_genus_species,Acinetobacter,69,clean,canonical k-mer,k=5,5,,True,False,160,4,0.2708333333333333,0.25237720506262706,509,509
within_genus_species,Acinetobacter,69,clean,canonical k-mer,k=6,6,,True,False,160,4,0.25,0.21322226160935837,1809,1809
within_genus_species,Acinetobacter,69,clean,canonical k-mer,k=7,7,,True,False,160,4,0.2916666666666667,0.2804232804232804,4037,4037
within_genus_species,Acinetobacter,69,clean,canonical k-mer,k=8,8,,True,False,160,4,0.22916666666666666,0.231012506012506,5773,5773
within_genus_species,Acinetobacter,69,clean,canonical k-mer,k=9,9,,True,False,160,4,0.16666666666666666,0.16702741702741702,6483,6483
within_genus_species,Acinetobacter,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,4,0.3333333333333333,0.3456287705429582,136,136
within_genus_species,Acinetobacter,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,4,0.3541666666666667,0.35318979266347683,147,147
within_genus_species,Acinetobacter,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,4,0.2708333333333333,0.27078754578754577,136,136
within_genus_species,Acinetobacter,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,4,0.2916666666666667,0.2879837553750597,147,147
within_genus_species,Acinetobacter,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,4,0.2708333333333333,0.26094500465209847,136,136
