family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
k-mer,k=4,4,,False,False,69,reverse_complement,240,256,0.30254066904008886,0.11949604743082994,1.1758594944760963,1.3270297108782796
k-mer,k=5,5,,False,False,69,reverse_complement,240,1023,0.11697293503348688,0.0,1.3271192834788612,1.4142135623730945
k-mer,k=6,6,,False,False,69,reverse_complement,240,3828,0.05427791703283475,0.0,1.3745826666355645,1.4142135623730956
k-mer,k=7,7,,False,False,69,reverse_complement,240,9080,0.02445473666095567,0.0,1.3963940948908131,1.414213562373096
k-mer,k=8,8,,False,False,69,reverse_complement,240,12687,0.01960928570033709,0.0,1.3998313916263365,1.4142135623730956
k-mer,k=9,9,,False,False,69,reverse_complement,240,13971,0.01191507013068425,0.0,1.3984268019683874,1.4142135623730951
canonical k-mer,k=4,4,,True,False,69,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical k-mer,k=5,5,,True,False,69,reverse_complement,240,512,1.0,0.9999999999999986,0.0,0.0
canonical k-mer,k=6,6,,True,False,69,reverse_complement,240,2052,1.0000000000000009,0.9999999999999999,0.0,0.0
canonical k-mer,k=7,7,,True,False,69,reverse_complement,240,6265,1.0000000000000004,0.9999999999999982,0.0,0.0
canonical k-mer,k=8,8,,True,False,69,reverse_complement,240,11013,1.0000000000000004,1.0,0.0,0.0
canonical k-mer,k=9,9,,True,False,69,reverse_complement,240,13348,1.0,0.9999999999999997,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,69,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,69,reverse_complement,240,147,0.9987641344466975,0.9952034440127318,0.03766022365219278,0.09794175350264789
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,69,reverse_complement,240,136,0.4740512676942048,0.32761211415750746,1.0199419485995729,1.1596446569881356
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,69,reverse_complement,240,147,0.941629890172909,0.9243189865534148,0.33982951501723885,0.3890526613885765
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,69,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,69,reverse_complement,240,147,0.9987641344466975,0.9952034440127319,0.037660223652192786,0.09794175350264789
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,69,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,69,reverse_complement,240,147,0.9987641344466976,0.9952034440127318,0.037660223652192786,0.09794175350264787
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,69,reverse_complement,240,136,1.0000000000000002,0.999999999999999,0.0,0.0
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,69,reverse_complement,240,147,0.9987641344466976,0.9952034440127318,0.037660223652192786,0.09794175350264789
k-mer,k=4,4,,False,False,69,N_3pct,240,256,0.9566943119366774,0.942925673066137,0.2916832776013434,0.3378589248333604
k-mer,k=5,5,,False,False,69,N_3pct,240,1023,0.9334494335109962,0.919866211007799,0.3627116074215234,0.4003343327575093
k-mer,k=6,6,,False,False,69,N_3pct,240,3828,0.9142307007500718,0.9013878188659972,0.41195647373526556,0.4440994959105508
k-mer,k=7,7,,False,False,69,N_3pct,240,9080,0.8973311627167393,0.8819171036881974,0.450419604666504,0.48596892145857074
k-mer,k=8,8,,False,False,69,N_3pct,240,12687,0.8808129831836404,0.8613567692141098,0.4847459879817906,0.5265799669297936
