task,Representation,Mean_macro_F1,Mean_accuracy,Mean_features
arg_allele,Canonical 5-mer + CSP,0.9996141230947329,0.9996141975308642,407.4166666666667
arg_allele,Canonical 7-mer + CSP,0.9996141230947329,0.9996141975308642,1160.875
arg_allele,CSP,0.9994211846420992,0.9994212962962963,117.875
arg_allele,Canonical 5-mer,0.9994211846420992,0.9994212962962963,289.5416666666667
arg_allele,Canonical 7-mer,0.9994211846420992,0.9994212962962963,1043.0
arg_allele,Canonical spaced seed,0.9992282461894656,0.9992283950617283,106.875
arg_family,CSP,1.0,1.0,131.0
arg_family,Canonical 5-mer,1.0,1.0,346.2916666666667
arg_family,Canonical 5-mer + CSP,1.0,1.0,477.2916666666667
arg_family,Canonical 7-mer,1.0,1.0,1264.5
arg_family,Canonical 7-mer + CSP,1.0,1.0,1395.5
arg_family,Canonical spaced seed,1.0,1.0,120.0
resistance_snp,Canonical 5-mer + CSP,0.9791227973211801,0.9818672839506174,329.25
resistance_snp,CSP,0.9756514251790488,0.9787808641975309,97.58333333333333
resistance_snp,Canonical spaced seed,0.975378163957819,0.9783950617283951,86.58333333333333
resistance_snp,Canonical 5-mer,0.9745950335134942,0.9780092592592592,231.66666666666666
resistance_snp,Canonical 7-mer + CSP,0.9729824896345945,0.9768518518518517,875.6666666666666
resistance_snp,Canonical 7-mer,0.9705958307020456,0.9749228395061729,778.0833333333334
