Motif position,Length,Pair visibility,Class motif visibility,Best representation,Macro-F1,Accuracy
120,110,0.0,0.0,kmer5_count_l2,0.3626209950612036,0.3703703703703703
120,115,0.0,0.0,kmer5_count_l2,0.3524648557522364,0.3611111111111111
120,120,0.0,0.0,rope_property,0.3333797814793377,0.3333333333333333
120,125,0.0,0.0,property_channels,1.0,1.0
120,130,1.0,1.0,property_channels,1.0,1.0
120,135,1.0,1.0,property_channels,1.0,1.0
120,138,1.0,1.0,property_channels,1.0,1.0
120,140,1.0,1.0,property_channels,1.0,1.0
120,142,1.0,1.0,property_channels,1.0,1.0
120,145,1.0,1.0,property_channels,1.0,1.0
120,148,1.0,1.0,ckmer5_count_l2,1.0,1.0
120,150,1.0,1.0,ckmer5_count_l2,1.0,1.0
120,155,1.0,1.0,property_channels,1.0,1.0
120,160,1.0,1.0,property_channels,1.0,1.0
130,110,0.0,0.0,cspaced_property_l2,0.396682769726248,0.3981481481481481
130,115,0.0,0.0,cspaced_property_l2,0.381256038647343,0.3796296296296296
130,120,0.0,0.0,cspaced_property_l2,0.417564352152282,0.4166666666666667
130,125,0.0,0.0,cspaced_property_l2,0.3790544564814964,0.3796296296296296
130,130,0.0,0.0,cspaced_property_l2,0.3505983648925876,0.3518518518518518
130,135,0.0,0.0,property_channels,1.0,1.0
130,138,0.0,0.0,property_channels,1.0,1.0
130,140,1.0,1.0,property_channels,1.0,1.0
130,142,1.0,1.0,property_channels,1.0,1.0
130,145,1.0,1.0,property_channels,1.0,1.0
130,148,1.0,1.0,property_channels,1.0,1.0
130,150,1.0,1.0,property_channels,1.0,1.0
130,155,1.0,1.0,property_channels,1.0,1.0
130,160,1.0,1.0,property_channels,1.0,1.0
138,110,0.0,0.0,rope_property,0.4060834590246355,0.4074074074074074
138,115,0.0,0.0,rope_property,0.3944265221176143,0.3981481481481481
138,120,0.0,0.0,rope_property,0.4314361817786475,0.4351851851851852
138,125,0.0,0.0,rope_property,0.4494808743169399,0.4537037037037037
138,130,0.0,0.0,cspaced_property_l2,0.4248462748462748,0.4259259259259259
138,135,0.0,0.0,cspaced_property_l2,0.4159500057332874,0.4166666666666667
138,138,0.0,0.0,rope_property,0.4146464646464647,0.4166666666666667
138,140,0.0,0.0,property_channels,1.0,1.0
138,142,0.0,0.0,property_channels,1.0,1.0
138,145,0.0,0.0,property_channels,1.0,1.0
138,148,1.0,1.0,property_channels,1.0,1.0
138,150,1.0,1.0,property_channels,1.0,1.0
138,155,1.0,1.0,kmer5_count_l2,1.0,1.0
138,160,1.0,1.0,kmer5_count_l2,1.0,1.0
145,110,0.0,0.0,kmer5_count_l2,0.3820196264640709,0.3888888888888889
145,115,0.0,0.0,kmer5_count_l2,0.3978335478335479,0.3981481481481481
145,120,0.0,0.0,kmer5_count_l2,0.3795652795652796,0.3796296296296296
145,125,0.0,0.0,kmer5_count_l2,0.3692753623188405,0.3703703703703703
145,130,0.0,0.0,kmer5_count_l2,0.3597924549936933,0.3611111111111111
145,135,0.0,0.0,kmer5_count_l2,0.3594108693705792,0.3611111111111111
145,138,0.0,0.0,kmer5_count_l2,0.4301874595992243,0.4351851851851852
145,140,0.0,0.0,kmer5_count_l2,0.3763633080534489,0.3796296296296296
145,142,0.0,0.0,kmer5_count_l2,0.3688939080243428,0.3703703703703703
145,145,0.0,0.0,kmer5_count_l2,0.3705879722781131,0.3703703703703703
145,148,0.0,0.0,property_channels,1.0,1.0
145,150,0.0,0.0,property_channels,1.0,1.0
145,155,1.0,1.0,property_channels,1.0,1.0
145,160,1.0,1.0,property_channels,1.0,1.0
