Task,Condition,Length,Representation,Best readout,Macro-F1,Accuracy,Features
Target/background,3% N mask,69,CSP,nearest_centroid,0.6041666666666667,0.631578947368421,147
Target/background,3% N mask,75,Canonical 5-mer,nearest_centroid,0.6916666666666667,0.7297297297297297,508
Target/background,3% N mask,100,Canonical 5-mer,logistic,0.6980999296270232,0.717948717948718,511
Target/background,3% N mask,150,Canonical 5-mer,nearest_centroid,0.6931818181818181,0.7037037037037037,510
Target/background,Clean,69,CSP,nearest_centroid,0.6695652173913043,0.6842105263157895,147
Target/background,Clean,75,Canonical 5-mer,nearest_centroid,0.6530264279624893,0.7027027027027027,508
Target/background,Clean,100,Canonical 5-mer,nearest_centroid,0.7381818181818182,0.7777777777777778,508
Target/background,Clean,150,Canonical 5-mer,nearest_centroid,0.7032967032967032,0.7037037037037037,510
Target/background,1% substitution,69,Canonical spaced seed,nearest_centroid,0.7490829053558328,0.7631578947368421,136
Target/background,1% substitution,75,Canonical 7-mer,mlp,0.6209613869188337,0.6486486486486487,4637
Target/background,1% substitution,100,Canonical 5-mer,logistic,0.6980999296270232,0.717948717948718,512
Target/background,1% substitution,150,Canonical 5-mer,nearest_centroid,0.775,0.7777777777777778,512
Target/background,1% substitution + 3% N,69,Canonical spaced seed,nearest_centroid,0.7301136363636364,0.7368421052631579,136
Target/background,1% substitution + 3% N,75,CSP,logistic,0.6761363636363636,0.6842105263157895,147
Target/background,1% substitution + 3% N,100,CSP,nearest_centroid,0.6657877389584708,0.6666666666666666,147
Target/background,1% substitution + 3% N,150,CSP,mlp,0.6493506493506493,0.6666666666666666,147
Target/background,5-bp trim,69,Canonical spaced seed,nearest_centroid,0.6221590909090908,0.631578947368421,136
Target/background,5-bp trim,75,Canonical 5-mer,nearest_centroid,0.7127329192546584,0.7297297297297297,508
Target/background,5-bp trim,100,Canonical spaced seed,nearest_centroid,0.6875,0.7222222222222222,136
Target/background,5-bp trim,150,Canonical 5-mer,nearest_centroid,0.7032967032967032,0.7037037037037037,510
Within-genus species,3% N mask,69,Canonical 5-mer,mlp,0.5397727272727273,0.5555555555555556,502
Within-genus species,3% N mask,75,CSP,logistic,0.6130952380952381,0.6153846153846154,147
Within-genus species,3% N mask,100,Canonical 7-mer,mlp,0.6515151515151515,0.6521739130434783,3731
Within-genus species,3% N mask,150,Canonical 5-mer,nearest_centroid,0.6931818181818181,0.7037037037037037,510
Within-genus species,Clean,69,Canonical 7-mer,mlp,0.55,0.5555555555555556,3626
Within-genus species,Clean,75,CSP,mlp,0.5486111111111112,0.6153846153846154,147
Within-genus species,Clean,100,Canonical 7-mer,logistic,0.6734279918864097,0.6956521739130435,4286
Within-genus species,Clean,150,Canonical 5-mer,nearest_centroid,0.7032967032967032,0.7037037037037037,510
Within-genus species,1% substitution,69,Canonical 5-mer + CSP,mlp,0.5903448275862069,0.5925925925925926,653
Within-genus species,1% substitution,75,CSP,mlp,0.59375,0.6153846153846154,147
Within-genus species,1% substitution,100,Canonical 5-mer,nearest_centroid,0.5643939393939394,0.5652173913043478,512
Within-genus species,1% substitution,150,Canonical 5-mer,nearest_centroid,0.775,0.7777777777777778,512
Within-genus species,1% substitution + 3% N,69,Canonical 7-mer,mlp,0.5714285714285714,0.5925925925925926,3182
Within-genus species,1% substitution + 3% N,75,Canonical 5-mer,logistic,0.5606758832565284,0.5769230769230769,508
Within-genus species,1% substitution + 3% N,100,Canonical 5-mer + CSP,nearest_centroid,0.5217391304347826,0.5217391304347826,657
Within-genus species,1% substitution + 3% N,150,CSP,mlp,0.6493506493506493,0.6666666666666666,147
Within-genus species,5-bp trim,69,Canonical 5-mer,nearest_centroid,0.5925925925925926,0.5925925925925926,502
Within-genus species,5-bp trim,75,Canonical 7-mer,logistic,0.5783783783783785,0.6538461538461539,3645
Within-genus species,5-bp trim,100,Canonical 5-mer,mlp,0.5436507936507937,0.5652173913043478,511
Within-genus species,5-bp trim,150,Canonical 5-mer,nearest_centroid,0.7032967032967032,0.7037037037037037,510
