Perturbation,Length,Best representation,Mean paired cosine,Mean L2 drift,Nearest-clean retrieval,Features,Density
3% N mask,69,CSP,0.9941685276569434,0.1074631495265096,1.0,147,0.3819425547996976
3% N mask,75,CSP,0.9948958385796818,0.1005362237956821,1.0,147,0.4015343915343915
3% N mask,100,CSP,0.9946940261461836,0.1026976978997143,1.0,147,0.4817120181405895
3% N mask,110,CSP,0.9954526121240128,0.0950413506373169,1.0,147,0.5116666666666667
3% N mask,125,CSP,0.9947333828922724,0.102390624875591,1.0,147,0.5475661375661376
3% N mask,150,CSP,0.9961666695199732,0.0873487757952057,1.0,147,0.6063529856386999
3% N mask,300,CSP,0.9970323873482898,0.0769422079651115,1.0,147,0.8008049886621316
6-bp local mismatch,69,CSP,0.9875574981322516,0.1565180197478284,0.9988888888888888,147,0.3943839758125472
6-bp local mismatch,75,CSP,0.9891940378853316,0.1458427954283438,1.0,147,0.4142214663643235
6-bp local mismatch,100,CSP,0.992910453758504,0.1182343910267701,1.0,147,0.4976795162509448
6-bp local mismatch,110,CSP,0.9939526993284876,0.1091408826504507,1.0,147,0.5269879062736206
6-bp local mismatch,125,CSP,0.9950616110609356,0.0986151580176157,1.0,147,0.5655026455026455
6-bp local mismatch,150,CSP,0.996382396533248,0.0844788584685198,1.0,147,0.622339380196523
6-bp local mismatch,300,CSP,0.9990504013724504,0.0433101271571517,1.0,147,0.813869992441421
Short indel,69,CSP,0.996470986478007,0.0579940765259212,1.0,147,0.3929100529100529
Short indel,75,CSP,0.996783430379725,0.0558696494578223,1.0,147,0.4118745275888133
Short indel,100,CSP,0.99727894867395,0.0554291213672523,1.0,147,0.4955215419501134
Short indel,110,CSP,0.9972437063374388,0.0578971969391169,1.0,147,0.5244708994708994
Short indel,125,CSP,0.9975082233183034,0.0576067432897964,1.0,147,0.5633408919123205
Short indel,150,CSP,0.9978557047960512,0.0555158599217297,1.0,147,0.6196749811035526
Short indel,300,CSP,0.9988183914256756,0.0450843195291576,1.0,147,0.8123885109599396
1% substitution,69,CSP,0.9975387480195989,0.0465447912186215,1.0,147,0.3926039304610733
1% substitution,75,CSP,0.9973565252333324,0.0519305611072649,1.0,147,0.4119047619047619
1% substitution,100,CSP,0.9976412248679744,0.0531880198853212,1.0,147,0.4952872260015117
1% substitution,110,CSP,0.9978598147214258,0.0520495626184798,1.0,147,0.5245804988662132
1% substitution,125,CSP,0.9980569227442538,0.0507978796142114,1.0,147,0.5636470143613
1% substitution,150,CSP,0.9982971409127468,0.0497223107336652,1.0,147,0.6201284958427815
1% substitution,300,CSP,0.9990917282429872,0.0396628162858301,1.0,147,0.8126681783824641
1% substitution + 3% N,69,CSP,0.9914958925663334,0.1276358139226172,1.0,147,0.3821201814058957
1% substitution + 3% N,75,CSP,0.9925374528803363,0.1191727141612342,1.0,147,0.4021239606953892
1% substitution + 3% N,100,CSP,0.9925686138665352,0.1202559283268126,1.0,147,0.4819274376417233
1% substitution + 3% N,110,CSP,0.9934471389151984,0.1128993307260045,1.0,147,0.5123507180650038
1% substitution + 3% N,125,CSP,0.992724828040948,0.1193814791826449,1.0,147,0.5474603174603174
1% substitution + 3% N,150,CSP,0.9945012280441392,0.1037944960937683,1.0,147,0.6074640967498111
1% substitution + 3% N,300,CSP,0.9961109817615464,0.0877857694274197,1.0,147,0.8014512471655328
5-bp trim,69,CSP,0.99717443660299,0.0747076443713618,1.0,147,0.383015873015873
5-bp trim,75,CSP,0.9975659859474584,0.0693590598908238,1.0,147,0.4025850340136054
5-bp trim,100,CSP,0.9984340361381888,0.0556293938213722,1.0,147,0.4874603174603175
5-bp trim,110,CSP,0.9986779677675784,0.051165169967663,1.0,147,0.5172713529856388
5-bp trim,125,CSP,0.9989224115229132,0.0462001351712492,1.0,147,0.5566931216931217
5-bp trim,150,CSP,0.9992073537793354,0.0396320069733729,1.0,147,0.6139833711262283
5-bp trim,300,CSP,0.9997802960540236,0.0208785211911155,1.0,147,0.8096598639455782
