Condition,Length,Cosine gain over spaced seed,L2 change over spaced seed,Mean paired cosine,Mean L2 drift,Features
1% substitution,69,0.0206462461642541,-0.0965505324763828,0.9975082378268288,0.0471388452920322,147
3% N mask,69,0.0317473682231095,-0.1634443077747465,0.9941453556064856,0.107652561843291,147
5-bp trim,69,0.022779127946931,-0.1503018537784431,0.9971814381304328,0.0746013806096828,147
1% substitution + 3% N,69,0.0533616491220954,-0.2118008871720697,0.991522380617218,0.1273647445588444,147
Short indel,69,0.0293392403733628,-0.1190224575805082,0.996446328746667,0.0582054591385628,147
6-bp local mismatch,69,0.1013188618379589,-0.3171542492202458,0.9876830465814878,0.1555871210755424,147
1% substitution,75,0.0213756671010451,-0.1040944831982712,0.9974003571460288,0.0510467409432658,147
3% N mask,75,0.0274298404789651,-0.1518901445923051,0.9949613674687188,0.0998568995379961,147
5-bp trim,75,0.0195518063459279,-0.1391121327546643,0.9975779097058138,0.0691644418422831,147
1% substitution + 3% N,75,0.0473346157109163,-0.1984937130024607,0.992512584947551,0.1192708584632862,147
Short indel,75,0.0274712099026732,-0.1168667391917787,0.9967120441155124,0.0568325668407772,147
6-bp local mismatch,75,0.0890279962337396,-0.2974872688030603,0.9891911564129562,0.1458480035784655,147
1% substitution,100,0.0195103577002888,-0.1094711473385034,0.997665963553599,0.0531362904007293,147
3% N mask,100,0.0268573649108733,-0.1485982562939185,0.9947103544117284,0.1025169853556312,147
5-bp trim,100,0.012603223192193,-0.1117893270967655,0.9984410809917156,0.0555254889214402,147
1% substitution + 3% N,100,0.0443097463782765,-0.194019798595217,0.9925920164945,0.1201904801576333,147
Short indel,100,0.0235378288202724,-0.1173108971632428,0.9972152215230438,0.0566354958769699,147
6-bp local mismatch,100,0.0587287014032706,-0.2421157107074971,0.9929350224223812,0.1179821966065924,147
1% substitution,150,0.0148868961771864,-0.1056138809260402,0.9982793282250202,0.0500749248863738,147
3% N mask,150,0.0192119937208887,-0.1258393809736057,0.9961686592363136,0.0873314432514477,147
5-bp trim,150,0.0065714695113483,-0.0810572087903711,0.9992012177728578,0.0397903417886433,147
1% substitution + 3% N,150,0.0331031289007671,-0.1692641112578405,0.9945473016143344,0.1034433488485025,147
Short indel,150,0.0189278117092999,-0.1186528277913593,0.9978267743953696,0.0561387233354055,147
6-bp local mismatch,150,0.0314531626970024,-0.1784875710324447,0.9963602682970104,0.0847832428413232,147
