Condition,Length,Representation,Mean paired cosine,5th percentile paired cosine,Mean L2 drift,95th percentile L2 drift,Nearest-clean retrieval,Features,Density
1% substitution,69,Canonical 5-mer,0.9628026285480774,0.8633377743826901,0.1815999912830128,0.522804410113974,1.0,512,0.1122927517361111
1% substitution,69,Canonical 7-mer,0.938867227044068,0.7777777777777785,0.2331114142389073,0.6666666666666667,1.0,8019,0.007699214365881
1% substitution,69,Canonical spaced seed,0.97712116449803,0.913812172069751,0.1419099314467468,0.4151814440295602,1.0,136,0.3508292483660131
1% substitution,69,CSP,0.9975387480195989,0.9908426501643604,0.0465447912186215,0.1353318130804568,1.0,147,0.3926039304610733
1% substitution,69,Canonical 5-mer + CSP,0.980170688283838,0.926852999811398,0.132619595156685,0.3824839504555747,1.0,659,0.174820435002529
3% N mask,69,Canonical 5-mer,0.9400640129534332,0.9209241368444988,0.3435799844189268,0.3976829469703256,1.0,512,0.10494140625
3% N mask,69,Canonical 7-mer,0.9002028647056111,0.8819171036881969,0.4437946885667801,0.4859689214585705,1.0,7972,0.0069997073089145
3% N mask,69,Canonical spaced seed,0.962611528424635,0.944985169936098,0.2704214172638572,0.3317071595186379,1.0,136,0.3356290849673202
3% N mask,69,CSP,0.9941685276569434,0.9922380379849948,0.1074631495265096,0.1245950388702754,1.0,147,0.3819425547996976
3% N mask,69,Canonical 5-mer + CSP,0.9671162703051882,0.957167827177098,0.2546797216057705,0.292684688408466,1.0,659,0.1667307368066093
1% substitution + 3% N,69,Canonical 5-mer,0.901856181297101,0.7983499777738612,0.4283090759043817,0.6350590843710131,1.0,512,0.1051649305555555
1% substitution + 3% N,69,Canonical 7-mer,0.8406407164033994,0.6881056469126239,0.5477412563265582,0.7898029536340591,1.0,8006,0.0069837899353262
1% substitution + 3% N,69,Canonical spaced seed,0.9379803675313444,0.8763528979450165,0.3398864146216707,0.497285701555417,1.0,136,0.3358210784313725
1% substitution + 3% N,69,CSP,0.9914958925663334,0.9846850806157608,0.1276358139226172,0.175013775690127,1.0,147,0.3821201814058957
1% substitution + 3% N,69,Canonical 5-mer + CSP,0.9466760369317172,0.8920737998872937,0.3162265732776609,0.4645991816483042,1.0,659,0.1669440229303658
6-bp local mismatch,69,Canonical 5-mer,0.8766856981945726,0.8450704225352118,0.493941053876244,0.5566499393061833,0.9988888888888888,512,0.1128081597222222
