Task,Model,Model family,Input,Mean macro-F1,Mean accuracy,Mean features,Runs
global species,mlp ckmer5,tabular mlp,ckmer5 count l2,0.1164912696114864,0.1326168929110105,512.0,12
global species,mlp hybrid,tabular mlp,hybrid ckmer5 csp,0.1151290826836535,0.129211229946524,659.0,12
global species,mlp csp,tabular mlp,cspaced property l2,0.0988034123131314,0.1167557932263814,147.0,12
global species,cnn property,cnn1d,property,0.0784450322926572,0.1183120800767859,492.5,12
global species,tiny transformer onehot,tiny transformer,onehot,0.0742981099318671,0.1292540792540792,492.5,12
global species,tiny transformer property,tiny transformer,property,0.0654698195176812,0.1281314273961332,492.5,12
global species,cnn onehot,cnn1d,onehot,0.0652076971830791,0.1031828465651994,492.5,12
target background,cnn onehot,cnn1d,onehot,0.5692435935975632,0.5833333333333334,492.5,12
target background,mlp csp,tabular mlp,cspaced property l2,0.562542484422042,0.5677083333333334,147.0,12
target background,mlp hybrid,tabular mlp,hybrid ckmer5 csp,0.5589407905180102,0.5633680555555556,659.0,12
target background,tiny transformer property,tiny transformer,property,0.5528666231513861,0.556423611111111,492.5,12
target background,mlp ckmer5,tabular mlp,ckmer5 count l2,0.5466257641051512,0.5598958333333334,512.0,12
target background,tiny transformer onehot,tiny transformer,onehot,0.5347474415248824,0.537326388888889,492.5,12
target background,cnn property,cnn1d,property,0.5345171909495909,0.5581597222222222,492.5,12
within-genus Enterobacter,mlp hybrid,tabular mlp,hybrid ckmer5 csp,0.2021280368965849,0.2201257861635219,657.0,12
within-genus Enterobacter,mlp csp,tabular mlp,cspaced property l2,0.1874695199265026,0.2201257861635219,147.0,12
within-genus Enterobacter,mlp ckmer5,tabular mlp,ckmer5 count l2,0.1669085362019878,0.1902515723270439,510.0,12
within-genus Enterobacter,cnn onehot,cnn1d,onehot,0.1327088769260005,0.2091194968553458,492.5,12
within-genus Enterobacter,tiny transformer onehot,tiny transformer,onehot,0.1233371890153138,0.2059748427672955,492.5,12
within-genus Enterobacter,tiny transformer property,tiny transformer,property,0.1054542586566327,0.1871069182389936,492.5,12
within-genus Enterobacter,cnn property,cnn1d,property,0.0998793463182696,0.1886792452830188,492.5,12
