Task,Representation,Mean_macro_F1,Mean_accuracy,Mean_features
Target/background,CSP,0.5068419629112376,0.5532955695320303,146.99
Target/background,Canonical 5-mer,0.4914607044554642,0.5519889918040185,505.68
Target/background,Canonical 5-mer + CSP,0.4900537097356005,0.5417632515081027,652.67
Target/background,Canonical spaced seed,0.4808516735146215,0.5486688062946644,135.99
Target/background,Canonical 7-mer,0.4532638780931692,0.5739015833085245,4395.8
Within-genus species,Canonical 5-mer,0.3089735844057698,0.3289321974912167,507.78333333333336
Within-genus species,Canonical 7-mer,0.30719854114035056,0.33100776564540124,4946.208333333333
Within-genus species,Canonical 5-mer + CSP,0.3068566447923496,0.3255319156405429,654.7583333333333
Within-genus species,CSP,0.3007084219170881,0.31941268748991375,146.975
Within-genus species,Canonical spaced seed,0.296698212820133,0.3159424262317116,135.975
