representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer5_count_l2,nearest_centroid,153,4,512,0.2826086956521739,0.27313797313797317,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,logistic,153,4,512,0.32608695652173914,0.31370037670240514,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,mlp,153,4,512,0.34782608695652173,0.28708133971291866,within_genus_species,Acinetobacter,69,clean,label
ckmer7_count_l2,nearest_centroid,153,4,4934,0.2391304347826087,0.19791666666666666,within_genus_species,Acinetobacter,69,clean,label
ckmer7_count_l2,logistic,153,4,4934,0.2608695652173913,0.2419990210938487,within_genus_species,Acinetobacter,69,clean,label
ckmer7_count_l2,mlp,153,4,4934,0.2608695652173913,0.213023088023088,within_genus_species,Acinetobacter,69,clean,label
cspaced_count_l2,nearest_centroid,153,4,136,0.2391304347826087,0.23786561264822137,within_genus_species,Acinetobacter,69,clean,label
cspaced_count_l2,logistic,153,4,136,0.30434782608695654,0.30445652173913046,within_genus_species,Acinetobacter,69,clean,label
cspaced_count_l2,mlp,153,4,136,0.2826086956521739,0.2763046450117388,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,nearest_centroid,153,4,147,0.21739130434782608,0.21755599472990778,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,logistic,153,4,147,0.32608695652173914,0.31958810068649884,within_genus_species,Acinetobacter,69,clean,label
cspaced_property_l2,mlp,153,4,147,0.34782608695652173,0.28352029914529914,within_genus_species,Acinetobacter,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,153,4,659,0.30434782608695654,0.2966527429685324,within_genus_species,Acinetobacter,69,clean,label
hybrid_ckmer5_csp,logistic,153,4,659,0.34782608695652173,0.33749999999999997,within_genus_species,Acinetobacter,69,clean,label
hybrid_ckmer5_csp,mlp,153,4,659,0.1956521739130435,0.16666666666666669,within_genus_species,Acinetobacter,69,clean,label
ckmer5_count_l2,nearest_centroid,144,3,485,0.4318181818181818,0.43578970049558285,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,logistic,144,3,485,0.38636363636363635,0.3763363073707901,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,mlp,144,3,485,0.29545454545454547,0.2594594594594595,within_genus_species,Burkholderia,69,clean,label
ckmer7_count_l2,nearest_centroid,144,3,3415,0.3409090909090909,0.3346628679962014,within_genus_species,Burkholderia,69,clean,label
ckmer7_count_l2,logistic,144,3,3415,0.4318181818181818,0.4314176245210728,within_genus_species,Burkholderia,69,clean,label
ckmer7_count_l2,mlp,144,3,3415,0.36363636363636365,0.3440419229892913,within_genus_species,Burkholderia,69,clean,label
cspaced_count_l2,nearest_centroid,144,3,135,0.29545454545454547,0.29169354838709677,within_genus_species,Burkholderia,69,clean,label
cspaced_count_l2,logistic,144,3,135,0.29545454545454547,0.27104377104377103,within_genus_species,Burkholderia,69,clean,label
cspaced_count_l2,mlp,144,3,135,0.3181818181818182,0.26495726495726496,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,nearest_centroid,144,3,146,0.29545454545454547,0.29169354838709677,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,logistic,144,3,146,0.25,0.21169590643274852,within_genus_species,Burkholderia,69,clean,label
cspaced_property_l2,mlp,144,3,146,0.3181818181818182,0.2932659932659933,within_genus_species,Burkholderia,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,144,3,631,0.4318181818181818,0.43330126663459995,within_genus_species,Burkholderia,69,clean,label
hybrid_ckmer5_csp,logistic,144,3,631,0.29545454545454547,0.28161616161616165,within_genus_species,Burkholderia,69,clean,label
hybrid_ckmer5_csp,mlp,144,3,631,0.36363636363636365,0.3125,within_genus_species,Burkholderia,69,clean,label
ckmer5_count_l2,nearest_centroid,127,2,483,0.5641025641025641,0.544955387783116,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,logistic,127,2,483,0.5384615384615384,0.43019480519480524,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,mlp,127,2,483,0.46153846153846156,0.46153846153846156,target_background,Burkholderia,69,clean,target_binary
ckmer7_count_l2,nearest_centroid,127,2,3207,0.5641025641025641,0.44611528822055135,target_background,Burkholderia,69,clean,target_binary
ckmer7_count_l2,logistic,127,2,3207,0.5897435897435898,0.4620689655172414,target_background,Burkholderia,69,clean,target_binary
ckmer7_count_l2,mlp,127,2,3207,0.3076923076923077,0.23529411764705882,target_background,Burkholderia,69,clean,target_binary
cspaced_count_l2,nearest_centroid,127,2,136,0.5384615384615384,0.5230978260869565,target_background,Burkholderia,69,clean,target_binary
cspaced_count_l2,logistic,127,2,136,0.4358974358974359,0.4171195652173913,target_background,Burkholderia,69,clean,target_binary
cspaced_count_l2,mlp,127,2,136,0.5897435897435898,0.42222222222222217,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,nearest_centroid,127,2,147,0.5128205128205128,0.501010101010101,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,logistic,127,2,147,0.5128205128205128,0.501010101010101,target_background,Burkholderia,69,clean,target_binary
cspaced_property_l2,mlp,127,2,147,0.6153846153846154,0.5751633986928104,target_background,Burkholderia,69,clean,target_binary
hybrid_ckmer5_csp,nearest_centroid,127,2,630,0.5384615384615384,0.5230978260869565,target_background,Burkholderia,69,clean,target_binary
hybrid_ckmer5_csp,logistic,127,2,630,0.5128205128205128,0.4142292490118577,target_background,Burkholderia,69,clean,target_binary
hybrid_ckmer5_csp,mlp,127,2,630,0.46153846153846156,0.4484848484848485,target_background,Burkholderia,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,174,4,508,0.32075471698113206,0.30310160427807487,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,logistic,174,4,508,0.32075471698113206,0.2965165796048149,within_genus_species,Candida,69,clean,label
ckmer5_count_l2,mlp,174,4,508,0.2830188679245283,0.20953598830836684,within_genus_species,Candida,69,clean,label
ckmer7_count_l2,nearest_centroid,174,4,4649,0.33962264150943394,0.33673271173271174,within_genus_species,Candida,69,clean,label
ckmer7_count_l2,logistic,174,4,4649,0.33962264150943394,0.28340955284552843,within_genus_species,Candida,69,clean,label
ckmer7_count_l2,mlp,174,4,4649,0.2830188679245283,0.269017094017094,within_genus_species,Candida,69,clean,label
cspaced_count_l2,nearest_centroid,174,4,136,0.16981132075471697,0.1323529411764706,within_genus_species,Candida,69,clean,label
cspaced_count_l2,logistic,174,4,136,0.22641509433962265,0.20178905762429789,within_genus_species,Candida,69,clean,label
