retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9628026285480774,0.8633377743826901,0.18159999128301285,0.522804410113974,0.5632610390787267,1.0,69,substitution_1pct,ckmer5_count_l2,900,512,0.11229275173611111,57.49388888888889
1.0,0.9388672270440679,0.7777777777777785,0.2331114142389073,0.6666666666666667,0.7945731627653955,0.9988888888888889,69,substitution_1pct,ckmer7_count_l2,900,8019,0.007699214365881032,61.74
1.0,0.97712116449803,0.913812172069751,0.14190993144674685,0.4151814440295602,0.35990282308206634,1.0,69,substitution_1pct,cspaced_count_l2,900,136,0.3508292483660131,47.71277777777778
1.0,0.9975387480195989,0.9908426501643605,0.046544791218621574,0.13533181308045686,0.03933893259016045,1.0,69,substitution_1pct,cspaced_property_l2,900,147,0.39260393046107334,57.71277777777778
1.0,0.9801706882838381,0.9268529998113981,0.132619595156685,0.3824839504555747,0.30920438152031277,1.0,69,substitution_1pct,hybrid_ckmer5_csp,900,659,0.17482043500252908,115.20666666666666
1.0,0.9682029875318333,0.8846627120836731,0.16813146957578937,0.4802859313136815,0.4249648328351427,1.0,69,substitution_1pct,hybrid_ckmer7_csp,900,8166,0.014628064876044303,119.45277777777778
1.0,0.9400640129534332,0.9209241368444989,0.34357998441892684,0.3976829469703256,0.5447410050364914,1.0,69,N_3pct,ckmer5_count_l2,900,512,0.10494140625,53.73
1.0,0.9002028647056111,0.8819171036881969,0.4437946885667801,0.4859689214585705,0.7529317357031159,1.0,69,N_3pct,ckmer7_count_l2,900,7972,0.0069997073089145346,55.80166666666667
1.0,0.962611528424635,0.944985169936098,0.2704214172638572,0.3317071595186379,0.35312052793058835,1.0,69,N_3pct,cspaced_count_l2,900,136,0.33562908496732025,45.64555555555555
1.0,0.9941685276569434,0.9922380379849949,0.10746314952650964,0.12459503887027543,0.03905983194416735,1.0,69,N_3pct,cspaced_property_l2,900,147,0.38194255479969763,56.14555555555555
1.0,0.9671162703051882,0.957167827177098,0.2546797216057705,0.29268468840846606,0.3002618203717154,1.0,69,N_3pct,hybrid_ckmer5_csp,900,659,0.16673073680660935,109.87555555555555
1.0,0.9471856961812772,0.9368467023512252,0.32295625149988166,0.355396388491225,0.40448239027829974,1.0,69,N_3pct,hybrid_ckmer7_csp,900,8119,0.013788301788671293,111.94722222222222
1.0,0.9678940526156163,0.9598582216587216,0.252040254839278,0.28334348366689044,0.5692782828322088,1.0,69,trim_5bp,ckmer5_count_l2,900,512,0.10827907986111111,55.43888888888889
1.0,0.9606575432164867,0.9594972228385664,0.28005286256292494,0.28461474719850377,0.8135985744348376,1.0,69,trim_5bp,ckmer7_count_l2,900,7972,0.007440904276077382,59.318888888888885
