retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
0.995,0.9142683248432399,0.8143942423030562,0.3726477119980702,0.6085959798746257,0.2881563102309833,0.995,69,art_illumina,ckmer4_count_l2,400,136,0.34831801470588236,47.37125
0.9975,0.9907130358995991,0.9786423619304847,0.12590463332785362,0.20667669863662433,0.032523409896960814,0.995,69,art_illumina,ckmer4_property_l2,400,147,0.39016156462585033,57.35375
0.9975,0.9917117207524072,0.9807564358254689,0.11938867903761392,0.19618112527694406,0.029847316501876733,0.995,69,art_illumina,ckmer4_property_multiscale_mean_l2,400,222,0.5275788288288288,117.1225
0.9975,0.9915432827990318,0.9807550533595141,0.11991454176845501,0.19618816776237094,0.02986998576903353,0.995,69,art_illumina,ckmer4_property_multiscale_l2,400,297,0.5951683501683501,176.765
0.9975,0.9908389305802711,0.980319293727449,0.12188966254167949,0.19839706358147507,0.031163848017841504,0.995,69,art_illumina,ckmer4_property_moment_l2,400,187,0.4773596256684492,89.26625
0.995,0.8585382077176166,0.6996929753654273,0.487277468515124,0.7588760298480922,0.48608758671650176,0.995,69,art_illumina,ckmer5_count_l2,400,512,0.11150146484375,57.08875
0.9975,0.9860026880469581,0.970098936939965,0.1558986061104736,0.2445446920785519,0.049612892683647825,0.995,69,art_illumina,ckmer5_property_multiscale_l2,400,673,0.277091381872214,186.4825
0.9975,0.9907285202569848,0.9804777880696753,0.12644699207184132,0.19758929081749987,0.03516821400252023,0.995,69,art_illumina,cspaced_property_l2,400,147,0.38652210884353744,56.81875
1.0,0.9230218108768665,0.8383613041862092,0.3643149536658312,0.5685748710110481,0.2726223280622091,1.0,75,art_illumina,ckmer4_count_l2,400,136,0.3668106617647059,49.88625
1.0,0.9914991884441886,0.9824052210173136,0.12116923327322926,0.18758870512766107,0.03095917574506009,1.0,75,art_illumina,ckmer4_property_l2,400,147,0.40738945578231295,59.88625
1.0,0.992312017724937,0.9840761919951958,0.11524565845055376,0.17845900152164457,0.028388942511565894,1.0,75,art_illumina,ckmer4_property_multiscale_mean_l2,400,222,0.5397972972972973,119.835
1.0,0.9923083759519116,0.9840732672698704,0.11528184117980739,0.17847538559235154,0.02842409436307607,1.0,75,art_illumina,ckmer4_property_multiscale_l2,400,297,0.6050210437710438,179.69125
1.0,0.9922001984846582,0.983837916957134,0.11615102436246083,0.17978736988536206,0.029677604699169306,1.0,75,art_illumina,ckmer4_property_moment_l2,400,187,0.49074866310160425,91.77
1.0,0.8681840041131806,0.723422040194365,0.4780443521449784,0.7437443254003367,0.4721317249775452,1.0,75,art_illumina,ckmer5_count_l2,400,512,0.1197998046875,61.3375
1.0,0.9868831263542716,0.9734798399600219,0.15092486952521827,0.2303047231453175,0.04864633729054178,1.0,75,art_illumina,ckmer5_property_multiscale_l2,400,673,0.2840156017830609,191.1425
