retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.8742450893059873,0.7304821784889647,0.4541997844697116,0.7341744433615279,0.5310403536406963,1.0,69,art_illumina,ckmer5_count_l2,100,512,0.110556640625,56.605
1.0,0.9926976341852709,0.9840093219993686,0.10899352882639192,0.17883113832051065,0.03424463439386939,1.0,69,art_illumina,ckmer4_property_multiscale_mean_l2,100,222,0.5243918918918918,116.415
1.0,0.9652173913043481,0.9275362318840582,0.23887504744289165,0.38069349381344053,0.5614492753623191,1.0,69,art_illumina,one_hot,100,345,0.2,69.0
1.0,0.995274332309347,0.9889754169212542,0.08719208952497867,0.14848342145711121,0.06998122335532633,1.0,69,art_illumina,property_channels,100,345,0.5862463768115942,202.255
1.0,0.9775503594151757,0.9514321439000601,0.19157837397043212,0.3116619330931523,0.3551973109104329,1.0,69,art_illumina,base_property,100,690,0.3931231884057971,271.255
1.0,0.9653598110658304,0.9261051273535398,0.2380977068211963,0.3844327709113924,0.5487734276547593,1.0,69,art_illumina,rope_onehot,100,1104,1.0,1104.0
1.0,0.9726980342602538,0.9429141963039221,0.2111259777626626,0.33789227361594765,0.42846103791957313,1.0,69,art_illumina,rope_property,100,1104,1.0,1104.0
1.0,0.9811291589861787,0.9579902345614205,0.1733524910814984,0.28983234336242464,0.2097233350518021,1.0,69,art_illumina,kmer_property,100,1040,1.0,1040.0
1.0,0.7940210244643666,0.634277095713164,0.6259534718054207,0.8552459971541837,0.40575484901802095,1.0,100,art_illumina,ckmer5_count_l2,100,512,0.157470703125,80.625
1.0,0.989079958168867,0.9793575457361098,0.14330954390474718,0.20318678159840575,0.02320799273520641,1.0,100,art_illumina,ckmer4_property_multiscale_mean_l2,100,222,0.59,130.98
1.0,0.9336000000000004,0.8995000000000001,0.35796620043329663,0.44830499452407724,0.5576000000000002,1.0,100,art_illumina,one_hot,100,500,0.2,100.0
1.0,0.9911519940877527,0.9845398060731635,0.1298623027755351,0.17584191075621655,0.06779119556149517,1.0,100,art_illumina,property_channels,100,500,0.59388,296.94
1.0,0.9581987180245369,0.9322315793234593,0.2836324681538744,0.3681460458122591,0.3443665912847647,1.0,100,art_illumina,base_property,100,1000,0.39694,396.94
1.0,0.934893853287394,0.8958170944975041,0.3543854890438636,0.4564684624186636,0.5448085666295733,1.0,100,art_illumina,rope_onehot,100,1600,1.0,1600.0
1.0,0.9494873620489638,0.9178248090032409,0.31186070309330044,0.40539856436198773,0.4184090355637612,1.0,100,art_illumina,rope_property,100,1600,1.0,1600.0
1.0,0.9660119802864469,0.9384699519676448,0.25376809186230753,0.3507992038337862,0.1989343883697206,1.0,100,art_illumina,kmer_property,100,1536,1.0,1536.0
