label,length,status,n_rows,n_pairs,fq_path,sam_path
Acinetobacter_calcoaceticus,69,generated,564,282,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L69_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L69_ART_.sam
Acinetobacter_calcoaceticus,75,generated,518,259,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L75_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L75_ART_.sam
Acinetobacter_calcoaceticus,100,generated,388,194,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L100_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L100_ART_.sam
Acinetobacter_calcoaceticus,125,generated,310,155,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L125_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L125_ART_.sam
Acinetobacter_calcoaceticus,150,generated,258,129,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L150_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_calcoaceticus_L150_ART_.sam
Acinetobacter_nosocomialis,69,generated,592,296,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L69_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L69_ART_.sam
Acinetobacter_nosocomialis,75,generated,544,272,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L75_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L75_ART_.sam
Acinetobacter_nosocomialis,100,generated,408,204,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L100_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L100_ART_.sam
Acinetobacter_nosocomialis,125,generated,326,163,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L125_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L125_ART_.sam
Acinetobacter_nosocomialis,150,generated,272,136,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L150_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_nosocomialis_L150_ART_.sam
Acinetobacter_pittii,69,generated,544,272,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L69_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L69_ART_.sam
Acinetobacter_pittii,75,generated,500,250,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L75_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L75_ART_.sam
Acinetobacter_pittii,100,generated,372,186,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L100_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L100_ART_.sam
Acinetobacter_pittii,125,generated,300,150,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L125_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L125_ART_.sam
Acinetobacter_pittii,150,generated,246,123,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L150_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_pittii_L150_ART_.sam
Acinetobacter_baumannii,69,generated,466,233,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L69_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L69_ART_.sam
Acinetobacter_baumannii,75,generated,424,212,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L75_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L75_ART_.sam
Acinetobacter_baumannii,100,generated,298,149,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L100_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L100_ART_.sam
Acinetobacter_baumannii,125,generated,218,109,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L125_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L125_ART_.sam
Acinetobacter_baumannii,150,generated,162,81,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L150_ART_.fq,results\stage3\art_illumina\fastq\Acinetobacter_baumannii_L150_ART_.sam
Burkholderia_cenocepacia,69,generated,1164,582,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L69_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L69_ART_.sam
Burkholderia_cenocepacia,75,generated,1072,536,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L75_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L75_ART_.sam
Burkholderia_cenocepacia,100,generated,800,400,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L100_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L100_ART_.sam
Burkholderia_cenocepacia,125,generated,640,320,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L125_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L125_ART_.sam
Burkholderia_cenocepacia,150,generated,536,268,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L150_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cenocepacia_L150_ART_.sam
Burkholderia_multivorans,69,generated,1012,506,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L69_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L69_ART_.sam
Burkholderia_multivorans,75,generated,930,465,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L75_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L75_ART_.sam
Burkholderia_multivorans,100,generated,696,348,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L100_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L100_ART_.sam
Burkholderia_multivorans,125,generated,554,277,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L125_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L125_ART_.sam
Burkholderia_multivorans,150,generated,462,231,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L150_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_multivorans_L150_ART_.sam
Burkholderia_cepacia,69,generated,1242,621,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L69_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L69_ART_.sam
Burkholderia_cepacia,75,generated,1142,571,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L75_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L75_ART_.sam
Burkholderia_cepacia,100,generated,856,428,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L100_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L100_ART_.sam
Burkholderia_cepacia,125,generated,684,342,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L125_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L125_ART_.sam
Burkholderia_cepacia,150,generated,568,284,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L150_ART_.fq,results\stage3\art_illumina\fastq\Burkholderia_cepacia_L150_ART_.sam
Candida_dubliniensis,69,generated,2110,1055,results\stage3\art_illumina\fastq\Candida_dubliniensis_L69_ART_.fq,results\stage3\art_illumina\fastq\Candida_dubliniensis_L69_ART_.sam
Candida_dubliniensis,75,generated,1944,972,results\stage3\art_illumina\fastq\Candida_dubliniensis_L75_ART_.fq,results\stage3\art_illumina\fastq\Candida_dubliniensis_L75_ART_.sam
Candida_dubliniensis,100,generated,1456,728,results\stage3\art_illumina\fastq\Candida_dubliniensis_L100_ART_.fq,results\stage3\art_illumina\fastq\Candida_dubliniensis_L100_ART_.sam
Candida_dubliniensis,125,generated,1158,579,results\stage3\art_illumina\fastq\Candida_dubliniensis_L125_ART_.fq,results\stage3\art_illumina\fastq\Candida_dubliniensis_L125_ART_.sam
Candida_dubliniensis,150,generated,968,484,results\stage3\art_illumina\fastq\Candida_dubliniensis_L150_ART_.fq,results\stage3\art_illumina\fastq\Candida_dubliniensis_L150_ART_.sam
Candida_albicans,69,generated,2062,1031,results\stage3\art_illumina\fastq\Candida_albicans_L69_ART_.fq,results\stage3\art_illumina\fastq\Candida_albicans_L69_ART_.sam
Candida_albicans,75,generated,1894,947,results\stage3\art_illumina\fastq\Candida_albicans_L75_ART_.fq,results\stage3\art_illumina\fastq\Candida_albicans_L75_ART_.sam
Candida_albicans,100,generated,1420,710,results\stage3\art_illumina\fastq\Candida_albicans_L100_ART_.fq,results\stage3\art_illumina\fastq\Candida_albicans_L100_ART_.sam
Candida_albicans,125,generated,1134,567,results\stage3\art_illumina\fastq\Candida_albicans_L125_ART_.fq,results\stage3\art_illumina\fastq\Candida_albicans_L125_ART_.sam
Candida_albicans,150,generated,944,472,results\stage3\art_illumina\fastq\Candida_albicans_L150_ART_.fq,results\stage3\art_illumina\fastq\Candida_albicans_L150_ART_.sam
Candida_parapsilosis,69,generated,1880,940,results\stage3\art_illumina\fastq\Candida_parapsilosis_L69_ART_.fq,results\stage3\art_illumina\fastq\Candida_parapsilosis_L69_ART_.sam
Candida_parapsilosis,75,generated,1730,865,results\stage3\art_illumina\fastq\Candida_parapsilosis_L75_ART_.fq,results\stage3\art_illumina\fastq\Candida_parapsilosis_L75_ART_.sam
Candida_parapsilosis,100,generated,1292,646,results\stage3\art_illumina\fastq\Candida_parapsilosis_L100_ART_.fq,results\stage3\art_illumina\fastq\Candida_parapsilosis_L100_ART_.sam
Candida_parapsilosis,125,generated,1032,516,results\stage3\art_illumina\fastq\Candida_parapsilosis_L125_ART_.fq,results\stage3\art_illumina\fastq\Candida_parapsilosis_L125_ART_.sam
Candida_parapsilosis,150,generated,858,429,results\stage3\art_illumina\fastq\Candida_parapsilosis_L150_ART_.fq,results\stage3\art_illumina\fastq\Candida_parapsilosis_L150_ART_.sam
Candida_tropicalis,69,generated,2096,1048,results\stage3\art_illumina\fastq\Candida_tropicalis_L69_ART_.fq,results\stage3\art_illumina\fastq\Candida_tropicalis_L69_ART_.sam
Candida_tropicalis,75,generated,1924,962,results\stage3\art_illumina\fastq\Candida_tropicalis_L75_ART_.fq,results\stage3\art_illumina\fastq\Candida_tropicalis_L75_ART_.sam
Candida_tropicalis,100,generated,1440,720,results\stage3\art_illumina\fastq\Candida_tropicalis_L100_ART_.fq,results\stage3\art_illumina\fastq\Candida_tropicalis_L100_ART_.sam
Candida_tropicalis,125,generated,1150,575,results\stage3\art_illumina\fastq\Candida_tropicalis_L125_ART_.fq,results\stage3\art_illumina\fastq\Candida_tropicalis_L125_ART_.sam
Candida_tropicalis,150,generated,952,476,results\stage3\art_illumina\fastq\Candida_tropicalis_L150_ART_.fq,results\stage3\art_illumina\fastq\Candida_tropicalis_L150_ART_.sam
Enterobacter_asburiae,69,generated,676,338,results\stage3\art_illumina\fastq\Enterobacter_asburiae_L69_ART_.fq,results\stage3\art_illumina\fastq\Enterobacter_asburiae_L69_ART_.sam
