retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.8795291056915757,0.7375505847572167,0.448389166690954,0.7244990191107312,0.4960290492196131,1.0,69,art_illumina,ckmer5_count_l2,400,512,0.111142578125,56.905
1.0,0.8048455069440129,0.5778572341543654,0.5738149487314359,0.9188487219291284,0.6798028292229944,1.0,69,art_illumina,ckmer7_count_l2,400,7535,0.008158593231585933,61.475
1.0,0.9255433620067164,0.8182725041076805,0.35099549303806316,0.6028721917139436,0.3115168701472629,1.0,69,art_illumina,cspaced_count_l2,400,136,0.34550551470588237,46.98875
1.0,0.9917881408165234,0.9804818854148369,0.11663679022933149,0.19757418831949067,0.035398653140668125,1.0,69,art_illumina,cspaced_property_l2,400,147,0.38767857142857143,56.98875
1.0,0.9356586232540495,0.8605505339397379,0.3277806629091517,0.5281082851648377,0.2734484002001634,1.0,69,art_illumina,hybrid_ckmer5_csp,400,659,0.1728281487101669,113.89375
0.9775,0.8900972009483209,0.7533659657685533,0.4264156593281849,0.7023295775009303,0.17720856530275278,0.9775,69,art_illumina,minhash_k5_s128,400,128,1.0,128.0
1.0,0.9985430483216103,0.9959927797203161,0.044488672960102955,0.08952340623812584,0.014523651171373966,1.0,69,art_illumina,eiip_l2,400,69,1.0,69.0
0.285,0.9999357274532644,0.9997030334125464,0.007730447490484111,0.02437073599137853,-5.76458132969701e-05,0.285,69,art_illumina,eiip_summary_l2,400,8,1.0,8.0
1.0,0.8608963625874977,0.7096906093195603,0.4977706511287149,0.7619834112504421,0.47775019629825743,1.0,75,art_illumina,ckmer5_count_l2,400,512,0.1215185546875,62.2175
1.0,0.7765756777535191,0.5571058879837595,0.6332013922950719,0.9411631290851015,0.6514754717816623,1.0,75,art_illumina,ckmer7_count_l2,400,7697,0.00877906976744186,67.5725
1.0,0.915715907877514,0.8272896338253193,0.3860137180992808,0.587725034296545,0.2946284720788393,1.0,75,art_illumina,cspaced_count_l2,400,136,0.37078125,50.42625
1.0,0.9907297402420749,0.9805117322070357,0.12800521168378037,0.19742433191726744,0.032981784981402675,1.0,75,art_illumina,cspaced_property_l2,400,147,0.41106292517006804,60.42625
1.0,0.9258130514147864,0.8463000979332115,0.3635971651987374,0.5544315167834486,0.26293383816966504,1.0,75,art_illumina,hybrid_ckmer5_csp,400,659,0.186105842185129,122.64375
0.98,0.8771569119815306,0.7486344914711506,0.465900987849813,0.7090348433910962,0.1636597190819516,0.98,75,art_illumina,minhash_k5_s128,400,128,1.0,128.0
1.0,0.9983363916705413,0.9956333617988078,0.05053386594854889,0.09345181616099849,0.014950633220031082,1.0,75,art_illumina,eiip_l2,400,75,1.0,75.0
0.1775,0.9999175188788374,0.9996800223257529,0.009548607094721764,0.025297326836473497,-8.012177818135457e-05,0.1775,75,art_illumina,eiip_summary_l2,400,8,1.0,8.0
1.0,0.7904565939627574,0.6459202094723145,0.6329115805527824,0.8415219413666966,0.3811289709286968,1.0,100,art_illumina,ckmer5_count_l2,400,526,0.15408032319391635,81.04625
1.0,0.6536588615148395,0.4466436419009471,0.8177985503708756,1.0520039214711623,0.5357894308387521,1.0,100,art_illumina,ckmer7_count_l2,400,8025,0.011444859813084112,91.845
1.0,0.8820981830563416,0.7927285417683128,0.47321929495910803,0.6438500666434018,0.22254748922976017,1.0,100,art_illumina,cspaced_count_l2,400,144,0.4313888888888889,62.12
1.0,0.9871749233003242,0.9770227376453657,0.1559888111153053,0.21437004804014215,0.024683605488175803,1.0,100,art_illumina,cspaced_property_l2,400,155,0.4652903225806452,72.12
1.0,0.8888157586315407,0.8114353569482733,0.4610782956941393,0.6141084084664756,0.20924605533627083,1.0,100,art_illumina,hybrid_ckmer5_csp,400,681,0.22491372980910426,153.16625
0.9,0.8210349634321936,0.7042930883704117,0.5848888879355938,0.769034331734342,0.09384205372127415,0.9,100,art_illumina,minhash_k5_s128,400,128,1.0,128.0
1.0,0.9971116109740851,0.9941423389998818,0.07174462488813585,0.10823733631211586,0.014791146072276704,1.0,100,art_illumina,eiip_l2,400,100,0.9999625,99.99625
0.065,0.9997352537746483,0.9989908763985946,0.017467142472713068,0.044924786653290076,-0.0002621174968089085,0.065,100,art_illumina,eiip_summary_l2,400,8,1.0,8.0
1.0,0.9935660827580525,0.96478945002512,0.05159232587293861,0.26536946979586423,0.5358225106895315,1.0,125,art_illumina,ckmer5_count_l2,400,512,0.1904541015625,97.5125
1.0,0.9882027552105432,0.9411764705882341,0.06990262748003602,0.34299717028501747,0.8503956744103424,1.0,125,art_illumina,ckmer7_count_l2,400,7906,0.014574215785479383,115.22375
1.0,0.9966944578333028,0.9820533630463163,0.03697296242915928,0.18945193954539577,0.29410165352061807,1.0,125,art_illumina,cspaced_count_l2,400,136,0.5225183823529411,71.0625
1.0,0.9996483167691801,0.998080870606994,0.012075867447628412,0.06195359477644217,0.03170392521050763,1.0,125,art_illumina,cspaced_property_l2,400,147,0.5514455782312925,81.0625
1.0,0.9966071997636163,0.9813021190544737,0.037480405545188764,0.19337975540370886,0.28923808208557705,1.0,125,art_illumina,hybrid_ckmer5_csp,400,659,0.27097875569044005,178.575
1.0,0.9928272610648671,0.9481336468002546,0.05066372598203179,0.32207460081754735,0.2508974561586006,1.0,125,art_illumina,minhash_k5_s128,400,128,1.0,128.0
1.0,0.9999295432898577,0.9992658286106872,0.004134813166421187,0.03831893832744806,0.018847904927251295,1.0,125,art_illumina,eiip_l2,400,125,1.0,125.0
0.865,0.999993829682161,0.9999581975693219,0.001060947148638987,0.009139499471517142,-1.7005283349186273e-06,0.865,125,art_illumina,eiip_summary_l2,400,8,1.0,8.0
