retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.8433420403076798,0.6795650479748304,0.5281321192865248,0.8005401959312675,0.4682738614819772,1.0,69,low,20.347826086956523,23.006445374105617,23.695652173913043,ckmer5_count_l2,canonical 5-mer,400,512,0.11187744140625,57.28125
1.0,0.7514929867895225,0.5222743066165955,0.6673958454955954,0.9774707221325809,0.6254687474934965,1.0,69,low,20.347826086956523,23.006445374105617,23.695652173913043,ckmer7_count_l2,canonical 7-mer,400,7651,0.008072964318389752,61.76625
1.0,0.9023605292462159,0.7952962671487789,0.4147363421037052,0.6398490842887349,0.29689950962517875,1.0,69,low,20.347826086956523,23.006445374105617,23.695652173913043,cspaced_count_l2,canonical spaced count,400,136,0.3462408088235294,47.08875
1.0,0.9892557325917217,0.977224753140292,0.1375681774050593,0.21342486839792116,0.03341812521740817,1.0,69,low,20.347826086956523,23.006445374105617,23.695652173913043,cspaced_property_l2,CSP,400,147,0.38835884353741496,57.08875
1.0,0.9162988864497007,0.8271121119582893,0.3860959870174318,0.5880270150091803,0.25854868932992825,1.0,69,low,20.347826086956523,23.006445374105617,23.695652173913043,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.17355083459787557,114.37
0.9725,0.8669864751262392,0.7406834235451608,0.4854006831734185,0.7201618076085127,0.1574600755924754,0.9725,69,low,20.347826086956523,23.006445374105617,23.695652173913043,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9981065049149698,0.9953456345618308,0.05397342619371423,0.09648175961281319,0.01409260592987881,1.0,69,low,20.347826086956523,23.006445374105617,23.695652173913043,eiip_l2,EIIP positional signal,400,69,1.0,69.0
0.1675,0.9999072837490042,0.9995907393171353,0.010314714742021953,0.02860831764888383,-9.032251516643663e-05,0.1675,69,low,20.347826086956523,23.006445374105617,23.695652173913043,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.8685836706892094,0.7053035809440269,0.4742389039052547,0.7677192072789789,0.4931257556825607,1.0,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,ckmer5_count_l2,canonical 5-mer,400,512,0.1119873046875,57.3375
1.0,0.7906202445886124,0.5761070539873543,0.6012934957548217,0.9207521600491257,0.6700192377881636,1.0,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,ckmer7_count_l2,canonical 7-mer,400,7605,0.008130999342537804,61.83625
1.0,0.9186665057549501,0.8202275967057724,0.3725209538828739,0.5996202525655997,0.31570870621522185,1.0,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,cspaced_count_l2,canonical spaced count,400,136,0.3478952205882353,47.31375
1.0,0.9910852046033101,0.9794463627790492,0.12332920711316418,0.20274928774193218,0.03530219644748782,1.0,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,cspaced_property_l2,CSP,400,147,0.38988945578231293,57.31375
1.0,0.9298344376462598,0.8455306587182222,0.3466327972638612,0.555821515380863,0.2716320084266864,1.0,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.17397761760242791,114.65125
0.9775,0.8874334860486743,0.74263468499245,0.43322567304480314,0.7174458846116064,0.17698959069820447,0.9775,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.998507770734075,0.9961037489611088,0.04570524064358219,0.08827514889734413,0.014682424580877056,1.0,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,eiip_l2,EIIP positional signal,400,69,1.0,69.0
0.235,0.9999124562489328,0.9997093604340657,0.008609933634927869,0.024109695097538554,-4.312648888505355e-06,0.235,69,mid,23.71014492753623,24.15439430914554,24.594202898550726,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.9082268875897299,0.7714489662150924,0.3805219869023875,0.6760931344479847,0.5233490041566232,1.0,69,high,24.594202898550726,25.252598070953074,27.608695652173914,ckmer5_count_l2,canonical 5-mer,400,512,0.111005859375,56.835
1.0,0.8514757547025072,0.666666666666667,0.4854112542187234,0.8164965809277261,0.7228401015310887,1.0,69,high,24.594202898550726,25.252598070953074,27.608695652173914,ckmer7_count_l2,canonical 7-mer,400,7469,0.008233364573570759,61.495
1.0,0.9437795775232881,0.8592504416032578,0.29628303289054175,0.5305648161683065,0.33110756638428823,1.0,69,high,24.594202898550726,25.252598070953074,27.608695652173914,cspaced_count_l2,canonical spaced count,400,136,0.34417279411764706,46.8075
1.0,0.9937926153305108,0.9845688605692595,0.0986223810866483,0.1756759523459948,0.03755619847189947,1.0,69,high,24.594202898550726,25.252598070953074,27.608695652173914,cspaced_property_l2,CSP,400,147,0.3864455782312925,56.8075
1.0,0.9510097514601205,0.8792392059371394,0.2781030621513815,0.49144799609170076,0.28805043860775953,1.0,69,high,24.594202898550726,25.252598070953074,27.608695652173914,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.17244688922610016,113.6425
0.9975,0.9164369607738103,0.8043275378046251,0.36006966170059085,0.6255749820225703,0.20322214590380056,0.9975,69,high,24.594202898550726,25.252598070953074,27.608695652173914,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.99889824051304,0.9969224334186548,0.03635347618890206,0.07845462791836126,0.014129851615137823,1.0,69,high,24.594202898550726,25.252598070953074,27.608695652173914,eiip_l2,EIIP positional signal,400,69,1.0,69.0
0.3775,0.9999412607008875,0.9997593984425999,0.006785508054180024,0.021936231567984642,-4.895781932474641e-05,0.3775,69,high,24.594202898550726,25.252598070953074,27.608695652173914,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.8326322326010307,0.6955868984157613,0.557606532810401,0.7802730682582009,0.4412774745906573,1.0,75,low,19.586666666666666,22.45812519464341,23.08,ckmer5_count_l2,canonical 5-mer,400,512,0.12052001953125,61.70625
1.0,0.7316640904472957,0.5213232950778848,0.7094799727158975,0.9784443815164691,0.6063491595964,1.0,75,low,19.586666666666666,22.45812519464341,23.08,ckmer7_count_l2,canonical 7-mer,400,7711,0.008744164181040072,67.42625
1.0,0.8994375808165137,0.8053521871722154,0.4309755713427662,0.6239355941088329,0.276986202112999,1.0,75,low,19.586666666666666,22.45812519464341,23.08,cspaced_count_l2,canonical spaced count,400,136,0.36689338235294117,49.8975
1.0,0.9889621641523305,0.9790578913331571,0.142786577294439,0.2046559747641561,0.031123234971013814,1.0,75,low,19.586666666666666,22.45812519464341,23.08,cspaced_property_l2,CSP,400,147,0.40746598639455783,59.8975
1.0,0.9107971983766806,0.8377019763724765,0.4071836930451463,0.5697332892572904,0.243436036518193,1.0,75,low,19.586666666666666,22.45812519464341,23.08,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.18452769347496206,121.60375
0.9625,0.857831659718228,0.7324962772861474,0.5119828932084453,0.7314419649892197,0.14521813905883924,0.9625,75,low,19.586666666666666,22.45812519464341,23.08,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9978338511011816,0.9952650937971467,0.06024553199851508,0.09731287867571725,0.014428348308933242,1.0,75,low,19.586666666666666,22.45812519464341,23.08,eiip_l2,EIIP positional signal,400,75,1.0,75.0
0.1375,0.999876778105411,0.9995383378089344,0.01158896762026325,0.030385619763324268,-0.00012098141978704375,0.1375,75,low,19.586666666666666,22.45812519464341,23.08,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.8691857451036742,0.7214213231935261,0.47429775839395205,0.7464295206940109,0.49341063332158924,1.0,75,mid,23.08,23.521440880307278,23.946666666666665,ckmer5_count_l2,canonical 5-mer,400,512,0.12180419921875,62.36375
1.0,0.7907071970034747,0.5917841307564171,0.602075716807682,0.9035661229191619,0.6731431982105809,1.0,75,mid,23.08,23.521440880307278,23.946666666666665,ckmer7_count_l2,canonical 7-mer,400,7736,0.00875,67.69
1.0,0.9236408340559557,0.8378212921596442,0.35994079973004445,0.5695238359009323,0.30297668385367443,1.0,75,mid,23.08,23.521440880307278,23.946666666666665,cspaced_count_l2,canonical spaced count,400,136,0.3686029411764706,50.13
1.0,0.9915664358824517,0.9817371198198579,0.11969167348385629,0.19111693708422411,0.034006426177119554,1.0,75,mid,23.08,23.521440880307278,23.946666666666665,cspaced_property_l2,CSP,400,147,0.40904761904761905,60.13
1.0,0.930376090493063,0.8514128038861213,0.34607537391403187,0.5451369334361522,0.2710800329937335,1.0,75,mid,23.08,23.521440880307278,23.946666666666665,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.18587822458270106,122.49375
0.9875,0.8861751522629012,0.7571504936896449,0.438124291765987,0.6969210745122736,0.17331526910076614,0.9875,75,mid,23.08,23.521440880307278,23.946666666666665,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9985709012848655,0.9961192478976062,0.045071575589200726,0.08809938910171342,0.014368545627159137,1.0,75,mid,23.08,23.521440880307278,23.946666666666665,eiip_l2,EIIP positional signal,400,75,1.0,75.0
