quality_bin,representation,n_cells,paired_cosine_mean_mean,paired_cosine_mean_ci95_low,paired_cosine_mean_ci95_high,l2_delta_mean_mean,l2_delta_mean_ci95_low,l2_delta_mean_ci95_high,retrieval_top1_mean,retrieval_top1_ci95_low,retrieval_top1_ci95_high,representation_label,paired cosine (95% CI),L2 drift (95% CI),top-1 retrieval (95% CI)
high,ckmer5_count_l2,5,0.9269195607673104,0.8748389143120295,0.9790002072225912,0.2832948740073306,0.10020928197998373,0.46638046603467753,1.0,1.0,1.0,canonical 5-mer,"0.927 [0.875, 0.979]","0.283 [0.100, 0.466]","1.000 [1.000, 1.000]"
high,ckmer7_count_l2,5,0.8782573276107909,0.7914034483853781,0.9648973920902018,0.3673562797375808,0.13085082650933658,0.6038617329658249,1.0,1.0,1.0,canonical 7-mer,"0.878 [0.791, 0.965]","0.367 [0.131, 0.604]","1.000 [1.000, 1.000]"
high,cspaced_count_l2,5,0.9571872497931289,0.9269653623712786,0.9874091372149791,0.2157817894909558,0.07625298316741926,0.3553105958144923,1.0,1.0,1.0,canonical spaced count,"0.957 [0.927, 0.987]","0.216 [0.076, 0.355]","1.000 [1.000, 1.000]"
high,cspaced_property_l2,5,0.9952955540803154,0.991974799804739,0.9986163083558918,0.07159308058916994,0.02525369909916218,0.1179324620791777,1.0,1.0,1.0,CSP,"0.995 [0.992, 0.999]","0.072 [0.025, 0.118]","1.000 [1.000, 1.000]"
high,eiip_l2,5,0.9989690805383058,0.9981723825436593,0.9997429928287911,0.029677429319296657,0.009470501568345122,0.0498843570702482,1.0,1.0,1.0,EIIP positional signal,"0.999 [0.998, 1.000]","0.030 [0.009, 0.050]","1.000 [1.000, 1.000]"
high,eiip_summary_l2,5,0.9999242419413479,0.9998503598712369,0.9999841064867928,0.006683025213556978,0.00196297152198752,0.011690100882843339,0.5025000000000001,0.19849999999999998,0.795224999999999,EIIP summary,"1.000 [1.000, 1.000]","0.007 [0.002, 0.012]","0.503 [0.198, 0.795]"
high,hybrid_ckmer5_csp,5,0.9611075574238128,0.9334068570583842,0.9888082577892415,0.20677210506114535,0.07311747974756302,0.3338666621702663,1.0,1.0,1.0,canonical 5-mer + CSP,"0.961 [0.933, 0.989]","0.207 [0.073, 0.334]","1.000 [1.000, 1.000]"
high,minhash_k5_s128,5,0.9324266035899651,0.8849540347516524,0.9798547792647131,0.2706732715463383,0.09919286730077877,0.44396725190709513,0.992,0.9824999999999999,0.9995,"MinHash k=5, s=128","0.932 [0.885, 0.980]","0.271 [0.099, 0.444]","0.992 [0.982, 1.000]"
low,ckmer5_count_l2,5,0.8775305467990829,0.7937757507278895,0.960810296933755,0.3921522669309632,0.16502646627833464,0.6192780675835918,1.0,1.0,1.0,canonical 5-mer,"0.878 [0.794, 0.961]","0.392 [0.165, 0.619]","1.000 [1.000, 1.000]"
low,ckmer7_count_l2,5,0.8020756486291105,0.6684318558483394,0.9357194414098817,0.5025051725952309,0.21711544910626518,0.7878948960841965,1.0,1.0,1.0,canonical 7-mer,"0.802 [0.668, 0.936]","0.503 [0.217, 0.788]","1.000 [1.000, 1.000]"
low,cspaced_count_l2,5,0.9270266382501091,0.8773042940464537,0.9765553409690156,0.30081296586506767,0.12203674461933253,0.47673727840924734,1.0,1.0,1.0,canonical spaced count,"0.927 [0.877, 0.977]","0.301 [0.122, 0.477]","1.000 [1.000, 1.000]"
low,cspaced_property_l2,5,0.9920337954437841,0.9866104736565063,0.9974571172310618,0.0993493051120655,0.04115704579212042,0.15754156443201056,1.0,1.0,1.0,CSP,"0.992 [0.987, 0.997]","0.099 [0.041, 0.158]","1.000 [1.000, 1.000]"
low,eiip_l2,5,0.9983856503697572,0.9972489272020937,0.9995223735374207,0.04244426906738506,0.01636470400633456,0.06852383412843557,1.0,1.0,1.0,EIIP positional signal,"0.998 [0.997, 1.000]","0.042 [0.016, 0.069]","1.000 [1.000, 1.000]"
low,eiip_summary_l2,5,0.9998853600404838,0.9997727281819587,0.9999717767397858,0.00907472382310174,0.00353405634232358,0.014870241879528161,0.382,0.1045,0.6755,EIIP summary,"1.000 [1.000, 1.000]","0.009 [0.004, 0.015]","0.382 [0.104, 0.675]"
low,hybrid_ckmer5_csp,5,0.9347821711214337,0.8890927745775941,0.979124550398226,0.28617676627885463,0.12033382280256348,0.4520197097551458,1.0,1.0,1.0,canonical 5-mer + CSP,"0.935 [0.889, 0.979]","0.286 [0.120, 0.452]","1.000 [1.000, 1.000]"
low,minhash_k5_s128,5,0.8975008377570033,0.8297249673960071,0.964490456362696,0.3582788421559403,0.15481460924263182,0.5617430750692488,0.9465,0.8709999999999999,0.9945,"MinHash k=5, s=128","0.898 [0.830, 0.964]","0.358 [0.155, 0.562]","0.947 [0.871, 0.995]"
mid,ckmer5_count_l2,5,0.9034480736571581,0.8383541973729475,0.9685419499413687,0.3394581274754953,0.140387305500154,0.5384868379061984,1.0,1.0,1.0,canonical 5-mer,"0.903 [0.838, 0.969]","0.339 [0.140, 0.538]","1.000 [1.000, 1.000]"
