task,representation,n_cells,macro_f1_mean,macro_f1_ci95_low,macro_f1_ci95_high,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,mean_features,representation_label,macro-F1 (95% CI),accuracy (95% CI)
label_probe,hybrid_ckmer5_csp,27,0.24489705295394712,0.22872813452988341,0.26326425811258825,0.2551501205347359,0.2383820951128643,0.2720263532763532,659.0,canonical 5-mer + CSP,"0.245 [0.229, 0.263]","0.255 [0.238, 0.272]"
label_probe,ckmer5_count_l2,27,0.23701400807127723,0.21918680625696416,0.25495751660909927,0.24764409379793992,0.23054733727810647,0.2660050953320184,512.0,canonical 5-mer,"0.237 [0.219, 0.255]","0.248 [0.231, 0.266]"
label_probe,ckmer7_count_l2,27,0.1809988512816681,0.15921165114795413,0.202397550543174,0.1952114836730221,0.17422611220688136,0.21669269121192192,8186.333333333333,canonical 7-mer,"0.181 [0.159, 0.202]","0.195 [0.174, 0.217]"
label_probe,cspaced_count_l2,27,0.14274085799642874,0.13404188404468034,0.15218911459210008,0.15499671268902032,0.14518819855358311,0.16540790050405432,136.0,canonical spaced count,"0.143 [0.134, 0.152]","0.155 [0.145, 0.165]"
label_probe,cspaced_property_l2,27,0.14161940816094315,0.13035960011067513,0.151743787058735,0.15395573087880776,0.1416817335086565,0.16546268902038128,147.0,CSP,"0.142 [0.130, 0.152]","0.154 [0.142, 0.165]"
label_probe,minhash_k5_s128,27,0.12308239492519128,0.11261986869229869,0.13226534510935617,0.1330265176419022,0.12272490685952216,0.14266929651545032,128.0,"MinHash k=5, s=128","0.123 [0.113, 0.132]","0.133 [0.123, 0.143]"
label_probe,eiip_summary_l2,27,0.06983575489779402,0.060825444567437145,0.07868508557722848,0.10174227481919786,0.09259122287968435,0.11138505369274594,8.0,EIIP summary,"0.070 [0.061, 0.079]","0.102 [0.093, 0.111]"
label_probe,eiip_l2,27,0.04268756967258795,0.03810502723935056,0.04720221014234103,0.046515450361604135,0.04224194608809987,0.0510628972167433,81.33333333333333,EIIP positional signal,"0.043 [0.038, 0.047]","0.047 [0.042, 0.051]"
target_background,cspaced_count_l2,27,0.7492592165877153,0.7274690592255351,0.7689784491563608,0.7515432098765431,0.73070987654321,0.7723765432098765,136.0,canonical spaced count,"0.749 [0.727, 0.769]","0.752 [0.731, 0.772]"
target_background,hybrid_ckmer5_csp,27,0.7344469292264827,0.7028083554099194,0.7644488883732251,0.7445987654320988,0.7152777777777778,0.7708526234567902,658.7777777777778,canonical 5-mer + CSP,"0.734 [0.703, 0.764]","0.745 [0.715, 0.771]"
target_background,ckmer5_count_l2,27,0.7160001002786701,0.6771484559396443,0.7549584186046945,0.7322530864197531,0.6990740740740742,0.7631172839506172,511.77777777777777,canonical 5-mer,"0.716 [0.677, 0.755]","0.732 [0.699, 0.763]"
target_background,cspaced_property_l2,27,0.7003733870736751,0.660754699941215,0.7373636334004796,0.7083333333333331,0.6743827160493828,0.7391975308641976,147.0,CSP,"0.700 [0.661, 0.737]","0.708 [0.674, 0.739]"
target_background,ckmer7_count_l2,27,0.6970122244030276,0.6753618283061535,0.7173190572862674,0.7029320987654321,0.6820794753086419,0.7229938271604938,5535.0,canonical 7-mer,"0.697 [0.675, 0.717]","0.703 [0.682, 0.723]"
target_background,eiip_summary_l2,27,0.6694742958969306,0.6259100859832424,0.7139436694013446,0.6728395061728394,0.6311728395061729,0.7152777777777778,8.0,EIIP summary,"0.669 [0.626, 0.714]","0.673 [0.631, 0.715]"
target_background,minhash_k5_s128,27,0.6160629601117624,0.5710217230802431,0.6581294142471933,0.6334876543209875,0.5933641975308643,0.6682291666666668,128.0,"MinHash k=5, s=128","0.616 [0.571, 0.658]","0.633 [0.593, 0.668]"
target_background,eiip_l2,27,0.4884702597973395,0.4671062155068152,0.5107638294898019,0.5108024691358025,0.48842592592592593,0.5324266975308641,81.33333333333333,EIIP positional signal,"0.488 [0.467, 0.511]","0.511 [0.488, 0.532]"
