retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.964250546727161,0.95014918872348,0.2651399957228407,0.31575563031488635,0.3270736062965288,1.0,69,N_3pct,ckmer4_count_l2,2000,136,0.34328860294117647,46.68725
1.0,0.9943532884570077,0.9927850434320955,0.10589292361916815,0.12012457319226472,0.03642022164263281,1.0,69,N_3pct,ckmer4_property_l2,2000,147,0.3890289115646258,57.18725
1.0,0.9948074396058078,0.9934209189897971,0.10156643733510817,0.11470902948183359,0.03341624744392116,1.0,69,N_3pct,ckmer4_property_multiscale_mean_l2,2000,222,0.5431632882882883,120.58225
1.0,0.994342542457442,0.9929489325013084,0.1060734321165432,0.11875241043087793,0.033421466545729236,1.0,69,N_3pct,ckmer4_property_multiscale_l2,2000,297,0.6192920875420875,183.92975
1.0,0.9381871555497762,0.9188917168084226,0.34914209825459375,0.4027611778500444,0.5627157666345285,1.0,69,N_3pct,ckmer5_count_l2,2000,512,0.10669482421875,54.62775
1.0,0.9941177965055988,0.992231931062493,0.10795015072989435,0.12464404444046234,0.03827823489230379,1.0,69,N_3pct,cspaced_property_l2,2000,147,0.38384013605442174,56.4245
1.0,0.966497297577792,0.9563802207299048,0.25716625084291056,0.29536343451268127,0.30021671401084693,1.0,69,N_3pct,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.2387057220708447,175.21
1.0,0.9755544309448438,0.9187462744562567,0.15394281430465895,0.40312212913323703,0.33110109627556267,1.0,69,substitution_1pct,ckmer4_count_l2,2000,136,0.35895036764705884,48.81725
1.0,0.9973521171995123,0.9912322033154336,0.05065404011132388,0.13242202740208509,0.03639733497033801,1.0,69,substitution_1pct,ckmer4_property_l2,2000,147,0.4001173469387755,58.81725
1.0,0.9976017478412702,0.9920751970768132,0.048218561496526945,0.12589521671038434,0.03341390372889424,1.0,69,substitution_1pct,ckmer4_property_multiscale_mean_l2,2000,222,0.5351036036036037,118.793
1.0,0.9976010947961538,0.992073686272867,0.04822688506747323,0.12590721635415247,0.033425445179709315,1.0,69,substitution_1pct,ckmer4_property_multiscale_l2,2000,297,0.6017121212121213,178.7085
1.0,0.9583206308157078,0.8618263080888109,0.20180175469597594,0.5256874621706396,0.577336850069936,1.0,69,substitution_1pct,ckmer5_count_l2,2000,512,0.11411279296875,58.42575
1.0,0.997242943650371,0.9907377332897869,0.05158482060475875,0.1361048574236098,0.038207564638733454,1.0,69,substitution_1pct,cspaced_property_l2,2000,147,0.3948044217687075,58.03625
1.0,0.9779611893284891,0.9271344972932544,0.14674160372258233,0.38174729303173566,0.3073712763629174,1.0,69,substitution_1pct,hybrid:ckmer5_count_l2+ckmer4_property_multiscale_mean_l2,2000,734,0.24144243869209808,177.21875
1.0,0.9401824650528628,0.8772698206660012,0.3344678696667822,0.49543937273220123,0.3047816024409519,1.0,69,substitution_1pct_N_3pct,ckmer4_count_l2,2000,136,0.34358823529411764,46.728
