representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer4_count_l2,nearest_centroid,2252,30,136,0.2781065088757396,0.26371773576212826,label_probe,69,clean,label
ckmer4_count_l2,logistic,2252,30,136,0.23964497041420119,0.22665624978298785,label_probe,69,clean,label
ckmer4_count_l2,mlp,2252,30,136,0.23520710059171598,0.21030836285513815,label_probe,69,clean,label
ckmer4_property_l2,nearest_centroid,2252,30,147,0.28402366863905326,0.26797342473518176,label_probe,69,clean,label
ckmer4_property_l2,logistic,2252,30,147,0.23668639053254437,0.22361890247392174,label_probe,69,clean,label
ckmer4_property_l2,mlp,2252,30,147,0.22337278106508876,0.20684432796240612,label_probe,69,clean,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,2252,30,222,0.28402366863905326,0.26808566103885845,label_probe,69,clean,label
ckmer4_property_multiscale_mean_l2,logistic,2252,30,222,0.23520710059171598,0.22443750769407905,label_probe,69,clean,label
ckmer4_property_multiscale_mean_l2,mlp,2252,30,222,0.1849112426035503,0.16354076255315314,label_probe,69,clean,label
ckmer4_property_multiscale_l2,nearest_centroid,2252,30,297,0.28402366863905326,0.268336503188225,label_probe,69,clean,label
ckmer4_property_multiscale_l2,logistic,2252,30,297,0.23372781065088757,0.22100756186026646,label_probe,69,clean,label
ckmer4_property_multiscale_l2,mlp,2252,30,297,0.21745562130177515,0.20405189476679406,label_probe,69,clean,label
ckmer4_property_moment_l2,nearest_centroid,2252,30,187,0.27958579881656803,0.26276095862254206,label_probe,69,clean,label
ckmer4_property_moment_l2,logistic,2252,30,187,0.23076923076923078,0.21872847411923046,label_probe,69,clean,label
ckmer4_property_moment_l2,mlp,2252,30,187,0.22189349112426035,0.19703467320221674,label_probe,69,clean,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.257396449704142,0.24395925405197305,label_probe,69,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.1878698224852071,0.17612902837765992,label_probe,69,clean,label
ckmer5_count_l2,mlp,2252,30,512,0.19674556213017752,0.1872866421550313,label_probe,69,clean,label
ckmer5_property_multiscale_l2,nearest_centroid,2252,30,673,0.26479289940828404,0.25039329997460663,label_probe,69,clean,label
ckmer5_property_multiscale_l2,logistic,2252,30,673,0.19674556213017752,0.18594224891174094,label_probe,69,clean,label
ckmer5_property_multiscale_l2,mlp,2252,30,673,0.19674556213017752,0.18303112148442527,label_probe,69,clean,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1893491124260355,0.17744694139397513,label_probe,69,clean,label
cspaced_property_l2,logistic,2252,30,147,0.1346153846153846,0.12576557615727701,label_probe,69,clean,label
cspaced_property_l2,mlp,2252,30,147,0.15384615384615385,0.14167052042126002,label_probe,69,clean,label
ckmer4_count_l2,nearest_centroid,160,2,136,0.8125,0.8117647058823529,target_background,69,clean,target_binary
ckmer4_count_l2,logistic,160,2,136,0.8125,0.8117647058823529,target_background,69,clean,target_binary
ckmer4_count_l2,mlp,160,2,136,0.7708333333333334,0.7707338254450716,target_background,69,clean,target_binary
ckmer4_property_l2,nearest_centroid,160,2,147,0.7916666666666666,0.791304347826087,target_background,69,clean,target_binary
ckmer4_property_l2,logistic,160,2,147,0.8125,0.8117647058823529,target_background,69,clean,target_binary
ckmer4_property_l2,mlp,160,2,147,0.7291666666666666,0.7281045751633988,target_background,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,160,2,222,0.7916666666666666,0.791304347826087,target_background,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,logistic,160,2,222,0.8125,0.8124185844550587,target_background,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,mlp,160,2,222,0.6875,0.6873643074250977,target_background,69,clean,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,160,2,297,0.7916666666666666,0.791304347826087,target_background,69,clean,target_binary
ckmer4_property_multiscale_l2,logistic,160,2,297,0.7916666666666666,0.791304347826087,target_background,69,clean,target_binary
ckmer4_property_multiscale_l2,mlp,160,2,297,0.75,0.75,target_background,69,clean,target_binary
ckmer4_property_moment_l2,nearest_centroid,160,2,187,0.8125,0.8117647058823529,target_background,69,clean,target_binary
ckmer4_property_moment_l2,logistic,160,2,187,0.7916666666666666,0.7916666666666666,target_background,69,clean,target_binary
ckmer4_property_moment_l2,mlp,160,2,187,0.6458333333333334,0.6444444444444444,target_background,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,160,2,512,0.7916666666666666,0.7883597883597884,target_background,69,clean,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8333333333333334,0.8330434782608696,target_background,69,clean,target_binary
ckmer5_count_l2,mlp,160,2,512,0.5625,0.48121461657231085,target_background,69,clean,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,160,2,672,0.7916666666666666,0.7902097902097902,target_background,69,clean,target_binary
ckmer5_property_multiscale_l2,logistic,160,2,672,0.8541666666666666,0.8535947712418301,target_background,69,clean,target_binary
ckmer5_property_multiscale_l2,mlp,160,2,672,0.8333333333333334,0.8330434782608696,target_background,69,clean,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.8333333333333334,0.8321678321678322,target_background,69,clean,target_binary
cspaced_property_l2,logistic,160,2,147,0.8125,0.8124185844550587,target_background,69,clean,target_binary
cspaced_property_l2,mlp,160,2,147,0.5208333333333334,0.46897546897546893,target_background,69,clean,target_binary
ckmer4_count_l2,nearest_centroid,2252,30,136,0.2781065088757396,0.2641606714470651,label_probe,69,N_3pct,label
ckmer4_count_l2,logistic,2252,30,136,0.22337278106508876,0.21406079851740956,label_probe,69,N_3pct,label
ckmer4_count_l2,mlp,2252,30,136,0.16420118343195267,0.14571630794618942,label_probe,69,N_3pct,label
ckmer4_property_l2,nearest_centroid,2252,30,147,0.28106508875739644,0.2662256288378505,label_probe,69,N_3pct,label
ckmer4_property_l2,logistic,2252,30,147,0.23668639053254437,0.2247414642158113,label_probe,69,N_3pct,label
ckmer4_property_l2,mlp,2252,30,147,0.21893491124260356,0.2023544559565868,label_probe,69,N_3pct,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,2252,30,222,0.27958579881656803,0.26502263884206795,label_probe,69,N_3pct,label
ckmer4_property_multiscale_mean_l2,logistic,2252,30,222,0.22041420118343194,0.21081030530527337,label_probe,69,N_3pct,label
ckmer4_property_multiscale_mean_l2,mlp,2252,30,222,0.1893491124260355,0.16697908948710938,label_probe,69,N_3pct,label
ckmer4_property_multiscale_l2,nearest_centroid,2252,30,297,0.28254437869822485,0.2671322576169345,label_probe,69,N_3pct,label
ckmer4_property_multiscale_l2,logistic,2252,30,297,0.21597633136094674,0.20900197820525232,label_probe,69,N_3pct,label
ckmer4_property_multiscale_l2,mlp,2252,30,297,0.21449704142011836,0.19673313878484422,label_probe,69,N_3pct,label
ckmer4_property_moment_l2,nearest_centroid,2252,30,187,0.29142011834319526,0.2744574673500877,label_probe,69,N_3pct,label
ckmer4_property_moment_l2,logistic,2252,30,187,0.23668639053254437,0.22478522261254802,label_probe,69,N_3pct,label
ckmer4_property_moment_l2,mlp,2252,30,187,0.20266272189349113,0.18325303228095377,label_probe,69,N_3pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.2559171597633136,0.24455015309586395,label_probe,69,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.1834319526627219,0.17449369831808578,label_probe,69,N_3pct,label
ckmer5_count_l2,mlp,2252,30,512,0.1760355029585799,0.16516946211204162,label_probe,69,N_3pct,label
ckmer5_property_multiscale_l2,nearest_centroid,2252,30,673,0.2603550295857988,0.2476826190281572,label_probe,69,N_3pct,label
ckmer5_property_multiscale_l2,logistic,2252,30,673,0.1997041420118343,0.19120023216308893,label_probe,69,N_3pct,label
ckmer5_property_multiscale_l2,mlp,2252,30,673,0.1937869822485207,0.18483826123064825,label_probe,69,N_3pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1893491124260355,0.17558437328917217,label_probe,69,N_3pct,label
cspaced_property_l2,logistic,2252,30,147,0.14053254437869822,0.13034307129761455,label_probe,69,N_3pct,label
cspaced_property_l2,mlp,2252,30,147,0.14201183431952663,0.12980337053903035,label_probe,69,N_3pct,label
