representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer5_count_l2,nearest_centroid,2252,30,512,0.257396449704142,0.24395925405197305,label_probe,69,clean,label
ckmer5_count_l2,logistic,2252,30,512,0.1878698224852071,0.17612902837765992,label_probe,69,clean,label
ckmer5_count_l2,mlp,2252,30,512,0.19674556213017752,0.1872866421550313,label_probe,69,clean,label
ckmer7_count_l2,nearest_centroid,2252,30,8184,0.20118343195266272,0.1893420878870594,label_probe,69,clean,label
ckmer7_count_l2,logistic,2252,30,8184,0.16124260355029585,0.1350145867728367,label_probe,69,clean,label
ckmer7_count_l2,mlp,2252,30,8184,0.10059171597633136,0.09531101903694189,label_probe,69,clean,label
cspaced_count_l2,nearest_centroid,2252,30,136,0.1893491124260355,0.1776207932328457,label_probe,69,clean,label
cspaced_count_l2,logistic,2252,30,136,0.1390532544378698,0.13080018081168157,label_probe,69,clean,label
cspaced_count_l2,mlp,2252,30,136,0.1346153846153846,0.12986076169426886,label_probe,69,clean,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1893491124260355,0.17744694139397513,label_probe,69,clean,label
cspaced_property_l2,logistic,2252,30,147,0.1346153846153846,0.12576557615727701,label_probe,69,clean,label
cspaced_property_l2,mlp,2252,30,147,0.15384615384615385,0.14167052042126002,label_probe,69,clean,label
hybrid_ckmer5_csp,nearest_centroid,2252,30,659,0.27218934911242604,0.2560741857257785,label_probe,69,clean,label
hybrid_ckmer5_csp,logistic,2252,30,659,0.21597633136094674,0.20779520148195596,label_probe,69,clean,label
hybrid_ckmer5_csp,mlp,2252,30,659,0.1863905325443787,0.17573911930241212,label_probe,69,clean,label
minhash_k5_s128,nearest_centroid,2252,30,128,0.17159763313609466,0.15816144898829215,label_probe,69,clean,label
minhash_k5_s128,logistic,2252,30,128,0.13609467455621302,0.12916000129685618,label_probe,69,clean,label
minhash_k5_s128,mlp,2252,30,128,0.10650887573964497,0.09130317044261214,label_probe,69,clean,label
eiip_l2,nearest_centroid,2252,30,69,0.034023668639053255,0.03288163873241507,label_probe,69,clean,label
eiip_l2,logistic,2252,30,69,0.051775147928994084,0.04602990062410983,label_probe,69,clean,label
eiip_l2,mlp,2252,30,69,0.03106508875739645,0.027982545967007652,label_probe,69,clean,label
eiip_summary_l2,nearest_centroid,2252,30,8,0.08579881656804733,0.06262403937635645,label_probe,69,clean,label
eiip_summary_l2,logistic,2252,30,8,0.1227810650887574,0.0915194384692662,label_probe,69,clean,label
eiip_summary_l2,mlp,2252,30,8,0.057692307692307696,0.02552136672237629,label_probe,69,clean,label
ckmer5_count_l2,nearest_centroid,160,2,512,0.7916666666666666,0.7883597883597884,target_background,69,clean,target_binary
ckmer5_count_l2,logistic,160,2,512,0.8333333333333334,0.8330434782608696,target_background,69,clean,target_binary
ckmer5_count_l2,mlp,160,2,512,0.5625,0.48121461657231085,target_background,69,clean,target_binary
ckmer7_count_l2,nearest_centroid,160,2,5284,0.75,0.7482517482517483,target_background,69,clean,target_binary
ckmer7_count_l2,logistic,160,2,5284,0.8125,0.8104431768319438,target_background,69,clean,target_binary
ckmer7_count_l2,mlp,160,2,5284,0.7083333333333334,0.7037037037037037,target_background,69,clean,target_binary
cspaced_count_l2,nearest_centroid,160,2,136,0.8541666666666666,0.8525669153137341,target_background,69,clean,target_binary
cspaced_count_l2,logistic,160,2,136,0.8125,0.8124185844550587,target_background,69,clean,target_binary
