length,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
50,ck4,CK4,136,2000,0.9965,0.9318450343278357,0.8133941128828777,0.29917638709813893,0.608248558254293,0.29195868706037675,0.9955
50,ck5,CK5,512,2000,0.997,0.8934024514656489,0.7171087882915776,0.3777895277327517,0.7483709466241592,0.48550269688404457,0.996
50,ck4p_msp,CK4P-MSP,222,2000,0.997,0.9776681765492795,0.9378018767386135,0.17390978346866354,0.3526984661333922,0.10031524727813326,0.9955
50,candidate_pkm_replace,PKM replace (222D),222,2000,0.997,0.9398070159204279,0.8289806070012858,0.28497621838056536,0.5848408074583811,0.25517216767258355,0.9955
50,candidate_cpkm_replace,CPKM replace (222D),222,2000,0.9975,0.9352573634777699,0.8126509604634385,0.2954180273065882,0.6121258681678686,0.3049398763153063,0.996
50,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.997,0.954823079223336,0.8725412008454287,0.24693814493272698,0.5048934068893333,0.19319966389065668,0.9955
50,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,0.9975,0.9514108398913427,0.8595886128148151,0.2559719179764772,0.5299271318610115,0.23046912730542707,0.996
50,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,0.9975,0.9383862293621751,0.8233330161316793,0.28793263224893995,0.5944189885321862,0.29081889458113747,0.996
60,ck4,CK4,136,2000,0.9995,0.9285252685749414,0.8256343875519155,0.3323199523994523,0.5890974508474183,0.2724591198848742,0.9995
60,ck5,CK5,512,2000,0.9995,0.8812310793567485,0.7208583056508316,0.4306919309750431,0.7464810581177752,0.4665725214221003,0.9995
60,ck4p_msp,CK4P-MSP,222,2000,1.0,0.9762161367668518,0.9417782453890938,0.19246525432675804,0.3412381948181144,0.0938614777575155,1.0
60,candidate_pkm_replace,PKM replace (222D),222,2000,0.9985,0.9355044075116894,0.8299359912980766,0.3140217053306192,0.5832049383473379,0.24428617791964638,0.9985
60,candidate_cpkm_replace,CPKM replace (222D),222,2000,1.0,0.9296951209547324,0.8233185413985639,0.3280975828777041,0.5944433621206643,0.29520209313093987,1.0
60,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.9985,0.9515568806769409,0.8722152324374937,0.27216364810420274,0.5055388189691826,0.18486087221975014,0.9985
60,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,1.0,0.9471999157592231,0.8673014225121032,0.28434258909205423,0.5151671116266697,0.2230260805147894,1.0
60,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,1.0,0.93327575508882,0.8244316752161639,0.31861779425189474,0.5925678391588587,0.28264930078225414,1.0
69,ck4,CK4,136,2000,0.9985,0.9233319410319021,0.8258128860057002,0.3551090433046204,0.5870391712100143,0.25137391968483147,0.998
69,ck5,CK5,512,2000,0.9985,0.8695548037032936,0.7120195713981308,0.4671979698928891,0.7550329705821008,0.44807194056237454,0.9985
69,ck4p_msp,CK4P-MSP,222,2000,0.999,0.9747422230457343,0.942139190756667,0.20603941560389055,0.340178798542784,0.08602515027831106,0.9985
69,candidate_pkm_replace,PKM replace (222D),222,2000,0.997,0.9269099816126125,0.826464906738428,0.3485105992748402,0.5891266142640136,0.22934681216290725,0.9965
69,candidate_cpkm_replace,CPKM replace (222D),222,2000,0.999,0.9213725323056183,0.8138080144539381,0.3614121328865732,0.6102327180765026,0.2795304990914184,0.9985
69,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.998,0.945137445833689,0.8696675459980066,0.30195992354256146,0.5105535207979218,0.1733661780852554,0.9975
69,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,0.999,0.9409843588534433,0.8601631331612498,0.31312254382330434,0.5288418785466972,0.21099044726180496,0.9985
69,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,0.999,0.9240521099222654,0.8205178247503611,0.35485479435360284,0.5991363326755469,0.2698196688466074,0.9985
75,ck4,CK4,136,2000,0.9985,0.921245948304178,0.8316158696416126,0.36638764700206267,0.5794324644652046,0.24233996889075285,0.998
75,ck5,CK5,512,2000,0.9985,0.8647363266186698,0.7217696260437751,0.48368600797089495,0.7453038884148622,0.43937719681587334,0.998
75,ck4p_msp,CK4P-MSP,222,2000,0.999,0.9739364997042851,0.943781949328506,0.21226418693563145,0.33531492299001414,0.08284122114046912,0.998
75,candidate_pkm_replace,PKM replace (222D),222,2000,0.997,0.9223598332115038,0.8264233111758983,0.36431800363871675,0.589197229867014,0.21868693291576408,0.996
75,candidate_cpkm_replace,CPKM replace (222D),222,2000,0.999,0.9157534416760794,0.8076484743555283,0.3793624377955746,0.6202443393981534,0.2707594027051189,0.998
75,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.997,0.9417067585742205,0.8696402246447058,0.31568132203681865,0.5106070412235314,0.1652548644850379,0.996
75,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,0.999,0.9367519649226522,0.8555993228434613,0.3287013295129515,0.5374024067338241,0.2043048512735856,0.998
75,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,0.9985,0.918405078974927,0.8166877820128124,0.373232339091796,0.6054951989269708,0.26123515244902906,0.9975
100,ck4,CK4,136,2000,0.994,0.8825558374314868,0.7968047688591706,0.46714921049463815,0.6358275026490965,0.17221560334381156,0.9935
100,ck5,CK5,512,2000,0.9965,0.7856740823547141,0.6462353620351939,0.6368350235076068,0.8389565457901423,0.33928360002396923,0.996
100,ck4p_msp,CK4P-MSP,222,2000,0.995,0.9612554012290127,0.9321585132781451,0.27142645082493977,0.36835169802649487,0.0589188119109631,0.994
100,candidate_pkm_replace,PKM replace (222D),222,2000,0.986,0.87780532573731,0.7721845571287147,0.48029275658542325,0.675004359731569,0.15868708262117737,0.985
100,candidate_cpkm_replace,CPKM replace (222D),222,2000,0.9975,0.8698095488231777,0.7614468314572223,0.4974465444449494,0.6907288258048544,0.2107373798488991,0.9965
100,candidate_pkm_augment,PKM augmentation screen (297D),297,2000,0.9865,0.9083292595775619,0.8293370452525288,0.4160288002625162,0.5842310284000408,0.11992419791522912,0.9855
100,candidate_cpkm_augment,CPKM augmentation screen (297D),297,2000,0.9975,0.9023324268919627,0.821673563618799,0.430875085212045,0.5972042132555464,0.1589559154841437,0.9965
100,candidate_dual_augment,PKM-CPKM upper screen (372D),372,2000,0.9975,0.871776108438212,0.7676417621993522,0.49343958903485036,0.6817011619444648,0.2054183043696452,0.9965
125,ck4,CK4,136,2000,0.9985,0.9970787262484959,0.98373343012619,0.033164339436464525,0.18036940773023638,0.24305927678333933,0.997
