representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
ck4,CK4,136,1,69,N_3pct,0.9040850723705931,0.9041666666666667,240,0.8868692695847793,1.0194118833251196
ck4,CK4,136,1,69,clean,0.9124620060790274,0.9125,240,0.8868692695847793,1.0288573946261892
ck4,CK4,136,1,69,substitution_1pct,0.8915461624026697,0.8916666666666667,240,0.8868692695847793,1.005273486158879
ck4,CK4,136,1,75,N_3pct,0.9083078632953598,0.9083333333333333,240,0.8868692695847793,1.0241733414899108
ck4,CK4,136,1,75,clean,0.9249791608780217,0.925,240,0.8868692695847793,1.0429712614927846
ck4,CK4,136,1,75,substitution_1pct,0.9166145507608923,0.9166666666666666,240,0.8868692695847793,1.0335396458037602
ck4,CK4,136,1,100,N_3pct,0.899972214504029,0.9,240,0.8868692695847793,1.0147743814884738
ck4,CK4,136,1,100,clean,0.8958170547481377,0.8958333333333334,240,0.8868692695847793,1.010089181653061
ck4,CK4,136,1,100,substitution_1pct,0.8874511506730351,0.8875,240,0.8868692695847793,1.000656106946324
ck4,CK4,136,2,69,N_3pct,0.8609916630100922,0.8625,240,0.8868692695847793,0.970821396724229
ck4,CK4,136,2,69,clean,0.8522973044258058,0.8541666666666666,240,0.8868692695847793,0.9610179692265584
ck4,CK4,136,2,69,substitution_1pct,0.8569023569023568,0.8583333333333333,240,0.8868692695847793,0.966210450953552
ck4,CK4,136,2,75,N_3pct,0.8735155646124657,0.875,240,0.8868692695847793,0.9849428710292717
ck4,CK4,136,2,75,clean,0.8645502645502645,0.8666666666666667,240,0.8868692695847793,0.9748339402435668
ck4,CK4,136,2,75,substitution_1pct,0.8776177665242391,0.8791666666666667,240,0.8868692695847793,0.9895683576172712
ck4,CK4,136,2,100,N_3pct,0.8732751337651365,0.875,240,0.8868692695847793,0.9846717703658766
ck4,CK4,136,2,100,clean,0.8855912004096118,0.8875,240,0.8868692695847793,0.9985588978905923
ck4,CK4,136,2,100,substitution_1pct,0.8897058823529411,0.8916666666666667,240,0.8868692695847793,1.003198456486704
ck4,CK4,136,3,69,N_3pct,0.849624060150376,0.85,240,0.8868692695847793,0.9580037208281655
ck4,CK4,136,3,69,clean,0.8537375285124759,0.8541666666666666,240,0.8868692695847793,0.9626419110363185
ck4,CK4,136,3,69,substitution_1pct,0.845508794516258,0.8458333333333333,240,0.8868692695847793,0.9533635040845584
ck4,CK4,136,3,75,N_3pct,0.8618066339795153,0.8625,240,0.8868692695847793,0.9717403269401836
ck4,CK4,136,3,75,clean,0.8700186935481053,0.8708333333333333,240,0.8868692695847793,0.9809999324426213
ck4,CK4,136,3,75,substitution_1pct,0.8744419642857143,0.875,240,0.8868692695847793,0.9859874440063942
ck4,CK4,136,3,100,N_3pct,0.8866320264525271,0.8875,240,0.8868692695847793,0.9997324936826786
ck4,CK4,136,3,100,clean,0.8866320264525271,0.8875,240,0.8868692695847793,0.9997324936826786
ck4,CK4,136,3,100,substitution_1pct,0.8825174825174825,0.8833333333333333,240,0.8868692695847793,0.9950930906994508
ck4,CK4,136,4,69,N_3pct,0.8916591429960414,0.8916666666666667,240,0.8868692695847793,1.0054008787715745
ck4,CK4,136,4,69,clean,0.8916365657126979,0.8916666666666667,240,0.8868692695847793,1.0053754214870367
ck4,CK4,136,4,69,substitution_1pct,0.8915989159891599,0.8916666666666667,240,0.8868692695847793,1.005332969093173
ck4,CK4,136,4,75,N_3pct,0.8749913188415862,0.875,240,0.8868692695847793,0.9866068752740139
