length,fold,representation,representation_label,n_features,macro_f1,accuracy
50,1,ck4,CK4,136,0.5811038541068875,0.5873015873015873
50,2,ck4,CK4,136,0.6673591545955585,0.6825396825396826
50,3,ck4,CK4,136,0.705105105105105,0.7037037037037037
50,4,ck4,CK4,136,0.7918902802623734,0.8148148148148148
50,5,ck4,CK4,136,0.40175899750367833,0.4444444444444444
50,1,ck5,CK5,512,0.6679042679042678,0.6666666666666666
50,2,ck5,CK5,512,0.6790432485050758,0.6825396825396826
50,3,ck5,CK5,512,0.701058201058201,0.7037037037037037
50,4,ck5,CK5,512,0.781643770015863,0.7962962962962963
50,5,ck5,CK5,512,0.5544467787114846,0.5555555555555556
50,1,ck4p_msp,CK4P-MSP,222,0.6054545454545455,0.6190476190476191
50,2,ck4p_msp,CK4P-MSP,222,0.6307519640852973,0.6507936507936508
50,3,ck4p_msp,CK4P-MSP,222,0.6611922927712401,0.6666666666666666
50,4,ck4p_msp,CK4P-MSP,222,0.7103377357884252,0.7592592592592593
50,5,ck4p_msp,CK4P-MSP,222,0.4318097361575622,0.46296296296296297
50,1,candidate_pkm_replace,PKM replace (222D),222,0.8736670736670736,0.873015873015873
50,2,candidate_pkm_replace,PKM replace (222D),222,0.8563235466241705,0.8571428571428571
50,3,candidate_pkm_replace,PKM replace (222D),222,0.7219308214587522,0.7222222222222222
50,4,candidate_pkm_replace,PKM replace (222D),222,0.8536340852130326,0.8518518518518519
50,5,candidate_pkm_replace,PKM replace (222D),222,0.7514227642276423,0.7592592592592593
50,1,candidate_cpkm_replace,CPKM replace (222D),222,0.8408628408628408,0.8412698412698413
50,2,candidate_cpkm_replace,CPKM replace (222D),222,0.8862026862026862,0.8888888888888888
50,3,candidate_cpkm_replace,CPKM replace (222D),222,0.7748325248325248,0.7777777777777778
50,4,candidate_cpkm_replace,CPKM replace (222D),222,0.8667040245987615,0.8703703703703703
50,5,candidate_cpkm_replace,CPKM replace (222D),222,0.8706942236354002,0.8703703703703703
50,1,candidate_pkm_augment,PKM augmentation screen (297D),297,0.8576513748138462,0.8571428571428571
50,2,candidate_pkm_augment,PKM augmentation screen (297D),297,0.8563235466241705,0.8571428571428571
50,3,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7219308214587522,0.7222222222222222
50,4,candidate_pkm_augment,PKM augmentation screen (297D),297,0.8536340852130326,0.8518518518518519
50,5,candidate_pkm_augment,PKM augmentation screen (297D),297,0.7514227642276423,0.7592592592592593
50,1,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8564588979223126,0.8571428571428571
50,2,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8862026862026862,0.8888888888888888
50,3,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.7748325248325248,0.7777777777777778
50,4,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8667040245987615,0.8703703703703703
50,5,candidate_cpkm_augment,CPKM augmentation screen (297D),297,0.8706942236354002,0.8703703703703703
50,1,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8907610907610907,0.8888888888888888
50,2,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8880875851947888,0.8888888888888888
50,3,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.7420951054227795,0.7407407407407407
50,4,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8347919347919349,0.8333333333333334
50,5,candidate_dual_augment,PKM-CPKM upper screen (372D),372,0.8315789473684211,0.8333333333333334
75,1,ck4,CK4,136,0.6782828282828284,0.6825396825396826
75,2,ck4,CK4,136,0.6055796055796056,0.6296296296296297
75,3,ck4,CK4,136,0.6983102918586791,0.7037037037037037
75,4,ck4,CK4,136,0.597951176983435,0.6111111111111112
75,5,ck4,CK4,136,0.48223938223938223,0.48148148148148145
75,1,ck5,CK5,512,0.7457431457431457,0.746031746031746
75,2,ck5,CK5,512,0.6536993326922517,0.6666666666666666
75,3,ck5,CK5,512,0.7558471933471934,0.7592592592592593
75,4,ck5,CK5,512,0.6855340188673522,0.7037037037037037
75,5,ck5,CK5,512,0.5225571098657017,0.5370370370370371
75,1,ck4p_msp,CK4P-MSP,222,0.6746634026927785,0.6825396825396826
75,2,ck4p_msp,CK4P-MSP,222,0.5912491682490222,0.6481481481481481
75,3,ck4p_msp,CK4P-MSP,222,0.6854636591478697,0.7037037037037037
75,4,ck4p_msp,CK4P-MSP,222,0.5302354113948317,0.5555555555555556
