length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,ck4,CK4,136,500,1.0,0.9750978247603223,0.9162446866017767,0.15736569140374446,0.4092805826229948,0.34107326100155205,1.0
69,N_3pct,ck4,CK4,136,500,1.0,0.9647480398958377,0.9497638951095937,0.26294983428683605,0.31697348837934947,0.3378895888094305,1.0
69,trim_5bp,ck4,CK4,136,500,0.998,0.9769066278162,0.9686003783127968,0.21365261401629618,0.25059772276834413,0.3443661455863626,0.998
69,substitution_1pct_N_3pct,ck4,CK4,136,500,1.0,0.9380181569590542,0.8634739327935241,0.33971158862615175,0.522543906661914,0.3139820233406726,1.0
69,local_mismatch_6bp,ck4,CK4,136,500,1.0,0.9191150659164337,0.8901980958456509,0.39925516974707725,0.4686188372057793,0.2942033984400943,1.0
69,short_indel,ck4,CK4,136,500,1.0,0.9822053360347202,0.9373991935483865,0.12951178708991432,0.3538362512662873,0.34718968059628796,1.0
69,substitution_1pct,ck5,CK5,512,500,1.0,0.9570024200258688,0.8587381474656208,0.20766900313275932,0.5315295566967122,0.5835834750575934,1.0
69,N_3pct,ck5,CK5,512,500,1.0,0.9393154922440555,0.9208712405526636,0.3456883643923375,0.3978155162596847,0.569336470587467,1.0
69,trim_5bp,ck5,CK5,512,500,0.998,0.967550476311821,0.9607689228305226,0.25376312370040816,0.2801109679019271,0.5929730953358899,0.998
69,substitution_1pct_N_3pct,ck5,CK5,512,500,1.0,0.8947872025373217,0.7782788923219528,0.44376020683228196,0.6659135931922098,0.5287841737235901,1.0
69,local_mismatch_6bp,ck5,CK5,512,500,1.0,0.8753475067809113,0.8429341089203997,0.49711682165708654,0.5604745999639535,0.5106286659091114,1.0
69,short_indel,ck5,CK5,512,500,1.0,0.9667479486201825,0.8846880937253263,0.17808074623989684,0.480233081481635,0.5910460444263492,1.0
69,substitution_1pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.991665763279321,0.9719629093941587,0.09107410804771586,0.23679986705522305,0.11584375628986127,1.0
69,N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9872618092105945,0.9822451171380131,0.15835301375693295,0.18844034030069307,0.11491391313188595,1.0
69,trim_5bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9918758781522645,0.9891524220310474,0.1267754688203105,0.14729275247657822,0.1166981653731136,1.0
69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9783124391042543,0.9533321236495804,0.20163062166096427,0.30550898799193643,0.10683732052780028,1.0
69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9727186160266333,0.9628810338039505,0.2319178985333816,0.2724663390514262,0.10002001922661226,1.0
69,short_indel,ck4p_msp,CK4P-MSP,222,500,1.0,0.9940286000598972,0.9789421060655642,0.07505912103400755,0.20522034199676464,0.11788066285873174,1.0
69,substitution_1pct,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9787113203006834,0.9255287956456433,0.14349001001154904,0.38593051620300517,0.30875303532054316,1.0
69,N_3pct,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9669669849941736,0.9382098053527465,0.2511396585598968,0.3515399719637779,0.301955317399804,1.0
69,trim_5bp,candidate_pkm_replace,PKM replace (222D),222,500,0.998,0.9365965037339342,0.8998144817540387,0.3516327069224724,0.44762668046339016,0.26972997517418595,0.998
69,substitution_1pct_N_3pct,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9420177821838572,0.8646891717736315,0.32627415177428826,0.5202130420640552,0.2773169804862229,1.0
69,local_mismatch_6bp,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9325610915027878,0.8700517822551389,0.35901688089977124,0.5098003377934823,0.26520516487815166,1.0
69,short_indel,candidate_pkm_replace,PKM replace (222D),222,500,1.0,0.9835264188443434,0.9373604267961171,0.12220222273233436,0.35394792302008227,0.3146244497303038,1.0
69,substitution_1pct,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9764120980683532,0.9149099148285671,0.15014751255086828,0.4125289916918223,0.35894676782651674,1.0
69,N_3pct,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.959859661995514,0.9174149106831462,0.27665552900401397,0.40641129114753904,0.34758789859905187,1.0
69,trim_5bp,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.936804029419807,0.8972772234757185,0.3503747791965912,0.4532609725853295,0.3221325533514986,1.0
69,substitution_1pct_N_3pct,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.933661329813523,0.8612758020391887,0.35071366080121485,0.5267334769140277,0.32029239230028234,1.0
69,local_mismatch_6bp,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9280319460353208,0.8601262430193927,0.3708791293009292,0.5289115353027676,0.31259672333038285,1.0
69,short_indel,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9819414818915675,0.9274153421059899,0.12672870151158597,0.38101088939516425,0.3637368591659911,1.0
69,substitution_1pct,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9840118500827043,0.9440993155334672,0.12436007128000125,0.334367065284036,0.23294162054379375,1.0
69,N_3pct,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9749791442591453,0.9534057683440549,0.2186842186241414,0.30526780347112586,0.22786701299962853,1.0
69,trim_5bp,candidate_pkm_augment,PKM augmentation screen (297D),297,500,0.998,0.9521456835219639,0.9245394604061153,0.3055280440656594,0.3884839442775927,0.20346855824994292,0.998
69,substitution_1pct_N_3pct,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9562427958219157,0.897958614075972,0.2835810946960031,0.45175520739855146,0.20935869861607578,1.0
69,local_mismatch_6bp,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.949212167346034,0.9021441443121732,0.31160678479004794,0.4423931626800422,0.20012707012431152,1.0
69,short_indel,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9876165136605835,0.9529442888116019,0.10597519344156556,0.3067758249680321,0.2373492336923149,1.0
69,substitution_1pct,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9822874334084568,0.9361501420822108,0.1301214818015183,0.35735096629419605,0.2705658037151475,1.0
69,N_3pct,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9696486520101505,0.9378283617443142,0.24067523303422295,0.35262340414978754,0.26209011756979717,1.0
69,trim_5bp,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9523013277863684,0.9223973260185581,0.3044551552818576,0.39396109898834336,0.2427711548281815,1.0
69,substitution_1pct_N_3pct,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.949975456544165,0.8958166966896581,0.30466895008380324,0.4564717013189201,0.24160571994434588,1.0
69,local_mismatch_6bp,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9458153082454336,0.8949691058162889,0.32184763523954396,0.45832467707292157,0.2356457808866591,1.0
69,short_indel,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9864278109460014,0.9454656612039869,0.10988986908210037,0.33025545980866083,0.2741575323266047,1.0
69,substitution_1pct,candidate_dual_augment,PKM-CPKM upper screen (372D),372,500,1.0,0.9780399688253363,0.9184149495046731,0.14452340646542633,0.40394004390330135,0.3466674176740548,1.0
69,N_3pct,candidate_dual_augment,PKM-CPKM upper screen (372D),372,500,1.0,0.96334515148908,0.9275036356158426,0.26349348647372656,0.38077897657676385,0.3355223117581174,1.0
69,trim_5bp,candidate_dual_augment,PKM-CPKM upper screen (372D),372,500,0.998,0.9284320821553074,0.8969038633378906,0.3749864373226035,0.4540839701401025,0.2981833578325952,0.998
69,substitution_1pct_N_3pct,candidate_dual_augment,PKM-CPKM upper screen (372D),372,500,1.0,0.9379871384303121,0.862347733294511,0.3376944094788541,0.5246945893708628,0.3106140164493585,1.0
69,local_mismatch_6bp,candidate_dual_augment,PKM-CPKM upper screen (372D),372,500,1.0,0.9323908108571941,0.8644855566668879,0.3574419677281163,0.5206035036408805,0.30276123770537106,1.0
69,short_indel,candidate_dual_augment,PKM-CPKM upper screen (372D),372,500,1.0,0.9828182996493295,0.9316163800659218,0.12336725218879499,0.3698204813188353,0.35224870732884,1.0
75,substitution_1pct,ck4,CK4,136,500,1.0,0.9778959993620537,0.927946403619752,0.14733721132920014,0.37961446805781374,0.3371431458735545,1.0
