length,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
50,ck4,CK4,136,500,0.994,0.9277851790149607,0.8059737250228919,0.3082042553606259,0.6176333574965976,0.3258527040625081,0.992
50,ck5,CK5,512,500,0.994,0.8887992939026514,0.7072522427344908,0.38727854923773647,0.7626163606073827,0.5225419422660751,0.992
50,ck4p_msp,CK4P-MSP,222,500,0.996,0.9769360889433285,0.9355742083366968,0.17968187429168053,0.35895880562954574,0.11149169787600556,0.992
50,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,0.996,0.97510160241398,0.9297796773512043,0.18717129182146713,0.37475397509304675,0.12612206710985727,0.992
50,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,0.994,0.9735325423447477,0.9378894519125474,0.17704959429138903,0.3508613029751591,0.11904201108383164,0.992
50,pseeiip,PseEIIP,64,500,0.994,0.9562595677637864,0.8795576988000365,0.23443588042803254,0.48579307658042137,0.20652129417270282,0.992
50,ncp_anf,NCP+ANF,200,500,0.996,0.9825671874712718,0.9540525573089939,0.157909921663134,0.30314167359900324,0.30146788433656174,0.992
60,ck4,CK4,136,500,1.0,0.9242324689878463,0.8182736937756361,0.3484536890021212,0.6028703112842778,0.3007884212153721,1.0
60,ck5,CK5,512,500,1.0,0.8749468235678505,0.7164455727297555,0.44910465483039697,0.7530662411643188,0.49691109386943616,1.0
60,ck4p_msp,CK4P-MSP,222,500,1.0,0.9746183608946656,0.9392549959944589,0.20170462596332378,0.348554162454113,0.10288313097817352,1.0
60,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9723580780303452,0.9342254611826739,0.21085572070896494,0.3626969314718108,0.11707079534148479,1.0
60,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,500,0.998,0.9763210850254939,0.9414023212159834,0.19373114431752186,0.34233804937289686,0.10378752945783137,0.998
60,pseeiip,PseEIIP,64,500,0.996,0.9565460147872579,0.8840662910115998,0.26138397798347407,0.4815261113804459,0.18805028638128155,0.996
60,ncp_anf,NCP+ANF,240,500,1.0,0.9794536412836993,0.953517862176788,0.18245865786840004,0.30490043554237806,0.3097188943074018,1.0
69,ck4,CK4,136,500,0.998,0.9234570073912163,0.8270107391468384,0.35180790155876374,0.587013929972727,0.28288783486128405,0.998
