representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
ck4,CK4,136,1,69,N_3pct,0.7678916827852997,0.775,80,0.8563229844447605,0.8967313697450272
ck4,CK4,136,1,69,clean,0.8177083333333333,0.825,80,0.8563229844447605,0.9549064408957036
ck4,CK4,136,1,69,substitution_1pct,0.8315789473684211,0.8375,80,0.8563229844447605,0.9711043174995665
ck4,CK4,136,1,75,N_3pct,0.7936814958091554,0.8,80,0.8563229844447605,0.9268482923225261
ck4,CK4,136,1,75,clean,0.7698209718670077,0.775,80,0.8563229844447605,0.8989843620350321
ck4,CK4,136,1,75,substitution_1pct,0.7936814958091554,0.8,80,0.8563229844447605,0.9268482923225261
ck4,CK4,136,1,100,N_3pct,0.7834050007963052,0.7875,80,0.8563229844447605,0.9148475692314444
ck4,CK4,136,1,100,clean,0.7834050007963052,0.7875,80,0.8563229844447605,0.9148475692314444
ck4,CK4,136,1,100,substitution_1pct,0.7714285714285715,0.775,80,0.8563229844447605,0.9008616905556558
ck4,CK4,136,2,69,N_3pct,0.8372711625723674,0.8375,80,0.8563229844447605,0.9777515934776102
ck4,CK4,136,2,69,clean,0.849906191369606,0.85,80,0.8563229844447605,0.992506573814184
ck4,CK4,136,2,69,substitution_1pct,0.8372711625723674,0.8375,80,0.8563229844447605,0.9777515934776102
ck4,CK4,136,2,75,N_3pct,0.85,0.85,80,0.8563229844447605,0.9926161220011391
ck4,CK4,136,2,75,clean,0.8624785122675418,0.8625,80,0.8563229844447605,1.0071883248897873
ck4,CK4,136,2,75,substitution_1pct,0.85,0.85,80,0.8563229844447605,0.9926161220011391
ck4,CK4,136,2,100,N_3pct,0.875,0.875,80,0.8563229844447605,1.0218107138247021
ck4,CK4,136,2,100,clean,0.887341574088562,0.8875,80,0.8563229844447605,1.0362230025437351
ck4,CK4,136,2,100,substitution_1pct,0.887341574088562,0.8875,80,0.8563229844447605,1.0362230025437351
ck4,CK4,136,3,69,N_3pct,0.8619607843137256,0.8625,80,0.8563229844447605,1.0065837306382948
ck4,CK4,136,3,69,clean,0.8742928975487115,0.875,80,0.8563229844447605,1.0209849711269898
ck4,CK4,136,3,69,substitution_1pct,0.8742928975487115,0.875,80,0.8563229844447605,1.0209849711269898
ck4,CK4,136,3,75,N_3pct,0.8491514770584538,0.85,80,0.8563229844447605,0.9916252307638844
ck4,CK4,136,3,75,clean,0.8607374584586169,0.8625,80,0.8563229844447605,1.0051551506780105
ck4,CK4,136,3,75,substitution_1pct,0.8607374584586169,0.8625,80,0.8563229844447605,1.0051551506780105
ck4,CK4,136,3,100,N_3pct,0.8614391434419777,0.8625,80,0.8563229844447605,1.005974566945128
ck4,CK4,136,3,100,clean,0.8484848484848485,0.85,80,0.8563229844447605,0.9908467527997111
ck4,CK4,136,3,100,substitution_1pct,0.8737373737373737,0.875,80,0.8563229844447605,1.0203362394901787
ck4,CK4,136,4,69,N_3pct,0.8881900768693222,0.9,80,0.8563229844447605,1.0372138702375533
ck4,CK4,136,4,69,clean,0.8730382648562864,0.8875,80,0.8563229844447605,1.019519831553236
ck4,CK4,136,4,69,substitution_1pct,0.8602375960866526,0.875,80,0.8563229844447605,1.0045714195613122
ck4,CK4,136,4,75,N_3pct,0.8575498575498576,0.875,80,0.8563229844447605,1.0014327223809045
ck4,CK4,136,4,75,clean,0.8881900768693222,0.9,80,0.8563229844447605,1.0372138702375533
ck4,CK4,136,4,75,substitution_1pct,0.8730382648562864,0.8875,80,0.8563229844447605,1.019519831553236
ck4,CK4,136,4,100,N_3pct,0.8753246753246753,0.8875,80,0.8563229844447605,1.0221898643678653
ck4,CK4,136,4,100,clean,0.8753246753246753,0.8875,80,0.8563229844447605,1.0221898643678653
ck4,CK4,136,4,100,substitution_1pct,0.8901098901098901,0.9,80,0.8563229844447605,1.0394557967949873
ck4,CK4,136,5,69,N_3pct,0.8999374609130707,0.9,80,0.8563229844447605,1.0509322735236282
ck4,CK4,136,5,69,clean,0.8999374609130707,0.9,80,0.8563229844447605,1.0509322735236282
ck4,CK4,136,5,69,substitution_1pct,0.8999374609130707,0.9,80,0.8563229844447605,1.0509322735236282
ck4,CK4,136,5,75,N_3pct,0.887341574088562,0.8875,80,0.8563229844447605,1.0362230025437351
ck4,CK4,136,5,75,clean,0.887341574088562,0.8875,80,0.8563229844447605,1.0362230025437351
ck4,CK4,136,5,75,substitution_1pct,0.887341574088562,0.8875,80,0.8563229844447605,1.0362230025437351
ck4,CK4,136,5,100,N_3pct,0.899749373433584,0.9,80,0.8563229844447605,1.0507126280359986
