length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
69,center,ck4,CK4,136,250,0.3895174210376605,0.3156722485798154,0.7874258415502042,0.0140532436668882,0.788
69,center,ck5,CK5,512,250,0.4983299745678193,0.40331164710926876,0.7158816866603698,0.016580264111100425,0.718
69,center,ck4p_msp,CK4P-MSP,222,250,0.22529572709555212,0.18308783037220677,0.7995514450535459,0.017555189579918723,0.8
69,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23267940257217876,0.18433698722285136,0.8913904633883278,0.027692025336746234,0.892
69,center,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.2005634064150106,0.16989078092573634,0.7129199479833053,0.02202763177124574,0.7140000000000001
69,center,pseeiip,PseEIIP,64,250,0.28802100968862715,0.24259157590607083,0.7367718240334,0.03042136342727477,0.738
69,center,ncp_anf,NCP+ANF,276,250,0.1923521026960277,0.19125842233930718,0.9939993999399942,0.004899469432509571,0.9940000000000001
69,jittered,ck4,CK4,136,250,0.3855079005635833,0.3197538303429176,0.7119231692682261,0.05503797346947691,0.7140000000000001
69,jittered,ck5,CK5,512,250,0.49370306143416703,0.4055911761897161,0.648441678073566,0.03764112418453423,0.654
69,jittered,ck4p_msp,CK4P-MSP,222,250,0.2229787478889802,0.1853811105304908,0.7013244241146198,0.043105901816144425,0.704
69,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23162997000128707,0.18794673573897305,0.8330703312591238,0.0260033231611808,0.834
69,jittered,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.20169421226162976,0.17181472910393822,0.6937326564834507,0.03066872559194481,0.696
69,jittered,pseeiip,PseEIIP,64,250,0.286390978166971,0.24396268667105328,0.6802363313054384,0.029174904574201015,0.682
69,jittered,ncp_anf,NCP+ANF,276,250,0.19177018455391237,0.19078719665687438,0.9038098715861086,0.027430987312881728,0.9039999999999999
69,left,ck4,CK4,136,250,0.388581658341953,0.3173364717719479,0.7562000261000341,0.014342816983384257,0.758
69,left,ck5,CK5,512,250,0.4988432811764359,0.4051835562759423,0.6754553236309343,0.034702998902832904,0.6779999999999999
69,left,ck4p_msp,CK4P-MSP,222,250,0.2247745739427872,0.18398809474649053,0.7642976189567331,0.023918791645534995,0.766
69,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23247440008182524,0.18781420324759107,0.8251472071499688,0.015461161388567497,0.826
69,left,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,250,0.19962182152711325,0.16869015895426973,0.69685826861923,0.025715914505540744,0.698
69,left,pseeiip,PseEIIP,64,250,0.28648936756612986,0.2392664800376957,0.6945719764618369,0.017689443902110257,0.6960000000000001
69,left,ncp_anf,NCP+ANF,276,250,0.1915837982012693,0.1918361511428174,0.993994595135622,0.012010809728755855,0.994
69,right,ck4,CK4,136,250,0.3829396100743716,0.31796278039808784,0.7626566396788077,0.03178007001791017,0.764
69,right,ck5,CK5,512,250,0.49500455851233743,0.4055212989329691,0.7050093747254312,0.009652632001498398,0.708
69,right,ck4p_msp,CK4P-MSP,222,250,0.2215141166591312,0.18434763199627965,0.7687081258375056,0.028127813402582278,0.77
69,right,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.22954012727092019,0.18824427410562547,0.828352514921253,0.032223350189482254,0.8300000000000001
