length,fold,representation,representation_label,n_features,macro_f1,accuracy
50,1,ck4,CK4,136,0.5811038541068875,0.5873015873015873
50,2,ck4,CK4,136,0.6673591545955585,0.6825396825396826
50,3,ck4,CK4,136,0.705105105105105,0.7037037037037037
50,4,ck4,CK4,136,0.7918902802623734,0.8148148148148148
50,5,ck4,CK4,136,0.40175899750367833,0.4444444444444444
50,1,ck5,CK5,512,0.6679042679042678,0.6666666666666666
50,2,ck5,CK5,512,0.6790432485050758,0.6825396825396826
50,3,ck5,CK5,512,0.701058201058201,0.7037037037037037
50,4,ck5,CK5,512,0.781643770015863,0.7962962962962963
50,5,ck5,CK5,512,0.5544467787114846,0.5555555555555556
50,1,ck4p_msp,CK4P-MSP,222,0.6054545454545455,0.6190476190476191
50,2,ck4p_msp,CK4P-MSP,222,0.6307519640852973,0.6507936507936508
50,3,ck4p_msp,CK4P-MSP,222,0.6611922927712401,0.6666666666666666
50,4,ck4p_msp,CK4P-MSP,222,0.7103377357884252,0.7592592592592593
50,5,ck4p_msp,CK4P-MSP,222,0.4318097361575622,0.46296296296296297
50,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7782945736434108,0.7777777777777778
50,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.724878724878725,0.7301587301587301
50,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7789473684210527,0.7777777777777778
50,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.8293188293188294,0.8333333333333334
50,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5266034327009936,0.5370370370370371
50,1,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6194964194964195,0.6190476190476191
50,2,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.5450924555868859,0.5555555555555556
50,3,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6251931075460487,0.6296296296296297
50,4,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.6647286821705426,0.7037037037037037
50,5,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,0.45182196135974567,0.46296296296296297
50,1,pseeiip,PseEIIP,64,0.6203328834907782,0.6190476190476191
50,2,pseeiip,PseEIIP,64,0.5450924555868859,0.5555555555555556
50,3,pseeiip,PseEIIP,64,0.6480938416422287,0.6481481481481481
50,4,pseeiip,PseEIIP,64,0.7064201947922878,0.7407407407407407
50,5,pseeiip,PseEIIP,64,0.43098862802641236,0.4444444444444444
50,1,ncp_anf,NCP+ANF,200,0.8403980966910028,0.8412698412698413
50,2,ncp_anf,NCP+ANF,200,0.9523088023088023,0.9523809523809523
50,3,ncp_anf,NCP+ANF,200,0.6865611741772732,0.6851851851851852
50,4,ncp_anf,NCP+ANF,200,0.9814671814671815,0.9814814814814815
50,5,ncp_anf,NCP+ANF,200,0.7921296296296297,0.7962962962962963
75,1,ck4,CK4,136,0.6782828282828284,0.6825396825396826
75,2,ck4,CK4,136,0.6055796055796056,0.6296296296296297
75,3,ck4,CK4,136,0.6983102918586791,0.7037037037037037
75,4,ck4,CK4,136,0.597951176983435,0.6111111111111112
75,5,ck4,CK4,136,0.48223938223938223,0.48148148148148145
75,1,ck5,CK5,512,0.7457431457431457,0.746031746031746
75,2,ck5,CK5,512,0.6536993326922517,0.6666666666666666
75,3,ck5,CK5,512,0.7558471933471934,0.7592592592592593
75,4,ck5,CK5,512,0.6855340188673522,0.7037037037037037
75,5,ck5,CK5,512,0.5225571098657017,0.5370370370370371
75,1,ck4p_msp,CK4P-MSP,222,0.6746634026927785,0.6825396825396826
75,2,ck4p_msp,CK4P-MSP,222,0.5912491682490222,0.6481481481481481
75,3,ck4p_msp,CK4P-MSP,222,0.6854636591478697,0.7037037037037037
75,4,ck4p_msp,CK4P-MSP,222,0.5302354113948317,0.5555555555555556
75,5,ck4p_msp,CK4P-MSP,222,0.4838570628044312,0.48148148148148145
75,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7602931511042685,0.7619047619047619
75,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.6756843800322061,0.7037037037037037
75,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7977262977262978,0.7962962962962963
75,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7171071520316726,0.7407407407407407
