length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,ck4,CK4,136,200,1.0,0.973488758787671,0.9158761399505523,0.16944116860345468,0.41017974081432984,0.36462196036213884,1.0
69,N_3pct,ck4,CK4,136,200,1.0,0.9648021120364451,0.9515069512847135,0.26277415889033956,0.31142562147431857,0.3629277689702304,1.0
69,trim_5bp,ck4,CK4,136,200,1.0,0.9769450440717101,0.969077486503055,0.21331292676583377,0.24868566941077808,0.3710397909202409,1.0
69,substitution_1pct_N_3pct,ck4,CK4,136,200,1.0,0.9383940604208578,0.8603419929836733,0.33735280506111875,0.52850136903083,0.3389510020595321,1.0
69,local_mismatch_6bp,ck4,CK4,136,200,1.0,0.9195772234726016,0.8903232704668287,0.3983818374677783,0.46835133013174274,0.3220397380854794,1.0
69,short_indel,ck4,CK4,136,200,1.0,0.9832806560003757,0.9327061186676717,0.11806003536503777,0.36685045400612964,0.37185811615836867,1.0
69,substitution_1pct,ck5,CK5,512,200,1.0,0.9540881735082192,0.8585946546077432,0.22286947881975883,0.531797751636741,0.6037518599772526,1.0
69,N_3pct,ck5,CK5,512,200,1.0,0.9389724362002232,0.919836756435102,0.34654872825139876,0.40040777296896657,0.5934719628400426,1.0
69,trim_5bp,ck5,CK5,512,200,1.0,0.9679249631519328,0.9615864155843564,0.2524301850493918,0.2771763257595723,0.6167756290051315,1.0
69,substitution_1pct_N_3pct,ck5,CK5,512,200,1.0,0.8965015357258694,0.7800331894501301,0.4386102362557326,0.6632726209458462,0.5531637146492139,1.0
69,local_mismatch_6bp,ck5,CK5,512,200,1.0,0.874908243894467,0.8456853909470016,0.49831527696295225,0.555544061975528,0.5352217163477263,1.0
69,short_indel,ck5,CK5,512,200,1.0,0.9688167797909776,0.8784163603671497,0.16212104351882067,0.49311980323707055,0.617429557608189,1.0
69,substitution_1pct,ck4p_msp,CK4P-MSP,222,200,1.0,0.9911279525431793,0.9718767995594422,0.09802611430840155,0.2371629708449072,0.12378603646777844,1.0
69,N_3pct,ck4p_msp,CK4P-MSP,222,200,1.0,0.9872752606030667,0.9826460380163607,0.15827130818997004,0.1863006049839911,0.12332773706380742,1.0
69,trim_5bp,ck4p_msp,CK4P-MSP,222,200,1.0,0.9918744341384641,0.9890472230127012,0.12669342120802912,0.14800514782578766,0.12567686337336303,1.0
69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,200,1.0,0.9784289888127935,0.9521433002981915,0.2004017545394624,0.3093746907172033,0.1152177568044786,1.0
69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,200,1.0,0.9728697851725535,0.9626858829870463,0.23141621111335464,0.27318168555220906,0.10926122332663618,1.0
69,short_indel,ck4p_msp,CK4P-MSP,222,200,1.0,0.9943906176527719,0.9774024082720352,0.06840925999097922,0.21258577330370826,0.1262437857623209,1.0
69,substitution_1pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,200,1.0,0.9905161294569257,0.9706919280933564,0.10151448698483882,0.2421074549838335,0.13962460923162928,1.0
69,N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,200,1.0,0.9862240426477268,0.9815833283386466,0.16480473194099113,0.1919190512544947,0.13868738734441247,1.0
69,trim_5bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,200,1.0,0.9886294070707189,0.9846102750584815,0.1499829202258189,0.1754400232827072,0.13904855916699493,1.0
69,substitution_1pct_N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,200,1.0,0.9766885322802533,0.9501302327926366,0.20855845457077934,0.3158155119678472,0.13019654091759247,1.0
69,local_mismatch_6bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,200,1.0,0.9709211582743729,0.9607897220671422,0.23965364351301136,0.2800364725004298,0.12359077798391559,1.0
69,short_indel,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,200,1.0,0.9939200442821969,0.9757671253958351,0.07122789293032719,0.22014904762971751,0.1426082759034392,1.0
69,substitution_1pct,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,200,1.0,0.9925936266480448,0.9774054401729854,0.08961218079317222,0.21257732240617008,0.12101231577992337,1.0
69,N_3pct,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,200,1.0,0.9898574050691409,0.9852898828285364,0.14128166154446717,0.17152289800764173,0.11571844873070507,1.0
69,trim_5bp,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,200,1.0,0.991535215259415,0.98737917912128,0.12905352184272767,0.15887602016061106,0.12324469957755099,1.0
69,substitution_1pct_N_3pct,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,200,1.0,0.9827514247446046,0.9648954851120009,0.17908686550524366,0.26496965495058833,0.11042158465098975,1.0
69,local_mismatch_6bp,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,200,1.0,0.9730218248264646,0.9579746125072859,0.2299764546292559,0.28991509963027234,0.1022652639063643,1.0
69,short_indel,pseknc_k3_l3,"PseKNC (k=3, lambda=3)",67,200,1.0,0.9960181112496518,0.9858999098423027,0.05766805810004487,0.1679290921960627,0.1239132282553115,1.0
69,substitution_1pct,pseeiip,PseEIIP,64,200,1.0,0.9856698990724284,0.955998330753626,0.12414607640232102,0.2966452186071952,0.2302330695406564,1.0
69,N_3pct,pseeiip,PseEIIP,64,200,1.0,0.9811876939522284,0.9669915552135433,0.19139745875785522,0.2569374754060608,0.23053912348676653,1.0
69,trim_5bp,pseeiip,PseEIIP,64,200,1.0,0.9840371624996294,0.9746362938621321,0.17644592257448286,0.22522668275885044,0.23093002687857403,1.0
69,substitution_1pct_N_3pct,pseeiip,PseEIIP,64,200,1.0,0.9679076355306762,0.935029763182524,0.24334328228304586,0.36047245011238743,0.21919376227302942,1.0
69,local_mismatch_6bp,pseeiip,PseEIIP,64,200,1.0,0.948792926143718,0.9213123069544953,0.31618946164788686,0.39670560584580167,0.19740808010914296,1.0
69,short_indel,pseeiip,PseEIIP,64,200,1.0,0.9924577610837925,0.9679852525707534,0.07876944853709748,0.25303948895303774,0.23487630383527283,1.0
69,substitution_1pct,ncp_anf,NCP+ANF,288,200,1.0,0.9930004805364537,0.9796481690678389,0.08777343144321093,0.20175096917405877,0.35408229716877704,1.0
69,N_3pct,ncp_anf,NCP+ANF,288,200,1.0,0.9852979069493909,0.9750340936922905,0.16866283852450703,0.22345383121940188,0.35272856779451245,1.0
69,trim_5bp,ncp_anf,NCP+ANF,288,200,1.0,0.964658727490658,0.9500732296830916,0.2639475057146954,0.3159956327156657,0.3435697742411095,1.0
69,substitution_1pct_N_3pct,ncp_anf,NCP+ANF,288,200,1.0,0.9785224879389182,0.959843468335097,0.2022462152909755,0.2833955809621865,0.34808797851753676,1.0
69,local_mismatch_6bp,ncp_anf,NCP+ANF,288,200,1.0,0.9442950369697971,0.934780897673778,0.3333692171759277,0.36116153590457495,0.30609985379606247,1.0
69,short_indel,ncp_anf,NCP+ANF,288,200,0.905,0.8933027448355986,0.5766596849625567,0.29305807098090414,0.9201506125919859,0.2582113367676404,0.905
75,substitution_1pct,ck4,CK4,136,200,1.0,0.976364442100882,0.9270052143289572,0.15704214139936812,0.38207401404694985,0.3495672028285696,1.0
75,N_3pct,ck4,CK4,136,200,1.0,0.9705104409715638,0.9561515174025562,0.24024442319940928,0.2961363762694378,0.3524256379487785,1.0
75,trim_5bp,ck4,CK4,136,200,1.0,0.980588259298561,0.9723849296120697,0.19533225900696796,0.23501051085747357,0.3566134060664332,1.0
