length,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
50,ck4p_msp,CK4P-MSP,222,2000,0.9965,0.9776591284890803,0.9383699330898774,0.17504602262719998,0.35108422437168113,0.09999827879469683,0.9955
50,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.9965,0.975671390776996,0.933813252664711,0.18321362857190257,0.3638316771443033,0.11467545846976097,0.9955
50,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.9965,0.9754494898839475,0.9328598446008189,0.18423100646429247,0.3664427760818756,0.11499080040718723,0.9955
60,ck4p_msp,CK4P-MSP,222,2000,0.999,0.9750144822217535,0.9409789177084324,0.19950199985319306,0.3435725850851252,0.09183824625480527,0.998
60,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.999,0.9728569059393654,0.9361988462474893,0.2082721238494221,0.3572146504012693,0.1064291533669997,0.998
60,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.999,0.9724766705827359,0.9354137243645946,0.20991319334614855,0.3594058124389505,0.10677444284323778,0.998
69,ck4p_msp,CK4P-MSP,222,2000,0.998,0.9751369018441797,0.942435946619416,0.20419540982016285,0.3393053296825625,0.08738596318572336,0.9975
69,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.998,0.9727115742354265,0.9377103683045971,0.21439068051500212,0.35295781482585037,0.10166806922573053,0.9975
69,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.9985,0.9723855398859548,0.9367273929307269,0.21575392983370625,0.35573193889879207,0.1021292483242693,0.998
75,ck4p_msp,CK4P-MSP,222,2000,0.997,0.9739672789011506,0.9426259710622619,0.21238990315123596,0.33874480875207874,0.0820206986272523,0.9955
75,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.997,0.9713429334048725,0.93796474507754,0.2233661405195494,0.35223643163971324,0.0961408811406122,0.9955
75,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.997,0.9709041888079415,0.9372494667724689,0.2251698384240121,0.35426129684789825,0.09659155562575361,0.9955
100,ck4p_msp,CK4P-MSP,222,2000,0.9945,0.9608915190776722,0.9314033943780269,0.2726555708556566,0.3703960159956019,0.058910850317502296,0.9935
100,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.996,0.9564964663554278,0.9249022534469401,0.2879961419705347,0.3875506273419269,0.07109789179124462,0.995
100,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.997,0.9560986230513081,0.9245668535179349,0.28957859155368515,0.3884151038635357,0.07172605451030438,0.996
125,ck4p_msp,CK4P-MSP,222,2000,0.999,0.9990356443657283,0.9945321641649668,0.01879917701264901,0.1045737602102353,0.08210063662202052,0.998
125,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.999,0.9988892547469532,0.993819402503831,0.020186504210296545,0.111180910568458,0.09885313811822051,0.998
125,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.999,0.9988641654836654,0.993692166625916,0.020449238210147918,0.11231948157739356,0.09980366146150554,0.998
150,ck4p_msp,CK4P-MSP,222,2000,0.9995,0.9989088641936118,0.9955199272474666,0.02423283567762952,0.09465804157574828,0.07430553325205606,0.999
150,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.9995,0.9987431085880951,0.9945386008922376,0.026056699182055904,0.10451217318482536,0.09092475413046963,0.999
150,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.9995,0.9987135527197952,0.9945672959317226,0.026369506632345715,0.10423726844392044,0.09210302790192196,0.999
