representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
ck4p_msp,CK4P-MSP,222,1,69,N_3pct,0.8828125,0.8833333333333333,240,0.8782948330019552,1.0051436793526425
ck4p_msp,CK4P-MSP,222,1,69,clean,0.8785573450123012,0.8791666666666667,240,0.8782948330019552,1.000298888255381
ck4p_msp,CK4P-MSP,222,1,69,substitution_1pct,0.8785573450123012,0.8791666666666667,240,0.8782948330019552,1.000298888255381
ck4p_msp,CK4P-MSP,222,1,75,N_3pct,0.8870588235294118,0.8875,240,0.8782948330019552,1.0099784152179307
ck4p_msp,CK4P-MSP,222,1,75,clean,0.8866320264525271,0.8875,240,0.8782948330019552,1.0094924769420264
ck4p_msp,CK4P-MSP,222,1,75,substitution_1pct,0.8826733710454641,0.8833333333333333,240,0.8782948330019552,1.0049852713223226
ck4p_msp,CK4P-MSP,222,1,100,N_3pct,0.8866320264525271,0.8875,240,0.8782948330019552,1.0094924769420264
ck4p_msp,CK4P-MSP,222,1,100,clean,0.8821548821548821,0.8833333333333333,240,0.8782948330019552,1.004394935513549
ck4p_msp,CK4P-MSP,222,1,100,substitution_1pct,0.8737373737373737,0.875,240,0.8782948330019552,0.9948110143731526
ck4p_msp,CK4P-MSP,222,2,69,N_3pct,0.8618066339795153,0.8625,240,0.8782948330019552,0.9812270340176267
ck4p_msp,CK4P-MSP,222,2,69,clean,0.8653198653198653,0.8666666666666667,240,0.8782948330019552,0.985227093232756
ck4p_msp,CK4P-MSP,222,2,69,substitution_1pct,0.8612254910550017,0.8625,240,0.8782948330019552,0.980565362215998
ck4p_msp,CK4P-MSP,222,2,75,N_3pct,0.8618066339795153,0.8625,240,0.8782948330019552,0.9812270340176267
ck4p_msp,CK4P-MSP,222,2,75,clean,0.8530415157717944,0.8541666666666666,240,0.8782948330019552,0.9712473348569676
ck4p_msp,CK4P-MSP,222,2,75,substitution_1pct,0.8571328524406472,0.8583333333333333,240,0.8782948330019552,0.9759056073585476
ck4p_msp,CK4P-MSP,222,2,100,N_3pct,0.8609916630100922,0.8625,240,0.8782948330019552,0.9802991326583104
ck4p_msp,CK4P-MSP,222,2,100,clean,0.8482186775349589,0.85,240,0.8782948330019552,0.9657561967384029
ck4p_msp,CK4P-MSP,222,2,100,substitution_1pct,0.8566509732274612,0.8583333333333333,240,0.8782948330019552,0.975356954223997
ck4p_msp,CK4P-MSP,222,3,69,N_3pct,0.8579782790309106,0.8583333333333333,240,0.8782948330019552,0.9768681845689517
ck4p_msp,CK4P-MSP,222,3,69,clean,0.8788110950531942,0.8791666666666667,240,0.8782948330019552,1.0005878003966782
ck4p_msp,CK4P-MSP,222,3,69,substitution_1pct,0.87468671679198,0.875,240,0.8782948330019552,0.9958919077348515
ck4p_msp,CK4P-MSP,222,3,75,N_3pct,0.8622105464604464,0.8625,240,0.8782948330019552,0.9816869165829727
ck4p_msp,CK4P-MSP,222,3,75,clean,0.8829349871089123,0.8833333333333333,240,0.8782948330019552,1.0052831394795951
ck4p_msp,CK4P-MSP,222,3,75,substitution_1pct,0.8786928104575162,0.8791666666666667,240,0.8782948330019552,1.0004531251245106
ck4p_msp,CK4P-MSP,222,3,100,N_3pct,0.8826733710454641,0.8833333333333333,240,0.8782948330019552,1.0049852713223226
ck4p_msp,CK4P-MSP,222,3,100,clean,0.8786928104575162,0.8791666666666667,240,0.8782948330019552,1.0004531251245106
ck4p_msp,CK4P-MSP,222,3,100,substitution_1pct,0.8785573450123012,0.8791666666666667,240,0.8782948330019552,1.000298888255381
ck4p_msp,CK4P-MSP,222,4,69,N_3pct,0.8915461624026697,0.8916666666666667,240,0.8782948330019552,1.0150875638826455
ck4p_msp,CK4P-MSP,222,4,69,clean,0.8998260869565218,0.9,240,0.8782948330019552,1.0245148361865846
ck4p_msp,CK4P-MSP,222,4,69,substitution_1pct,0.895614050348823,0.8958333333333334,240,0.8782948330019552,1.0197191383759732
ck4p_msp,CK4P-MSP,222,4,75,N_3pct,0.8996585603790677,0.9,240,0.8782948330019552,1.0243240954795243
ck4p_msp,CK4P-MSP,222,4,75,clean,0.899888765294772,0.9,240,0.8782948330019552,1.0245861998516035
ck4p_msp,CK4P-MSP,222,4,75,substitution_1pct,0.8914782608695653,0.8916666666666667,240,0.8782948330019552,1.0150102532455416
ck4p_msp,CK4P-MSP,222,4,100,N_3pct,0.8957446438810794,0.8958333333333334,240,0.8782948330019552,1.0198678282319866
ck4p_msp,CK4P-MSP,222,4,100,clean,0.8916591429960414,0.8916666666666667,240,0.8782948330019552,1.0152162001778011
ck4p_msp,CK4P-MSP,222,4,100,substitution_1pct,0.9124620060790274,0.9125,240,0.8782948330019552,1.0389017124924793
ck4p_msp,CK4P-MSP,222,5,69,N_3pct,0.8828125,0.8833333333333333,240,0.8782948330019552,1.0051436793526425
ck4p_msp,CK4P-MSP,222,5,69,clean,0.8825174825174825,0.8833333333333333,240,0.8782948330019552,1.0048077813472893
ck4p_msp,CK4P-MSP,222,5,69,substitution_1pct,0.8700186935481053,0.8708333333333333,240,0.8782948330019552,0.9905770372967326
ck4p_msp,CK4P-MSP,222,5,75,N_3pct,0.8742928975487115,0.875,240,0.8782948330019552,0.9954435170254101
ck4p_msp,CK4P-MSP,222,5,75,clean,0.8905723905723906,0.8916666666666667,240,0.8782948330019552,1.0139788566539456
ck4p_msp,CK4P-MSP,222,5,75,substitution_1pct,0.8741258741258742,0.875,240,0.8782948330019552,0.9952533491950171
ck4p_msp,CK4P-MSP,222,5,100,N_3pct,0.8867904750257691,0.8875,240,0.8782948330019552,1.0096728817073606
ck4p_msp,CK4P-MSP,222,5,100,clean,0.8907486518663772,0.8916666666666667,240,0.8782948330019552,1.0141795424457363
ck4p_msp,CK4P-MSP,222,5,100,substitution_1pct,0.8823447020099446,0.8833333333333333,240,0.8782948330019552,1.004611058673939
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,N_3pct,0.8869327005286943,0.8875,240,0.8774379809391654,1.010820958057191
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,clean,0.8784045842869372,0.8791666666666667,240,0.8774379809391654,1.0011016201358611
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,69,substitution_1pct,0.8742928975487115,0.875,240,0.8774379809391654,0.9964156060499142
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,N_3pct,0.8828125,0.8833333333333333,240,0.8774379809391654,1.006125240960144
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,clean,0.8823447020099446,0.8833333333333333,240,0.8774379809391654,1.0055921001567854
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,75,substitution_1pct,0.8867904750257691,0.8875,240,0.8774379809391654,1.010658866255816
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,100,N_3pct,0.8825174825174825,0.8833333333333333,240,0.8774379809391654,1.0057890149374207
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,100,clean,0.8821548821548821,0.8833333333333333,240,0.8774379809391654,1.0053757659437856
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,1,100,substitution_1pct,0.8778411584028083,0.8791666666666667,240,0.8774379809391654,1.000459493972681
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,69,N_3pct,0.8618066339795153,0.8625,240,0.8774379809391654,0.9821852400976316
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,69,clean,0.8569023569023568,0.8583333333333333,240,0.8774379809391654,0.9765959253156238
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,69,substitution_1pct,0.8571328524406472,0.8583333333333333,240,0.8774379809391654,0.9768586168599807
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,75,N_3pct,0.8660714285714286,0.8666666666666667,240,0.8774379809391654,0.9870457484008492
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,75,clean,0.8571328524406472,0.8583333333333333,240,0.8774379809391654,0.9768586168599807
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,75,substitution_1pct,0.8612254910550017,0.8625,240,0.8774379809391654,0.9815229221479441
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,100,N_3pct,0.8609916630100922,0.8625,240,0.8774379809391654,0.9812564326068153
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,100,clean,0.8482186775349589,0.85,240,0.8774379809391654,0.9666992949485369
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2,100,substitution_1pct,0.8566509732274612,0.8583333333333333,240,0.8774379809391654,0.9763094279444631
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,69,N_3pct,0.8579782790309106,0.8583333333333333,240,0.8774379809391654,0.9778221340641922
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,69,clean,0.8745732004738346,0.875,240,0.8774379809391654,0.9967350621610152
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,69,substitution_1pct,0.8745732004738346,0.875,240,0.8774379809391654,0.9967350621610152
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,75,N_3pct,0.8622105464604464,0.8625,240,0.8774379809391654,0.9826455717560569
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,75,clean,0.8786928104575162,0.8791666666666667,240,0.8774379809391654,1.0014301062247246
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,75,substitution_1pct,0.8786928104575162,0.8791666666666667,240,0.8774379809391654,1.0014301062247246
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,100,N_3pct,0.8826733710454641,0.8833333333333333,240,0.8774379809391654,1.005966678238267
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,100,clean,0.8828125,0.8833333333333333,240,0.8774379809391654,1.006125240960144
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,3,100,substitution_1pct,0.8785573450123012,0.8791666666666667,240,0.8774379809391654,1.0012757187373378
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,69,N_3pct,0.8915461624026697,0.8916666666666667,240,0.8774379809391654,1.0160788360772846
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,69,clean,0.8914782608695653,0.8916666666666667,240,0.8774379809391654,1.016001449943359
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,69,substitution_1pct,0.8872631743767289,0.8875,240,0.8774379809391654,1.011197593050448
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,75,N_3pct,0.8914782608695653,0.8916666666666667,240,0.8774379809391654,1.016001449943359
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,75,clean,0.9040850723705931,0.9041666666666667,240,0.8774379809391654,1.0303692021661817
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,75,substitution_1pct,0.8914782608695653,0.8916666666666667,240,0.8774379809391654,1.016001449943359
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,100,N_3pct,0.8915989159891599,0.8916666666666667,240,0.8774379809391654,1.0161389583738298
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,100,clean,0.8916591429960414,0.8916666666666667,240,0.8774379809391654,1.0162075979907486
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,4,100,substitution_1pct,0.9124620060790274,0.9125,240,0.8774379809391654,1.0399162401226056
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,69,N_3pct,0.8910538445422167,0.8916666666666667,240,0.8774379809391654,1.01551775042662
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,69,clean,0.8825174825174825,0.8833333333333333,240,0.8774379809391654,1.0057890149374207
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,69,substitution_1pct,0.8659124240519589,0.8666666666666667,240,0.8774379809391654,0.9868645338615613
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,75,N_3pct,0.8784045842869372,0.8791666666666667,240,0.8774379809391654,1.0011016201358611
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,75,clean,0.8905723905723906,0.8916666666666667,240,0.8774379809391654,1.0149690461531728
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,75,substitution_1pct,0.878234398782344,0.8791666666666667,240,0.8774379809391654,1.0009076628325642
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,100,N_3pct,0.8784045842869372,0.8791666666666667,240,0.8774379809391654,1.0011016201358611
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,100,clean,0.8823447020099446,0.8833333333333333,240,0.8774379809391654,1.0055921001567854
ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,5,100,substitution_1pct,0.8823447020099446,0.8833333333333333,240,0.8774379809391654,1.0055921001567854
cpkm_weight_w025,CPKM weight=0.25,297,1,69,N_3pct,0.8828125,0.8833333333333333,240,0.8791553005617972,1.0041599014825546
cpkm_weight_w025,CPKM weight=0.25,297,1,69,clean,0.8742928975487115,0.875,240,0.8791553005617972,0.9944692331264129
cpkm_weight_w025,CPKM weight=0.25,297,1,69,substitution_1pct,0.8701819894959083,0.8708333333333333,240,0.8791553005617972,0.9897932583012867
cpkm_weight_w025,CPKM weight=0.25,297,1,75,N_3pct,0.8829349871089123,0.8833333333333333,240,0.8791553005617972,1.0042992251138105
cpkm_weight_w025,CPKM weight=0.25,297,1,75,clean,0.8866320264525271,0.8875,240,0.8791553005617972,1.0085044427144465
