length,fold,representation,representation_label,n_features,macro_f1,accuracy
50,1,ck4p_msp,CK4P-MSP,222,0.6054545454545455,0.6190476190476191
50,2,ck4p_msp,CK4P-MSP,222,0.6307519640852973,0.6507936507936508
50,3,ck4p_msp,CK4P-MSP,222,0.6611922927712401,0.6666666666666666
50,4,ck4p_msp,CK4P-MSP,222,0.7103377357884252,0.7592592592592593
50,5,ck4p_msp,CK4P-MSP,222,0.4318097361575622,0.46296296296296297
50,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7782945736434108,0.7777777777777778
50,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.724878724878725,0.7301587301587301
50,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7789473684210527,0.7777777777777778
50,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.8293188293188294,0.8333333333333334
50,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5266034327009936,0.5370370370370371
50,1,cpkm_weight_w025,CPKM weight=0.25,297,0.7707955357633735,0.7777777777777778
50,2,cpkm_weight_w025,CPKM weight=0.25,297,0.7554006968641115,0.7619047619047619
50,3,cpkm_weight_w025,CPKM weight=0.25,297,0.7596310596310597,0.7592592592592593
50,4,cpkm_weight_w025,CPKM weight=0.25,297,0.8149051490514906,0.8333333333333334
50,5,cpkm_weight_w025,CPKM weight=0.25,297,0.5079365079365079,0.5370370370370371
75,1,ck4p_msp,CK4P-MSP,222,0.6746634026927785,0.6825396825396826
75,2,ck4p_msp,CK4P-MSP,222,0.5912491682490222,0.6481481481481481
75,3,ck4p_msp,CK4P-MSP,222,0.6854636591478697,0.7037037037037037
75,4,ck4p_msp,CK4P-MSP,222,0.5302354113948317,0.5555555555555556
75,5,ck4p_msp,CK4P-MSP,222,0.4838570628044312,0.48148148148148145
75,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7602931511042685,0.7619047619047619
75,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.6756843800322061,0.7037037037037037
75,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7977262977262978,0.7962962962962963
75,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7171071520316726,0.7407407407407407
75,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5544973544973545,0.5555555555555556
75,1,cpkm_weight_w025,CPKM weight=0.25,297,0.7371264085116461,0.746031746031746
75,2,cpkm_weight_w025,CPKM weight=0.25,297,0.7573023860253563,0.7777777777777778
75,3,cpkm_weight_w025,CPKM weight=0.25,297,0.7692018942018942,0.7777777777777778
75,4,cpkm_weight_w025,CPKM weight=0.25,297,0.7006855340188674,0.7222222222222222
