length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
69,substitution_1pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9924567401910006,0.9732603647712975,0.08434827788129115,0.23125585489754846,0.11682518856881348,1.0
69,N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9872151350761823,0.9821628353909232,0.1586791950869496,0.1888764807469055,0.11511055223021945,1.0
69,trim_5bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9918781186548803,0.9890755470843037,0.12672998035837924,0.14781374977591114,0.11695716094810792,1.0
69,substitution_1pct_N_3pct,ck4p_msp,CK4P-MSP,222,500,1.0,0.9784661707660073,0.9554209301790505,0.20064611452191355,0.29859042512255246,0.10691549426193735,1.0
69,local_mismatch_6bp,ck4p_msp,CK4P-MSP,222,500,1.0,0.9726490966772754,0.962685882987046,0.23222611647632843,0.27318168555220906,0.09998816570742244,1.0
69,short_indel,ck4p_msp,CK4P-MSP,222,500,1.0,0.9940158638087446,0.9768315003535839,0.07393000171603654,0.21525946084840836,0.11757430242669892,1.0
69,substitution_1pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9918930713258544,0.9710769216954473,0.0875388539329283,0.24051227945990447,0.1326994776460284,1.0
69,N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9862133064856614,0.9811523299560245,0.16494957623250023,0.19415285033272267,0.1305974923817184,1.0
69,trim_5bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,0.998,0.9886721014671227,0.9848320010899609,0.14978224751103997,0.17417231168965414,0.13042560788758062,0.998
69,substitution_1pct_N_3pct,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9767057473770095,0.9513097130603203,0.2088482056932071,0.31205860636352745,0.1216057895540518,1.0
69,local_mismatch_6bp,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9707333007159167,0.9607485265531749,0.24037081885057943,0.2801837611532406,0.11461200289934277,1.0
69,short_indel,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,500,1.0,0.9935077949346458,0.9753804469561551,0.07702632862996538,0.22189856406010877,0.13363247991065913,1.0
69,substitution_1pct,cpkm_weight_w025,CPKM weight=0.25,297,500,1.0,0.9917471699735803,0.971367546753882,0.08841873092926869,0.23930086562914088,0.13351086915559154,1.0
