representation,representation_label,route,candidate_weight,n_features,wgs_l2,wgs_retrieval,local_macro_f1,motif_macro_f1,art_l2,cami_mean_retention,runtime_seconds,runtime_source,motif_gain_vs_main,wgs_l2_change_vs_main,wgs_retrieval_change_vs_main,local_f1_change_vs_main,art_l2_change_vs_main,cami_retention_change_vs_main,runtime_ratio_vs_main,pass_motif,pass_wgs_l2,pass_retrieval,pass_local,pass_art,pass_cami,pass_runtime,eligible_scientific_confirmation,eligible_main_confirmation,source
ck4p_msp,CK4P-MSP,main,0.0,222,0.1289274533960475,0.9999166666666668,0.8882007720066482,0.6322556705654582,0.1571938469255467,0.9910278595890324,0.7944566999794915,direct route extraction; fixed weight does not change extraction cost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True,True,True,True,True,True,False,False,prespecified_weight_sweep
pkm_weight_w010,PKM weight=0.1,pkm,0.1,297,0.1304880566894712,0.9998333333333332,0.9013231871725728,0.6480067307803095,0.1585317524415581,0.9907916132533128,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.0157510602148512,0.0015606032934236,-8.333333333343518e-05,0.0131224151659246,0.0013379055160114,-0.0002362463357196,1.806462705974376,False,True,True,True,True,True,True,False,False,prespecified_weight_sweep
ck4p_msp_pkm_w025,CK4P-MSP-PKM,pkm,0.25,297,0.1379478253903335,0.9999166666666668,0.9282803916805178,0.710275154004627,0.1651282056654492,0.992832211585438,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.0780194834391688,0.0090203719942859,0.0,0.0400796196738696,0.0079343587399025,0.0018043519964056,1.806462705974376,True,True,True,True,True,True,True,True,True,prespecified_weight_sweep
pkm_weight_w050,PKM weight=0.5,pkm,0.5,297,0.1586797182218767,0.9999166666666668,0.9185185099000568,0.7573602135653765,0.1845732774481504,0.998378396144431,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.1251045429999183,0.0297522648258292,0.0,0.0303177378934087,0.0273794305226037,0.0073505365553986,1.806462705974376,True,False,True,True,False,True,True,False,False,prespecified_weight_sweep
pkm_weight_w075,PKM weight=0.75,pkm,0.75,297,0.1829536511084952,0.9999166666666668,0.8953234987178509,0.7474620935006311,0.2084851300832478,0.999413601838744,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.1152064229351729,0.0540261977124477,0.0,0.0071227267112027,0.0512912831577011,0.0083857422497116,1.806462705974376,True,False,True,True,False,True,True,False,False,prespecified_weight_sweep
pkm_weight_w100,PKM weight=1,pkm,1.0,297,0.2063922820219438,0.9999166666666668,0.881328916442289,0.7435233620596178,0.2322114270689033,0.996388246122424,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.1112676914941596,0.0774648286258963,0.0,-0.0068718555643592,0.0750175801433566,0.0053603865333916,1.806462705974376,True,False,True,True,False,True,True,False,False,prespecified_weight_sweep
cpkm_weight_w010,CPKM weight=0.1,cpkm,0.1,297,0.1307553637091967,0.9999166666666668,0.8981548991857848,0.6401887218152271,0.1587531623188421,0.9913612312302972,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.0079330512497689,0.0018279103131492,0.0,0.0099541271791366,0.0015593153932954,0.0003333716412649,21.450760941897787,False,True,True,True,True,True,False,False,False,prespecified_weight_sweep
cpkm_weight_w025,CPKM weight=0.25,cpkm,0.25,297,0.1394230050287626,0.9999166666666668,0.9233616437533452,0.7119603110043191,0.1663433141152987,0.9904083514608704,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.0797046404388609,0.0104955516327151,0.0,0.035160871746697,0.009149467189752,-0.000619508128162,21.450760941897787,True,False,True,True,True,True,False,False,False,prespecified_weight_sweep
cpkm_weight_w050,CPKM weight=0.5,cpkm,0.5,297,0.1632453299619529,0.9999166666666668,0.9153487077695374,0.7717687874414556,0.1883776884579386,0.9897626802279972,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.1395131168759974,0.0343178765659054,0.0,0.0271479357628892,0.0311838415323919,-0.001265179361035,21.450760941897787,True,False,True,True,False,True,False,False,False,prespecified_weight_sweep
cpkm_weight_w075,CPKM weight=0.75,cpkm,0.75,297,0.1908560632049535,0.9999166666666668,0.8859411362370301,0.7887501348354145,0.2151203363448535,0.9900353296818488,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.1564944642699562,0.061928609808906,0.0,-0.002259635769618,0.0579264894193068,-0.0009925299071836,21.450760941897787,True,False,True,True,False,True,False,False,False,prespecified_weight_sweep
cpkm_weight_w100,CPKM weight=1,cpkm,1.0,297,0.2173276039784267,0.9999166666666668,0.8697924168553978,0.7884196431074617,0.2414309683954075,0.9860310352202468,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.1561639725420035,0.0884001505823792,0.0,-0.0184083551512503,0.0842371214698608,-0.0049968243687855,21.450760941897787,True,False,True,False,False,True,False,False,False,prespecified_weight_sweep
ck4p_msp,CK4P-MSP,main,0.0,222,0.1286361335473741,0.9998333333333332,0.8882007720066482,0.6322556705654582,0.1581172741425324,1.0008277921426658,0.7829607999883592,direct route extraction; fixed weight does not change extraction cost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True,True,True,True,True,True,False,False,new_seed_resampling_check
ck4p_msp_pkm_w025,CK4P-MSP-PKM,pkm,0.25,297,0.1376186071670531,0.9999166666666668,0.9282803916805178,0.710275154004627,0.1662117026883947,1.0008296199646678,1.444785050000064,direct route extraction; fixed weight does not change extraction cost,0.0780194834391688,0.0089824736196789,8.333333333343518e-05,0.0400796196738696,0.0080944285458623,1.827822001976287e-06,1.8452840168007705,True,True,True,True,True,True,True,True,True,new_seed_resampling_check
