length,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
50,ck4p_msp,CK4P-MSP,222,2000,0.997,0.9776681765492797,0.9378018767386134,0.17390978346866354,0.3526984661333921,0.10031524727813328,0.9955
50,pkm_weight_w010,PKM weight=0.1,297,2000,0.997,0.9773645872160445,0.9370223005454882,0.1752091387286905,0.3549019158631465,0.10282046386481096,0.9955
50,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,2000,0.9975,0.975803270645121,0.933586601045551,0.18161291584359185,0.3644541094690764,0.11473440346909156,0.996
50,pkm_weight_w050,PKM weight=0.5,297,2000,0.9975,0.9706389158336046,0.9196692875071701,0.20049613674353362,0.40082592701697645,0.14469396075553112,0.996
50,pkm_weight_w075,PKM weight=0.75,297,2000,0.9975,0.9632396940276311,0.9003974194647318,0.22377115895115263,0.44632402560808837,0.17203122838585305,0.996
50,pkm_weight_w100,PKM weight=1,297,2000,0.997,0.954823079223336,0.8725412008454287,0.24693814493272698,0.5048934068893333,0.19319966389065668,0.9955
50,cpkm_weight_w010,CPKM weight=0.1,297,2000,0.997,0.9773192418428619,0.9365724201748747,0.17543180004544276,0.3561673197368124,0.10284616913246222,0.9955
50,cpkm_weight_w025,CPKM weight=0.25,297,2000,0.9975,0.9755247204955705,0.9325900483273429,0.1828224019750303,0.36717829057357554,0.11542727376984269,0.996
50,cpkm_weight_w050,CPKM weight=0.5,297,2000,0.9975,0.9695889960391452,0.9181776849274678,0.20423742136882764,0.4045301343378993,0.15178072643837218,0.996
50,cpkm_weight_w075,CPKM weight=0.75,297,2000,0.9975,0.9610845955021615,0.8924710445869313,0.2302743759292216,0.46374333685298674,0.19314647643748312,0.996
50,cpkm_weight_w100,CPKM weight=1,297,2000,0.9975,0.9514108398913427,0.8595886128148151,0.2559719179764772,0.5299271318610115,0.23046912730542707,0.996
60,ck4p_msp,CK4P-MSP,222,2000,1.0,0.9762161367668518,0.9417782453890939,0.19246525432675804,0.34123819481811446,0.0938614777575155,1.0
