representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
ck4p_msp,CK4P-MSP,222,1,69,N_3pct,0.8958170547481377,0.8958333333333334,240,0.880025381689584,1.0179445654490498
ck4p_msp,CK4P-MSP,222,1,69,clean,0.9083333333333333,0.9083333333333333,240,0.880025381689584,1.0321671990748722
ck4p_msp,CK4P-MSP,222,1,69,substitution_1pct,0.883300916921367,0.8833333333333333,240,0.880025381689584,1.0037220917713694
ck4p_msp,CK4P-MSP,222,1,75,N_3pct,0.9083269671504965,0.9083333333333333,240,0.880025381689584,1.0321599649848459
ck4p_msp,CK4P-MSP,222,1,75,clean,0.9083333333333333,0.9083333333333333,240,0.880025381689584,1.0321671990748722
ck4p_msp,CK4P-MSP,222,1,75,substitution_1pct,0.8916365657126979,0.8916666666666667,240,0.880025381689584,1.0131941467424739
ck4p_msp,CK4P-MSP,222,1,100,N_3pct,0.8915989159891599,0.8916666666666667,240,0.880025381689584,1.0131513641996956
ck4p_msp,CK4P-MSP,222,1,100,clean,0.8956866426745944,0.8958333333333334,240,0.880025381689584,1.0177963741851876
ck4p_msp,CK4P-MSP,222,1,100,substitution_1pct,0.8830409356725146,0.8833333333333333,240,0.880025381689584,1.0034266670549217
ck4p_msp,CK4P-MSP,222,2,69,N_3pct,0.8557692307692308,0.8583333333333333,240,0.880025381689584,0.9724369871312312
ck4p_msp,CK4P-MSP,222,2,69,clean,0.8642533936651584,0.8666666666666667,240,0.880025381689584,0.9820778032627371
ck4p_msp,CK4P-MSP,222,2,69,substitution_1pct,0.8563784849338214,0.8583333333333333,240,0.880025381689584,0.9731293014408717
ck4p_msp,CK4P-MSP,222,2,75,N_3pct,0.8648268093494791,0.8666666666666667,240,0.880025381689584,0.9827293932012224
ck4p_msp,CK4P-MSP,222,2,75,clean,0.8598502946329033,0.8625,240,0.880025381689584,0.9770744259467312
ck4p_msp,CK4P-MSP,222,2,75,substitution_1pct,0.8686417486184431,0.8708333333333333,240,0.880025381689584,0.9870644264267865
ck4p_msp,CK4P-MSP,222,2,100,N_3pct,0.8648268093494791,0.8666666666666667,240,0.880025381689584,0.9827293932012224
ck4p_msp,CK4P-MSP,222,2,100,clean,0.872737556561086,0.875,240,0.880025381689584,0.991718619394243
ck4p_msp,CK4P-MSP,222,2,100,substitution_1pct,0.872737556561086,0.875,240,0.880025381689584,0.991718619394243
ck4p_msp,CK4P-MSP,222,3,69,N_3pct,0.8537375285124759,0.8541666666666666,240,0.880025381689584,0.9701283011557719
ck4p_msp,CK4P-MSP,222,3,69,clean,0.8494878405686015,0.85,240,0.880025381689584,0.965299249593969
ck4p_msp,CK4P-MSP,222,3,69,substitution_1pct,0.8535947712418301,0.8541666666666666,240,0.880025381689584,0.9699660816634527
ck4p_msp,CK4P-MSP,222,3,75,N_3pct,0.8616328028092735,0.8625,240,0.880025381689584,0.9790999449981793
ck4p_msp,CK4P-MSP,222,3,75,clean,0.8655368022970796,0.8666666666666667,240,0.880025381689584,0.9835361800989337
ck4p_msp,CK4P-MSP,222,3,75,substitution_1pct,0.8534312784631223,0.8541666666666666,240,0.880025381689584,0.9697802997733963
ck4p_msp,CK4P-MSP,222,3,100,N_3pct,0.8866320264525271,0.8875,240,0.880025381689584,1.0075073343342198
ck4p_msp,CK4P-MSP,222,3,100,clean,0.8862659060991663,0.8875,240,0.880025381689584,1.0070913004777213
ck4p_msp,CK4P-MSP,222,3,100,substitution_1pct,0.8821548821548821,0.8833333333333333,240,0.880025381689584,1.0024198170980132
ck4p_msp,CK4P-MSP,222,4,69,N_3pct,0.8874511506730351,0.8875,240,0.880025381689584,1.008438130465276
ck4p_msp,CK4P-MSP,222,4,69,clean,0.8915989159891599,0.8916666666666667,240,0.880025381689584,1.0131513641996956
ck4p_msp,CK4P-MSP,222,4,69,substitution_1pct,0.8956866426745944,0.8958333333333334,240,0.880025381689584,1.0177963741851876
ck4p_msp,CK4P-MSP,222,4,75,N_3pct,0.8666296193387052,0.8666666666666667,240,0.880025381689584,0.9847779818291605
ck4p_msp,CK4P-MSP,222,4,75,clean,0.8874042153915658,0.8875,240,0.880025381689584,1.0083847964564556
ck4p_msp,CK4P-MSP,222,4,75,substitution_1pct,0.8791141988710378,0.8791666666666667,240,0.880025381689584,0.9989645948429388
ck4p_msp,CK4P-MSP,222,4,100,N_3pct,0.8874042153915658,0.8875,240,0.880025381689584,1.0083847964564556
ck4p_msp,CK4P-MSP,222,4,100,clean,0.8831304347826088,0.8833333333333333,240,0.880025381689584,1.0035283676557867
ck4p_msp,CK4P-MSP,222,4,100,substitution_1pct,0.8915461624026697,0.8916666666666667,240,0.880025381689584,1.0130914186713191
ck4p_msp,CK4P-MSP,222,5,69,N_3pct,0.8414905450500556,0.8416666666666667,240,0.880025381689584,0.9562116758887745
ck4p_msp,CK4P-MSP,222,5,69,clean,0.8370218174853302,0.8375,240,0.880025381689584,0.9511337228459364
ck4p_msp,CK4P-MSP,222,5,69,substitution_1pct,0.8412698412698413,0.8416666666666667,240,0.880025381689584,0.9559608833720967
ck4p_msp,CK4P-MSP,222,5,75,N_3pct,0.8707233584125385,0.8708333333333333,240,0.880025381689584,0.9894298238771405
