representation,representation_label,route,candidate_weight,n_features,wgs_l2,wgs_retrieval,local_macro_f1,motif_macro_f1,art_l2,cami_mean_retention,runtime_seconds,runtime_source,motif_gain_vs_main,wgs_l2_change_vs_main,wgs_retrieval_change_vs_main,local_f1_change_vs_main,art_l2_change_vs_main,cami_retention_change_vs_main,runtime_ratio_vs_main,pass_motif,pass_wgs_l2,pass_retrieval,pass_local,pass_art,pass_cami,pass_runtime,eligible_scientific_confirmation,eligible_main_confirmation
ck4p_msp,CK4P-MSP,main,0.0,222,0.12892745339604753,0.9999166666666667,0.8882007720066482,0.6322556705654582,0.1571938469255467,0.9910278595890324,0.7944566999794915,direct route extraction; fixed weight does not change extraction cost,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,True,True,True,True,True,True,False,False
pkm_weight_w010,PKM weight=0.1,pkm,0.1,297,0.1304880566894712,0.9998333333333332,0.9013231871725728,0.6480067307803095,0.15853175244155818,0.9907916132533128,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.015751060214851287,0.001560603293423668,-8.333333333343518e-05,0.013122415165924606,0.0013379055160114839,-0.0002362463357196143,1.806462705974376,False,True,True,True,True,True,True,False,False
ck4p_msp_pkm_w025,CK4P-MSP-PKM,pkm,0.25,297,0.1379478253903335,0.9999166666666667,0.9282803916805178,0.710275154004627,0.1651282056654492,0.992832211585438,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.07801948343916887,0.009020371994285986,0.0,0.04007961967386964,0.007934358739902503,0.0018043519964056065,1.806462705974376,True,True,True,True,True,True,True,True,True
pkm_weight_w050,PKM weight=0.5,pkm,0.5,297,0.15867971822187674,0.9999166666666667,0.9185185099000569,0.7573602135653765,0.1845732774481504,0.998378396144431,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.12510454299991836,0.02975226482582921,0.0,0.030317737893408747,0.02737943052260372,0.007350536555398635,1.806462705974376,True,False,True,True,False,True,True,False,False
pkm_weight_w075,PKM weight=0.75,pkm,0.75,297,0.18295365110849526,0.9999166666666667,0.8953234987178509,0.7474620935006311,0.20848513008324782,0.9994136018387441,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.11520642293517291,0.05402619771244774,0.0,0.0071227267112027315,0.05129128315770112,0.00838574224971167,1.806462705974376,True,False,True,True,False,True,True,False,False
pkm_weight_w100,PKM weight=1,pkm,1.0,297,0.20639228202194385,0.9999166666666667,0.881328916442289,0.7435233620596178,0.2322114270689033,0.996388246122424,1.4351564000244252,direct route extraction; fixed weight does not change extraction cost,0.1112676914941596,0.07746482862589632,0.0,-0.006871855564359208,0.0750175801433566,0.005360386533391659,1.806462705974376,True,False,True,True,False,True,True,False,False
cpkm_weight_w010,CPKM weight=0.1,cpkm,0.1,297,0.13075536370919674,0.9999166666666667,0.8981548991857848,0.6401887218152271,0.1587531623188421,0.9913612312302973,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.007933051249768952,0.001827910313149217,0.0,0.009954127179136685,0.0015593153932954018,0.00033337164126490126,21.450760941897787,False,True,True,True,True,True,False,False,False
cpkm_weight_w025,CPKM weight=0.25,cpkm,0.25,297,0.13942300502876265,0.9999166666666667,0.9233616437533452,0.7119603110043191,0.1663433141152987,0.9904083514608704,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.07970464043886094,0.010495551632715122,0.0,0.03516087174669702,0.009149467189752014,-0.0006195081281620274,21.450760941897787,True,False,True,True,True,True,False,False,False
cpkm_weight_w050,CPKM weight=0.5,cpkm,0.5,297,0.16324532996195293,0.9999166666666667,0.9153487077695374,0.7717687874414556,0.18837768845793862,0.9897626802279973,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.13951311687599743,0.0343178765659054,0.0,0.027147935762889208,0.031183841532391926,-0.0012651793610350959,21.450760941897787,True,False,True,True,False,True,False,False,False
cpkm_weight_w075,CPKM weight=0.75,cpkm,0.75,297,0.19085606320495355,0.9999166666666667,0.8859411362370301,0.7887501348354145,0.21512033634485353,0.9900353296818487,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.15649446426995628,0.06192860980890602,0.0,-0.0022596357696180736,0.05792648941930684,-0.0009925299071836813,21.450760941897787,True,False,True,True,False,True,False,False,False
cpkm_weight_w100,CPKM weight=1,cpkm,1.0,297,0.21732760397842676,0.9999166666666667,0.8697924168553978,0.7884196431074617,0.24143096839540754,0.9860310352202468,17.041700749949086,direct route extraction; fixed weight does not change extraction cost,0.15616397254200354,0.08840015058237924,0.0,-0.01840835515125039,0.08423712146986084,-0.0049968243687855685,21.450760941897787,True,False,True,False,False,True,False,False,False
