length,local_mode,representation,representation_label,n_features,n_triplets,noise_l2_mean,local_l2_mean,macro_f1,macro_f1_sd,accuracy
69,center,ck4p_msp,CK4P-MSP,222,250,0.22529572709555212,0.18308783037220677,0.7995514450535459,0.017555189579918723,0.8
69,center,pkm_weight_w010,PKM weight=0.1,297,250,0.22652814376114327,0.18329240038192757,0.8354248708407302,0.010028675390452158,0.836
69,center,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23267940257217876,0.18433698722285136,0.8913904633883278,0.027692025336746234,0.892
69,center,pkm_weight_w050,PKM weight=0.5,297,250,0.25131641401442606,0.1877094190467971,0.913112107694042,0.03084816760226958,0.914
69,center,pkm_weight_w075,PKM weight=0.75,297,250,0.2749291051018862,0.19234685916381813,0.8963744447794676,0.04311475628934906,0.898
69,center,pkm_weight_w100,PKM weight=1,297,250,0.29888862467906463,0.19738548171579035,0.8963782239074465,0.04144752283821679,0.898
69,center,cpkm_weight_w010,CPKM weight=0.1,297,250,0.22683861018797363,0.18348068453080654,0.8116016496150475,0.01811760892611724,0.812
69,center,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23448085528062362,0.18533859945583725,0.8914927337449164,0.025178217601466504,0.892
69,center,cpkm_weight_w050,CPKM weight=0.5,297,250,0.2572329631759625,0.19104132385049416,0.894804084059871,0.028184110023057492,0.8960000000000001
69,center,cpkm_weight_w075,CPKM weight=0.75,297,250,0.2855142323558273,0.19862208215381172,0.8742548997728475,0.033783652841873006,0.876
69,center,cpkm_weight_w100,CPKM weight=1,297,250,0.3138070063330873,0.2066592084572497,0.8658212278266015,0.0385857667013238,0.868
69,jittered,ck4p_msp,CK4P-MSP,222,250,0.2229787478889802,0.1853811105304908,0.7013244241146198,0.043105901816144425,0.704
69,jittered,pkm_weight_w010,PKM weight=0.1,297,250,0.22442684288684,0.1858028021302484,0.7380507328894887,0.04338795931129578,0.74
69,jittered,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23162997000128707,0.18794673573897305,0.8330703312591238,0.0260033231611808,0.834
69,jittered,pkm_weight_w050,PKM weight=0.5,297,250,0.25323959072785107,0.1947713185483494,0.846468339224686,0.03248019607171113,0.8480000000000001
69,jittered,pkm_weight_w075,PKM weight=0.75,297,250,0.28027133233078194,0.20395246082193386,0.827279570752457,0.05206049158729301,0.8300000000000001
69,jittered,pkm_weight_w100,PKM weight=1,297,250,0.30742116190214774,0.2137156034653746,0.8189687335177556,0.04965790094310608,0.8220000000000001
69,jittered,cpkm_weight_w010,CPKM weight=0.1,297,250,0.2246322721614608,0.18589995386025857,0.7279989640440888,0.04869823096477587,0.7300000000000001
69,jittered,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23281990443666994,0.1885301089833331,0.8229100041671884,0.04511611193853327,0.8240000000000001
69,jittered,cpkm_weight_w050,CPKM weight=0.5,297,250,0.25713709681624836,0.19682889940618803,0.8340812507777841,0.06598615232452801,0.836
69,jittered,cpkm_weight_w075,CPKM weight=0.75,297,250,0.28723879576560896,0.20785689517478226,0.8179501380431218,0.0656541181755615,0.82
69,jittered,cpkm_weight_w100,CPKM weight=1,297,250,0.3172427397954071,0.21945799078551206,0.8013234631178285,0.06649366986251828,0.8039999999999999
69,left,ck4p_msp,CK4P-MSP,222,250,0.2247745739427872,0.18398809474649053,0.7642976189567331,0.023918791645534995,0.766
69,left,pkm_weight_w010,PKM weight=0.1,297,250,0.22606269677203797,0.1846184959233998,0.78288021243934,0.02210073595816919,0.784
69,left,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,250,0.23247440008182524,0.18781420324759107,0.8251472071499688,0.015461161388567497,0.826
69,left,pkm_weight_w050,PKM weight=0.5,297,250,0.2517724008535286,0.19789789707983396,0.8018793093008252,0.04340915710538545,0.804
69,left,pkm_weight_w075,PKM weight=0.75,297,250,0.2760410430135969,0.2112961596734177,0.785068935142004,0.03759448654375678,0.788
69,left,pkm_weight_w100,PKM weight=1,297,250,0.30052995058994275,0.2253838383697414,0.7623500761269738,0.021396415722711472,0.766
69,left,cpkm_weight_w010,CPKM weight=0.1,297,250,0.22627263851187657,0.18493846849805723,0.7808471287786627,0.017747345818101733,0.7819999999999999
69,left,cpkm_weight_w025,CPKM weight=0.25,297,250,0.23369120508383118,0.18954775548314967,0.8063245079564136,0.020058596259034094,0.808
