length,fold,representation,representation_label,n_features,macro_f1,accuracy
50,1,ck4p_msp,CK4P-MSP,222,0.6054545454545455,0.6190476190476191
50,2,ck4p_msp,CK4P-MSP,222,0.6307519640852973,0.6507936507936508
50,3,ck4p_msp,CK4P-MSP,222,0.6611922927712401,0.6666666666666666
50,4,ck4p_msp,CK4P-MSP,222,0.7103377357884252,0.7592592592592593
50,5,ck4p_msp,CK4P-MSP,222,0.4318097361575622,0.46296296296296297
50,1,pkm_weight_w010,PKM weight=0.1,297,0.62553911205074,0.6349206349206349
50,2,pkm_weight_w010,PKM weight=0.1,297,0.6869669977328136,0.6984126984126984
50,3,pkm_weight_w010,PKM weight=0.1,297,0.6611922927712401,0.6666666666666666
50,4,pkm_weight_w010,PKM weight=0.1,297,0.7380952380952381,0.7777777777777778
50,5,pkm_weight_w010,PKM weight=0.1,297,0.4598290598290598,0.48148148148148145
50,1,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7782945736434108,0.7777777777777778
50,2,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.724878724878725,0.7301587301587301
50,3,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.7789473684210527,0.7777777777777778
50,4,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.8293188293188294,0.8333333333333334
50,5,ck4p_msp_pkm_w025,CK4P-MSP-PKM,297,0.5266034327009936,0.5370370370370371
50,1,pkm_weight_w050,PKM weight=0.5,297,0.8733399958584304,0.873015873015873
50,2,pkm_weight_w050,PKM weight=0.5,297,0.8563235466241705,0.8571428571428571
50,3,pkm_weight_w050,PKM weight=0.5,297,0.7595442332284437,0.7592592592592593
50,4,pkm_weight_w050,PKM weight=0.5,297,0.8342628342628342,0.8333333333333334
50,5,pkm_weight_w050,PKM weight=0.5,297,0.7244708122756903,0.7407407407407407
50,1,pkm_weight_w075,PKM weight=0.75,297,0.8736670736670736,0.873015873015873
50,2,pkm_weight_w075,PKM weight=0.75,297,0.8563235466241705,0.8571428571428571
50,3,pkm_weight_w075,PKM weight=0.75,297,0.7412037037037038,0.7407407407407407
50,4,pkm_weight_w075,PKM weight=0.75,297,0.8342628342628342,0.8333333333333334
50,5,pkm_weight_w075,PKM weight=0.75,297,0.8113175094599243,0.8148148148148148
50,1,pkm_weight_w100,PKM weight=1,297,0.8576513748138462,0.8571428571428571
50,2,pkm_weight_w100,PKM weight=1,297,0.8563235466241705,0.8571428571428571
50,3,pkm_weight_w100,PKM weight=1,297,0.7219308214587522,0.7222222222222222
50,4,pkm_weight_w100,PKM weight=1,297,0.8536340852130326,0.8518518518518519
50,5,pkm_weight_w100,PKM weight=1,297,0.7514227642276423,0.7592592592592593
50,1,cpkm_weight_w010,CPKM weight=0.1,297,0.6599290879142354,0.6666666666666666
